"city","lat","lng","population", "country"
"Balkh","36.7581","66.8989","77000","Afghanistan"
"Kotah-ye `Ashro","34.4500","68.8000","35008","Afghanistan"
"Khost","33.3333","69.9167","160214","Afghanistan"
"Zaranj","30.9600","61.8600","49851","Afghanistan"
"Herat","34.3738","62.1792","436300","Afghanistan"
"Fayroz Koh","34.5225","65.2517","15000","Afghanistan"
"Bamyan","34.8167","67.8167","61863","Afghanistan"
"Shibirghan","36.6650","65.7520","175599","Afghanistan"
"Kandahar","31.6078","65.7053","491500","Afghanistan"
"Aibak","36.2534","68.0394","4938","Afghanistan"
"Zarghun Shahr","32.8500","68.4167","13737","Afghanistan"
"Baghlan","36.1328","68.7000","73031","Afghanistan"
"Baraki Barak","33.9667","68.9667","22305","Afghanistan"
"Mazar-e Sharif","36.7000","67.1167","427600","Afghanistan"
"Mehtar Lam","34.6500","70.1833","17345","Afghanistan"
"Khanabad","36.6831","69.1636","26803","Afghanistan"
"Maidan Shahr","34.3972","68.8697","35008","Afghanistan"
"Andkhoy","36.9500","65.1167","13137","Afghanistan"
"Lashkar Gah","31.5938","64.3716","201546","Afghanistan"
"Tarin Kot","32.6333","65.8667","10000","Afghanistan"
"Pul-e Khumri","35.9500","68.7000","113500","Afghanistan"
"Jalalabad","34.4303","70.4528","205423","Afghanistan"
"Gardez","33.5931","69.2297","70000","Afghanistan"
"Qal`ah-ye Now","34.9900","63.1200","5340","Afghanistan"
"Kabul","34.5328","69.1658","3678034","Afghanistan"
"Qalat","32.1061","66.9069","12191","Afghanistan"
"Kunduz","36.7280","68.8725","259809","Afghanistan"
"Buyni Qarah","36.3172","66.8747","5842","Afghanistan"
"Karukh","34.4868","62.5918","17484","Afghanistan"
"Charikar","35.0183","69.1679","53676","Afghanistan"
"Sar-e Pul","36.2214","65.9278","51075","Afghanistan"
"Asadabad","34.8742","71.1528","48400","Afghanistan"
"Mahmud-e Raqi","35.0167","69.3333","7407","Afghanistan"
"Khulm","36.6833","67.6833","28078","Afghanistan"
"Farah","32.3436","62.1194","73647","Afghanistan"
"Faizabad","37.1298","70.5792","64704","Afghanistan"
"Qal`ah-ye Zal","37.0150","68.4672","18000","Afghanistan"
"Taluqan","36.7167","69.5167","77000","Afghanistan"
"Maimanah","35.9302","64.7701","199795","Afghanistan"
"Ghazni","33.5492","68.4233","143379","Afghanistan"
