"city","lat","lng","population","country"
"Belsh","40.9833","19.8833","8781","Albania"
"Gramsh","40.8667","20.1833","8440","Albania"
"Gorice e Madhe","40.8942","20.9028","515","Albania"
"Sterbeq","42.2078","19.3972","636","Albania"
"Lezhe","41.7805","19.6434","15510","Albania"
"Rapshe","42.3856","19.4928","813","Albania"
"Korce","40.6167","20.7667","51152","Albania"
"Peshkopi","41.6831","20.4289","13251","Albania"
"Shkoder","42.0667","19.5000","112276","Albania"
"Divjake","40.9964","19.5327","8445","Albania"
"Fier","40.7167","19.5500","120655","Albania"
"Mamurras","41.5775","19.6922","8282","Albania"
"Patos","40.6841","19.6194","15397","Albania"
"Banaj","40.8247","19.8392","2500","Albania"
"Rreshen","41.7667","19.8833","8803","Albania"
"Vau i Dejes","42.0000","19.6333","8117","Albania"
"Pogradec","40.9000","20.6500","20848","Albania"
"Krrabe","41.2167","19.9667","2343","Albania"
"Rubik","41.7667","19.7833","4454","Albania"
"Shengjin","41.8136","19.5939","8091","Albania"
"Gjinkar","40.2000","20.4000","1622","Albania"
"Libohove","40.0333","20.2667","1992","Albania"
"Bilisht","40.6275","20.9900","7114","Albania"
"Selenice","40.5333","19.6333","2235","Albania"
"Polican","40.6122","20.0981","4318","Albania"
"Rrogozhine","41.0761","19.6667","7049","Albania"
"Vlore","40.4500","19.4833","130827","Albania"
"Libonik","40.7500","20.7167","8922","Albania"
"Konispol","39.6667","20.1833","2123","Albania"
"Kraste","41.4233","20.2036","1540","Albania"
"Bajram Curri","42.3582","20.0760","5340","Albania"
"Kamez","41.3833","19.7667","126777","Albania"
"Librazhd","41.1833","20.3167","6937","Albania"
"Lazarat","40.0500","20.1500","3160","Albania"
"Aliaj","42.2567","19.4275","1033","Albania"
"Voskopoje","40.6333","20.5833","2218","Albania"
"Permet","40.2333","20.3500","5945","Albania"
"Burgajet","41.6361","20.0653","1000","Albania"
"Peqin","41.0500","19.7500","6353","Albania"
"Elbasan","41.1125","20.0822","78703","Albania"
"Gjirokaster","40.0758","20.1389","25301","Albania"
"Berat","40.7049","19.9497","36496","Albania"
"Librazhd-Qender","41.1969","20.3356","12691","Albania"
"Tepelene","40.3000","20.0167","4342","Albania"
"Tirana","41.3300","19.8200","418495","Albania"
"Bogic-Palvar","42.2033","19.4531","670","Albania"
"Ura Vajgurore","40.7689","19.8778","4893","Albania"
"Cerrik","41.0333","19.9833","6695","Albania"
"Kurbnesh","41.7800","20.0800","1429","Albania"
"Krume","42.1961","20.4146","6006","Albania"
"Kruje","41.5178","19.7978","11721","Albania"
"Erseke","40.3333","20.6833","3746","Albania"
"Sinaballaj","41.0689","19.6983","1191","Albania"
"Dober","42.1872","19.4483","693","Albania"
"Shijak","41.3456","19.5672","7568","Albania"
"Vukpalaj-Bajze","42.3164","19.4522","768","Albania"
"Vore","41.3939","19.6544","10901","Albania"
"Dardhe","40.5186","20.8269","502","Albania"
"Maliq","40.7083","20.7000","4290","Albania"
"Sukth","41.3833","19.5333","15966","Albania"
"Delvine","39.9494","20.0958","5754","Albania"
"Burrel","41.6000","20.0000","10862","Albania"
"Ballsh","40.5991","19.7359","7657","Albania"
"Kavaje","41.1833","19.5500","29354","Albania"
"Prrenjas","41.0667","20.5500","5847","Albania"
"Puke","42.0500","19.9000","3607","Albania"
"Memaliaj","40.3500","19.9833","2646","Albania"
"Kukes","42.0758","20.4231","16719","Albania"
"Vuno","40.1397","19.6936","486","Albania"
"Lac","41.6353","19.7131","17086","Albania"
"Fushe-Kruje","41.4833","19.7167","18477","Albania"
"Velcan","40.9500","20.4667","2548","Albania"
"Kucove","40.8039","19.9144","12654","Albania"
"Sarande","39.8833","20.0167","41000","Albania"
"Corovode","40.5042","20.2272","4051","Albania"
"Fushe-Arrez","42.0622","20.0167","2438","Albania"
"Roskovec","40.7375","19.7022","6657","Albania"
"Koplik","42.2136","19.4364","3734","Albania"
"Bulqize","41.5000","20.2167","8177","Albania"
"Lushnje","40.9333","19.7000","31105","Albania"
"Durres","41.3167","19.4500","142432","Albania"
