"city","lat","lng","population","country"
"Boudjima","36.8140","4.1588","15628","Algeria"
"Skikda","36.8667","6.9000","163318","Algeria"
"Tirmitine","36.6618","3.9848","19027","Algeria"
"Tamanrasset","22.7850","5.5228","76000","Algeria"
"Ait Yaich","36.5811","4.3303","14439","Algeria"
"Abalessa","22.8900","4.8472","9163","Algeria"
"Yakouren","36.7348","4.4386","12203","Algeria"
"Azzaba","36.7333","7.1000","56922","Algeria"
"Tifra","36.6664","4.6972","8547","Algeria"
"El Tarf","36.7669","8.3136","25594","Algeria"
"Arhribs","36.8022","4.3227","12474","Algeria"
"Kadiria","36.5333","3.6833","22327","Algeria"
"Mechtras","36.5448","4.0049","12683","Algeria"
"In Guezzam","19.5686","5.7722","7045","Algeria"
"Tit","26.9508","1.4837","4417","Algeria"
"Toudja","36.7586","4.8933","9827","Algeria"
"El Oued","33.3683","6.8675","134699","Algeria"
"El Golea","30.5666","2.8833","32049","Algeria"
"Ouargla","31.9500","5.3167","133024","Algeria"
"Tebessa","35.4000","8.1167","194461","Algeria"
"Touggourt","33.1000","6.0667","143270","Algeria"
"'Ain Roua","36.3344","5.1806","11499","Algeria"
"Djelfa","34.6667","3.2500","265833","Algeria"
"Zekri","36.7763","4.5531","3286","Algeria"
"Timoktene","27.0217","1.0150","18598","Algeria"
"Abadla","31.0167","-2.7333","14364","Algeria"
"Draa Ben Khedda","36.7349","3.9556","31382","Algeria"
"El Milia","36.7500","6.2667","83931","Algeria"
"Setif","36.1900","5.4100","288461","Algeria"
"Seddouk Oufella","36.6061","4.6389","8931","Algeria"
"Biskra","34.8500","5.7333","204661","Algeria"
"Freha","36.7620","4.3163","24228","Algeria"
"Mostaganem","35.9333","0.0903","145696","Algeria"
"I-n-Amenas","28.0500","9.5500","9225","Algeria"
"Saida","34.8303","0.1517","128413","Algeria"
"Charouine","29.0167","-0.2667","11347","Algeria"
"'Ain Messaoud","36.1965","5.2650","3228","Algeria"
"I-n-Salah","27.1936","2.4606","32518","Algeria"
"Ain Zaouia","36.5483","3.8942","17320","Algeria"
"Chorfa","36.3617","4.3307","16173","Algeria"
"Souk el Had","36.6909","3.5889","6693","Algeria"
"Constantine","36.3650","6.6147","448374","Algeria"
"Beni Amrane","36.6686","3.5922","23621","Algeria"
"Boukhralfa","36.6144","5.0872","8766","Algeria"
"Tizi Rached","36.6718","4.1918","17161","Algeria"
"Amoucha","36.3880","5.4108","22767","Algeria"
"Tindouf","27.6753","-8.1286","45610","Algeria"
"El Eulma","36.1528","5.6900","155038","Algeria"
"Draa el Mizan","36.5333","3.8333","38886","Algeria"
"Bir Ghbalou","36.2631","3.5866","11016","Algeria"
"Jijel","36.8206","5.7667","131513","Algeria"
"Tizi-n-Tleta","36.5457","4.0571","15479","Algeria"
"Illizi","26.5080","8.4829","17252","Algeria"
"Hassi Messaoud","31.7000","6.0667","45147","Algeria"
"Boghni","36.5437","3.9523","31263","Algeria"
"Adrar","27.8742","-0.2939","68276","Algeria"
"Tigzirt","36.8931","4.1225","11962","Algeria"
"Ouadhia","36.5500","4.0833","15771","Algeria"
"Chlef","36.1647","1.3317","155134","Algeria"
"Laghouat","33.8000","2.8650","134372","Algeria"
"Sali","26.9833","-0.0333","13138","Algeria"
"Lakhdaria","36.6167","3.5833","59746","Algeria"
"Afir","36.7676","3.7029","13223","Algeria"
"Akbou","36.4667","4.5333","52282","Algeria"
"Annaba","36.9000","7.7667","257359","Algeria"
"Timimoun","29.2500","0.2333","33060","Algeria"
"Tizi-n-Bechar","36.4311","5.3600","21086","Algeria"
"Bordj Bou Arreridj","36.0667","4.7667","168346","Algeria"
"Thenia","36.7278","3.5539","21439","Algeria"
"Beni Ounif","32.0500","-1.2500","5628","Algeria"
"Tassamert","36.2693","4.8230","5269","Algeria"
"Djanet","24.5550","9.4853","14655","Algeria"
"Khenchela","35.4167","7.1333","108580","Algeria"
"Ben N'Choud","36.8624","3.8806","9985","Algeria"
"Moudjbara","34.5037","3.4704","14052","Algeria"
"Blida","36.4722","2.8333","331779","Algeria"
"Arbaoun","36.4667","5.6500","19383","Algeria"
"Tala Yfassene","36.4583","5.0889","20337","Algeria"
"Boufarik","36.5750","2.9097","57162","Algeria"
"Ghardaia","32.4833","3.6667","120000","Algeria"
"Makouda","36.7909","4.0669","23388","Algeria"
"Souk Ahras","36.2864","7.9511","155259","Algeria"
"Tizi Gheniff","36.5891","3.7678","29409","Algeria"
"I-n-Amguel","23.6936","5.1647","3030","Algeria"
"'Ain el Hammam","36.5647","4.3061","20401","Algeria"
"El Main","36.3667","4.7500","6238","Algeria"
"Bejaia","36.7511","5.0642","176139","Algeria"
