"city","lat","lng","population", "country"
"Chinguar","-12.5500","16.3333","129370","Angola"
"Mavinga","-15.7895","20.3600","30000","Angola"
"Uacu Cungo","-11.3583","15.1194","12069","Angola"
"Cassongue","-11.8181","14.9689","117000","Angola"
"Xangongo","-16.7467","14.9747","447","Angola"
"Calenga","-11.3196","16.2000","531","Angola"
"Porto Amboim","-10.7183","13.7500","137000","Angola"
"Ondjiva","-17.0667","15.7333","121537","Angola"
"Caala","-12.8500","15.5500","279792","Angola"
"Ganda","-13.0167","14.6333","235486","Angola"
"Tchitado","-17.3196","13.9200","500","Angola"
"Quibala","-10.7336","14.9800","8915","Angola"
"Lubango","-14.9167","13.5000","776249","Angola"
"Sumbe","-11.2052","13.8417","279968","Angola"
"Malanje","-9.5469","16.3387","125856","Angola"
"Menongue","-14.6585","17.6910","320914","Angola"
"Calulo","-9.9996","14.9000","795","Angola"
"Camabatela","-8.1833","15.3667","12837","Angola"
"Longonjo","-12.9067","15.1864","24350","Angola"
"Belas","-8.9983","13.2650","500000","Angola"
"Quilengues","-14.0814","14.0764","113825","Angola"
"Cacolo","-10.1496","19.2600","984","Angola"
"Dundo","-7.3800","20.8300","11985","Angola"
"Songo","-7.3496","14.8500","10579","Angola"
"Luanda","-8.8383","13.2344","8417000","Angola"
"Matala","-14.7306","15.0367","262763","Angola"
"Cazombo","-11.9058","22.9217","298","Angola"
"Vila Teixeira da Silva","-12.1958","15.8556","294494","Angola"
"Nzeto","-7.2290","12.8650","11633","Angola"
"Negage","-7.7667","15.2667","137559","Angola"
"PortoAlexandre","-15.8032","11.8459","40000","Angola"
"Dondo","-9.6942","14.4228","2353","Angola"
"Catape","-13.7667","15.0833","167820","Angola"
"Ndalatando","-9.3000","14.9167","161584","Angola"
"Chibemba","-15.7355","13.8905","1502","Angola"
"Muconda","-10.5996","21.3200","2324","Angola"
"Luena","-11.7900","19.9000","21115","Angola"
"Cuito Cuanavale","-15.1639","19.1731","40829","Angola"
"Mocamedes","-15.1953","12.1508","255000","Angola"
"Lucapa","-8.4228","20.7393","154305","Angola"
"Caluquembe","-13.7833","14.6833","25933","Angola"
"Uige","-7.6167","15.0500","322531","Angola"
"Catumbela","-12.4167","13.5333","175805","Angola"
"Caxito","-8.6467","13.6642","28224","Angola"
"Catabola","-12.1167","17.3000","126631","Angola"
"Quipungo","-14.8167","14.5500","186","Angola"
"Soio","-6.1333","12.3667","67491","Angola"
"Saurimo","-9.6589","20.3934","393000","Angola"
"Mbanza Kongo","-6.2700","14.2400","60182","Angola"
"Cabinda","-5.5667","12.2000","550000","Angola"
"Cangamba","-13.6996","19.8600","1307","Angola"
"Camacupa","-12.0167","17.4833","19150","Angola"
"Benguela","-12.5500","13.4167","151226","Angola"
"Ambriz","-7.8500","13.1167","17000","Angola"
"Lobito","-12.3597","13.5308","393079","Angola"
"Luau","-10.7000","22.2333","90000","Angola"
"Chibia","-15.1833","13.7000","1411","Angola"
"Huambo","-12.7667","15.7333","1100000","Angola"
"Cubal","-13.0333","14.2333","357618","Angola"
"Cuito","-12.3833","16.9333","114000","Angola"
"Capenda Camulemba","-9.4233","18.4328","80000","Angola"
