"city","lat","lng","population", "country"
"Rafaela","-31.2667","-61.4833","92945","Argentina"
"San Antonio de los Cobres","-24.2256","-66.3192","5482","Argentina"
"Veintiocho de Noviembre","-51.5840","-72.2143","6145","Argentina"
"San Agustin","-31.9833","-64.3833","3317","Argentina"
"Los Blancos","-23.5996","-62.6000","1145","Argentina"
"Don Bosco","-34.7000","-58.2833","20876","Argentina"
"San Nicolas de los Arroyos","-33.3333","-60.2167","160000","Argentina"
"Uspallata","-32.5931","-69.3460","2390","Argentina"
"Aristobulo del Valle","-27.0952","-54.8970","38000","Argentina"
"San Miguel de Tucuman","-26.8167","-65.2167","605767","Argentina"
"Gobernador Gregores","-48.7509","-70.2485","4497","Argentina"
"Necochea","-38.5500","-58.7333","80478","Argentina"
"Catamarca","-28.4686","-65.7792","159139","Argentina"
"Perugorria","-29.3414","-58.6106","5685","Argentina"
"Alto Rio Senguer","-45.0419","-70.8234","1570","Argentina"
"Posadas","-27.3667","-55.8969","275988","Argentina"
"Zapala","-38.9028","-70.0650","32097","Argentina"
"Joaquin V. Gonzalez","-25.1171","-64.1247","13376","Argentina"
"Peguaho","-27.7033","-58.7672","707","Argentina"
"San Justo","-30.7833","-60.5833","21624","Argentina"
"San Justo","-34.6833","-58.5500","136604","Argentina"
"Concepcion del Uruguay","-32.4833","-58.2333","72528","Argentina"
"Laboulaye","-34.1267","-63.3911","20534","Argentina"
"Rio Cuarto","-33.1230","-64.3478","158298","Argentina"
"Pinamar","-37.1000","-56.8500","45000","Argentina"
"San Francisco","-31.4356","-62.0714","62000","Argentina"
"Coronel Dorrego","-38.7187","-61.2873","11510","Argentina"
"Veinticinco de Mayo","-35.4167","-60.1667","23408","Argentina"
"Veinticinco de Mayo","-37.7710","-67.7173","17430","Argentina"
"Villa La Angostura","-40.7616","-71.6448","11063","Argentina"
"Santa Elena","-30.9500","-59.8000","17791","Argentina"
"Villa Maria","-32.4103","-63.2314","79356","Argentina"
"Parana","-31.7444","-60.5175","247863","Argentina"
"Picun Leufu","-39.5235","-69.2797","3144","Argentina"
"Bahia Blanca","-38.7167","-62.2667","299101","Argentina"
"Sierra Colorada","-40.5875","-67.7583","1542","Argentina"
"Veinte de Junio","-34.7750","-58.7250","1597","Argentina"
"Jose Maria Ezeiza","-34.8333","-58.5167","160219","Argentina"
"Piedra del Aguila","-40.0500","-70.0778","3669","Argentina"
"San Miguel","-34.5333","-58.7167","157532","Argentina"
"Mercedes","-34.6500","-59.4333","52949","Argentina"
"Mercedes","-29.2000","-58.0833","30649","Argentina"
"Carhue","-37.1667","-62.7333","7190","Argentina"
"Villaguay","-31.8500","-59.0167","49445","Argentina"
"Zarate","-34.0833","-59.0333","98522","Argentina"
"Justiniano Posse","-32.8833","-62.6667","8499","Argentina"
"Villa Constitucion","-33.2333","-60.3333","47374","Argentina"
"Esquel","-42.9000","-71.3167","36687","Argentina"
"Buenos Aires","-34.5997","-58.3819","16157000","Argentina"
"Monte Cristo","-31.3431","-63.9444","9254","Argentina"
"Goya","-29.1333","-59.2500","72304","Argentina"
"Rio Gallegos","-51.6333","-69.2333","95796","Argentina"
"Puerto Santa Cruz","-50.0192","-68.5231","4431","Argentina"
"Lobos","-35.1864","-59.0961","18278","Argentina"
"Coronel Suarez","-37.4547","-61.9334","23621","Argentina"
"Villa Paranacito","-33.7000","-58.6833","15321","Argentina"
"Rosario del Tala","-32.3008","-59.1389","12801","Argentina"
"Ushuaia","-54.8072","-68.3044","56956","Argentina"
"La Falda","-31.0833","-64.5000","16335","Argentina"
"Villa Tulumba","-30.4000","-64.1167","1474","Argentina"
"Federacion","-30.9833","-57.9167","16658","Argentina"
"Jose C. Paz","-34.5167","-58.7667","216637","Argentina"
"Riachuelo","-27.5828","-58.7444","1965","Argentina"
"Gualeguay","-33.1500","-59.3167","43009","Argentina"
"Santa Rosa de Rio Primero","-31.1500","-63.3833","7761","Argentina"
"Mendoza","-32.8833","-68.8333","114822","Argentina"
"Avellaneda","-29.1175","-59.6583","23341","Argentina"
"Avellaneda","-34.6625","-58.3678","24313","Argentina"
"Munro","-34.5333","-58.5167","35844","Argentina"
"Perito Moreno","-46.5900","-70.9297","4617","Argentina"
"Cafayate","-26.0700","-65.9800","11785","Argentina"
"Campana","-34.1667","-58.9167","86860","Argentina"
"Las Plumas","-43.7167","-67.2500","480","Argentina"
"Lomas del Mirador","-34.6667","-58.5297","71479","Argentina"
"Villa Dominico","-34.6917","-58.3333","62315","Argentina"
"Villa Celina","-34.7006","-58.4825","30000","Argentina"
"La Paz","-33.4661","-67.5500","4400","Argentina"
"Casilda","-33.0442","-61.1681","35058","Argentina"
"Comandante Fontana","-25.3333","-59.6833","4277","Argentina"
"Quilmes","-34.7167","-58.2667","230810","Argentina"
"Santo Tome","-31.6667","-60.7667","65684","Argentina"
"Firmat","-33.4500","-61.4833","25757","Argentina"
"Frias","-28.6496","-65.1500","13594","Argentina"
"Villa Cura Brochero","-31.7100","-65.0200","6351","Argentina"
"Villa Huidobro","-34.8333","-64.5833","5658","Argentina"
"Garayalde","-44.6667","-66.6667","18","Argentina"
"Anelo","-38.3500","-68.7833","2449","Argentina"
"Los Polvorines","-34.5000","-58.7000","60867","Argentina"
"San Martin","-33.0806","-68.4706","117399","Argentina"
"Corrientes","-27.4833","-58.8167","352646","Argentina"
"Comodoro Rivadavia","-45.8667","-67.5000","730266","Argentina"
"Valcheta","-40.7000","-66.1500","3867","Argentina"
"Neuquen","-38.9573","-68.0455","231198","Argentina"
"Plaza Huincul","-38.9338","-69.1987","13172","Argentina"
"San Cristobal","-30.3105","-61.2372","14389","Argentina"
"Carcarana","-32.8500","-61.1500","16277","Argentina"
"Buta Ranquil","-37.0515","-69.8779","2443","Argentina"
"Ezpeleta","-34.7517","-58.2344","79557","Argentina"
"Choele Choel","-39.2858","-65.6542","10146","Argentina"
"Puerto San Martin","-32.7167","-60.7333","13243","Argentina"
"Rodeo","-30.2156","-69.1400","701","Argentina"
"San Rafael","-34.6175","-68.3356","107997","Argentina"
"Las Coloradas","-39.5500","-70.5833","873","Argentina"
"Senillosa","-39.0000","-68.4167","7542","Argentina"
"Rio Segundo","-31.6501","-63.9116","19713","Argentina"
"El Huecu","-37.6449","-70.5812","1391","Argentina"
"Alta Gracia","-31.6667","-64.4333","48140","Argentina"
"Chilecito","-29.1667","-67.5000","33724","Argentina"
"Merlo","-34.6653","-58.7275","244168","Argentina"
"Lanus","-34.7000","-58.4000","459263","Argentina"
"Tafi del Valle","-26.8667","-65.6833","3403","Argentina"
"Chivilcoy","-34.9000","-60.0167","54514","Argentina"
"Cutral-Co","-38.9333","-69.2333","35465","Argentina"
"Charata","-27.2144","-61.1881","18297","Argentina"
"Ingeniero Jacobacci","-41.3000","-69.5833","6261","Argentina"
"Castelar","-34.6500","-58.6500","107786","Argentina"
"Lujan","-34.5703","-59.1050","81749","Argentina"
"Mar del Plata","-38.0000","-57.5500","593337","Argentina"
"Bernal","-34.7000","-58.2833","109914","Argentina"
"Villa Rumipal","-32.1895","-64.4792","1269","Argentina"
"Santa Maria","-31.2611","-64.4639","9526","Argentina"
"La Reja","-34.6394","-58.8283","47839","Argentina"
"Obera","-27.4833","-55.1333","66112","Argentina"
"Sierra Grande","-41.6061","-65.3558","7404","Argentina"
"Jesus Maria","-30.9817","-64.0942","31602","Argentina"
"San Jose de Feliciano","-30.3833","-58.7500","10282","Argentina"
"Pico Truncado","-46.8000","-67.9667","20889","Argentina"
"Tartagal","-22.5000","-63.8333","60819","Argentina"
"Ingeniero Luis A. Huergo","-39.0833","-67.2333","6227","Argentina"
"Canada de Gomez","-32.8167","-61.4000","29205","Argentina"
