"city","lat","lng","population","country"
"Achanan","39.2347","46.4314","374","Armenia"
"Arevik","40.1006","44.0969","2686","Armenia"
"Karchevan","38.8964","46.1789","313","Armenia"
"Noramarg","40.0236","44.4244","2069","Armenia"
"Varagavan","40.9569","45.3383","719","Armenia"
"Vaghatur","39.6033","46.3681","611","Armenia"
"Tsaghkunk","40.5831","44.8694","1096","Armenia"
"Hoghmik","40.9167","43.8167","487","Armenia"
"Chinari","40.8497","45.5719","1279","Armenia"
"Vardashat","39.8328","45.0261","239","Armenia"
"Nor Ughi","39.9667","44.6167","800","Armenia"
"Bagratashen","41.2458","44.8211","2833","Armenia"
"Bardzrashen","40.5931","43.7389","793","Armenia"
"Shahumyan","40.2133","44.2967","1451","Armenia"
"Haghtanak","41.2239","44.9378","1180","Armenia"
"Paruyr Sevak","39.7667","44.9333","623","Armenia"
"Janfida","40.0456","44.0208","3150","Armenia"
"Khnusik","40.3306","44.1569","3","Armenia"
"Voskevan","41.1192","45.0653","1405","Armenia"
"Getap","39.7636","45.3061","2328","Armenia"
"Abovyan","40.2739","44.6256","44400","Armenia"
"Madina","40.0803","45.2511","1024","Armenia"
"Saravan","39.7189","45.6483","685","Armenia"
"Khanjyan","40.1667","44.0333","1993","Armenia"
"Bardzrashen","40.0853","44.5786","1650","Armenia"
"Karadzor","40.8475","44.3167","484","Armenia"
"Lerrnamerdz","40.2633","44.2636","520","Armenia"
"Shenkani","40.6428","44.2733","351","Armenia"
"Antarrashat","39.3003","46.3292","93","Armenia"
"Parpi","40.3294","44.3072","2420","Armenia"
"Vazashen","40.9922","45.2842","830","Armenia"
"Norapat","40.1333","44.0167","3250","Armenia"
"Katnaghbyur","40.2561","44.6767","637","Armenia"
"Talin","40.3836","43.8764","4981","Armenia"
"Tatul","40.3892","43.8142","819","Armenia"
"Merdzavan","40.1797","44.3997","2935","Armenia"
"Isahakyan","40.6167","43.7253","1065","Armenia"
"Paghakn","41.0667","43.6500","341","Armenia"
"Akunk","40.4167","43.9000","672","Armenia"
"Karmrashen","40.4361","43.9453","632","Armenia"
"Geghard","40.1547","44.7992","463","Armenia"
"Alagyaz","40.6814","44.2903","732","Armenia"
"Hobardzi","40.9603","44.4942","814","Armenia"
"Zuygaghbyur","41.0211","43.9036","709","Armenia"
"Oghji","40.8094","43.7528","579","Armenia"
"Dzoraghbyur","40.2050","44.6431","2270","Armenia"
"Chakaten","39.1444","46.4403","479","Armenia"
"Debetavan","41.2333","44.8500","658","Armenia"
"Dalar","39.9669","44.5364","2634","Armenia"
"Musalerr","40.1544","44.3778","3114","Armenia"
"Kaghnut","39.2742","46.5064","363","Armenia"
"Agarakadzor","39.7364","45.3456","1355","Armenia"
"Tsiatsan","40.1869","44.2667","1141","Armenia"
"Stepanavan","41.0075","44.3867","23782","Armenia"
"Rranch'par","40.0253","44.3703","1650","Armenia"
"Ptghavan","41.2167","44.9167","874","Armenia"
"Nizami","40.0911","44.4045","1671","Armenia"
"Nor Hachn","40.3000","44.5800","10198","Armenia"
"Karmir Gyukh","40.3306","45.1839","6291","Armenia"
"Jraber","40.3519","44.6450","635","Armenia"
"Verin Dvin","40.0253","44.5908","3525","Armenia"
"Lchap","40.4611","45.0650","1222","Armenia"
"Harzhis","39.4333","46.2217","1108","Armenia"
"Hatis","40.3406","44.7297","1077","Armenia"
"Martiros","39.5967","45.5078","662","Armenia"
"Achajur","40.9903","45.1453","4447","Armenia"
"Vardavank'","39.2333","46.5000","381","Armenia"
"Dsegh","40.9633","44.6517","2149","Armenia"
"Tsaghkavan","40.9419","45.3311","958","Armenia"
"Tsaghkavan","41.0342","45.1181","557","Armenia"
"Arevashogh","40.8592","44.2754","3054","Armenia"
"Lerrnavan","40.7883","44.1844","2590","Armenia"
"Yerizak","40.9833","43.6500","471","Armenia"
"Katnajur","40.8300","44.1400","1990","Armenia"
"Mastara","40.4478","43.8814","2433","Armenia"
"Vardenis","40.5717","44.4028","703","Armenia"
"Solak","40.4636","44.7086","2548","Armenia"
"Vardablur","40.9708","44.5089","1178","Armenia"
"Bandivan","40.9561","43.8031","232","Armenia"
"Mets Sepasar","41.0769","43.7612","1161","Armenia"
"Hovk","40.7911","45.0225","409","Armenia"
"Zedea","39.6819","45.3917","324","Armenia"
"Vayk","39.6833","45.4667","5800","Armenia"
"Lorasar","41.1128","43.5964","437","Armenia"
"Hovtashen","40.0244","44.4500","1250","Armenia"
"Ara","40.4572","44.3742","633","Armenia"
"Gharibjanyan","40.7461","43.7969","1138","Armenia"
