"city","lat","lng","population", "country"
"Middleton","-35.5000","138.7000","1156","Australia"
"Brownlow","-34.2454","139.2693","57","Australia"
"Biboohra","-16.9155","145.4197","568","Australia"
"Cumborah","-29.7317","147.7844","249","Australia"
"Dromana","-38.3380","144.9650","5803","Australia"
"Gilgooma","-30.7483","148.5344","33","Australia"
"Black Springs","-33.8483","149.7511","225","Australia"
"Leith","-41.1578","146.2594","415","Australia"
"Duchess","-21.3577","139.8641","23","Australia"
"Congo","-35.9483","150.1678","245","Australia"
"Baw Baw","-34.7317","149.6344","260","Australia"
"Upper Copmanhurst","-29.5650","152.7344","86","Australia"
"Harston","-36.4694","145.1419","174","Australia"
"Kilcunda","-38.5500","145.4833","396","Australia"
"Kowguran","-26.5069","150.1225","41","Australia"
"Baerami","-32.3817","150.4678","70","Australia"
"Mount Morgan","-23.6500","150.3833","1963","Australia"
"Koorda","-30.8300","117.4800","266","Australia"
"Dumbudgery","-29.2956","152.5239","0","Australia"
"Long Beach","-35.6983","150.2344","1436","Australia"
"Gowanford","-35.4167","143.2000","3","Australia"
"Rochedale","-27.5952","153.1233","15317","Australia"
"Numbulwar","-14.2833","135.7333","723","Australia"
"Stockyard","-27.6581","152.0619","49","Australia"
"Finch Hatton","-21.1339","148.6389","499","Australia"
"Pozieres","-28.5275","151.8658","145","Australia"
"Maya","-29.8825","116.5025","23","Australia"
"Lindsay Creek","-28.3403","152.6486","21","Australia"
"She Oaks","-37.9167","144.1330","107","Australia"
"Brownsville","-34.4825","150.8108","534","Australia"
"Kilcoy","-26.9431","152.5639","1898","Australia"
"Bulong","-30.7458","121.7908","0","Australia"
"Monteagle","-34.1817","148.3511","208","Australia"
"Newell","-16.4272","145.4058","336","Australia"
"Glen Alvie","-38.4967","145.6447","165","Australia"
"Pulletop","-35.4317","147.3844","83","Australia"
"Eskdale","-36.4667","147.2500","242","Australia"
"Upper Colo","-33.4150","150.7178","60","Australia"
"Kalgan","-34.9481","118.0130","806","Australia"
"Bomaderry","-34.8480","150.6050","6661","Australia"
"Palmwoods","-26.6883","152.9597","5676","Australia"
"Ensay","-37.3833","147.8333","109","Australia"
"Mount Julian","-20.3772","148.6050","492","Australia"
"Silkwood","-17.7446","146.0171","391","Australia"
"Salisbury","-32.1781","151.5453","58","Australia"
"Koo-Wee-Rup","-38.1980","145.4890","3579","Australia"
"Fernmount","-30.4667","152.9333","369","Australia"
"Rita Island","-19.6320","147.5347","152","Australia"
"Greendale","-36.5900","149.8428","77","Australia"
"Kureen","-17.3366","145.5866","122","Australia"
"Moolort","-37.0780","143.9270","32","Australia"
"Cambrai","-34.6500","139.2830","289","Australia"
"Abercrombie","-33.9117","149.3525","22","Australia"
"Koyuga","-36.2214","144.8867","315","Australia"
"Corunna","-36.2817","150.1011","63","Australia"
"Miva","-25.9578","152.4922","57","Australia"
"Koorainghat","-31.9817","152.4844","192","Australia"
"Windsor","-34.4200","138.3310","170","Australia"
"Tooborac","-37.0500","144.8000","310","Australia"
"Willbriggie","-34.4650","146.0178","131","Australia"
"Levendale","-42.5333","147.5670","123","Australia"
"Buninyong","-37.6503","143.8839","3714","Australia"
"Morgan","-34.0333","139.6667","489","Australia"
"Clarendon","-35.1167","138.6333","618","Australia"
"Rowena","-29.8150","148.9011","181","Australia"
"Watsons Creek","-30.7317","151.0511","115","Australia"
"Kununurra","-15.7736","128.7386","5308","Australia"
"Mudgeegonga","-36.5000","146.8330","172","Australia"
"Burakin","-30.5240","117.1730","32","Australia"
"Purga","-27.6603","152.7163","576","Australia"
"Port Bonython","-32.9917","137.7639","14","Australia"
"Ramco","-34.1719","139.9180","166","Australia"
"Hastings","-43.4233","146.9381","44","Australia"
"Templin","-27.9711","152.6470","86","Australia"
"Pemberton","-34.4400","116.0500","974","Australia"
"Wallace","-37.5500","144.0500","187","Australia"
"Tamrookum","-28.1225","152.9170","91","Australia"
"Kalunga","-17.4391","145.3666","95","Australia"
"Nullamanna","-29.6483","151.2178","158","Australia"
"Joel Joel","-37.0000","143.0000","22","Australia"
"Sancrox","-31.4317","152.8011","572","Australia"
"Tabbita","-34.1150","145.8511","73","Australia"
"Homestead","-20.3616","145.6580","48","Australia"
