"city","lat","lng","population","country"
"Ebensee","47.8122","13.7731","7717","Austria"
"Sonntagberg","47.9961","14.7622","3829","Austria"
"Kapellen","47.6472","15.6297","672","Austria"
"Sarleinsbach","48.5472","13.9053","2284","Austria"
"Kennelbach","47.4831","9.7667","1944","Austria"
"Monichwald","47.4472","15.8825","864","Austria"
"Birgitz","47.2342","11.3008","1488","Austria"
"Moosburg","46.6578","14.1736","4482","Austria"
"Kirchberg ob der Donau","48.4450","13.9361","1055","Austria"
"Leobersdorf","47.9286","16.2167","4915","Austria"
"Marchtrenk","48.1917","14.1106","13603","Austria"
"Aigen im Ennstal","47.5204","14.1432","2722","Austria"
"Neudorfl","47.7978","16.2967","4564","Austria"
"Sankt Peter im Sulmtal","46.7586","15.2531","1268","Austria"
"Schwertberg","48.2717","14.5833","5365","Austria"
"Rinn","47.2494","11.5036","1877","Austria"
"Dolsach","46.8278","12.8403","2338","Austria"
"Sankt Johann in der Haide","47.2811","16.0247","2159","Austria"
"Lichtenworth","47.8320","16.2957","2727","Austria"
"Herzogsdorf","48.4311","14.1136","2506","Austria"
"Rohrbach an der Lafnitz","47.3906","15.9956","2634","Austria"
"Windhaag bei Freistadt","48.5861","14.5639","1579","Austria"
"Zederhaus","47.1500","13.5167","1196","Austria"
"Hannersdorf","47.2303","16.3811","758","Austria"
"Studenzen","47.0056","15.7539","686","Austria"
"Bad Pirawarth","48.4519","16.5992","1671","Austria"
"Windigsteig","48.7667","15.2833","945","Austria"
"Frankenmarkt","47.9836","13.4233","3636","Austria"
"Heiterwang","47.4444","10.7494","532","Austria"
"Hausleiten","48.3947","16.1042","3784","Austria"
"Leopoldsdorf im Marchfelde","48.2242","16.6897","2848","Austria"
"Schrems bei Frohnleiten","47.2794","15.3642","586","Austria"
"Heidenreichstein","48.8667","15.1167","4010","Austria"
"Krakaudorf","47.1817","14.0206","614","Austria"
"Albeck Obere Schattseite","46.8167","14.1000","995","Austria"
"Tiefgraben","47.8586","13.3628","3974","Austria"
"Oberrettenbach","47.1411","15.8297","477","Austria"
"Riegersburg","47.0000","15.9333","4922","Austria"
"Bad Hall","48.0344","14.2097","5043","Austria"
"Kleinsolk","47.3950","13.9383","585","Austria"
"Landl","47.6508","14.7369","2720","Austria"
"Markt Sankt Martin","47.5622","16.4267","1198","Austria"
"Oberschlierbach","47.9253","14.0000","484","Austria"
"Sulz im Wienerwald","48.1000","16.1333","2858","Austria"
"Pilgersdorf","47.4414","16.3500","1656","Austria"
"Fischamend","48.1156","16.6128","5583","Austria"
"Weitra","48.7008","14.8956","2693","Austria"
"Grosshofen","48.2500","16.6167","98","Austria"
"Leopoldschlag Dorf","48.6167","14.5000","1023","Austria"
"Ubelbach","47.2264","15.2347","2036","Austria"
"Flirsch","47.1486","10.4086","990","Austria"
"Strasshof an der Nordbahn","48.3194","16.6475","10009","Austria"
"Pfaffenhofen","47.2833","11.0667","1102","Austria"
"Neudau","47.1744","16.1031","1459","Austria"
"Oblarn","47.4500","14.0081","2024","Austria"
"Sankt Konrad","47.9136","13.8839","1115","Austria"
"Vorderreuthe","47.3700","9.8933","658","Austria"
"Motz","47.2806","10.9556","1219","Austria"
"Pollau","47.3019","15.8339","6054","Austria"
"Eisenstadt","47.8456","16.5189","14476","Austria"
"Durnkrut","48.4711","16.8525","2267","Austria"
"Pistorf","46.7658","15.3731","1402","Austria"
"Gofis","47.2331","9.6331","3312","Austria"
"Bad Ischl","47.7115","13.6239","14133","Austria"
"Kottmannsdorf","46.5614","14.2339","3004","Austria"
"Kematen in Tirol","47.2542","11.2722","2931","Austria"
"Irenental","48.2042","16.1022","847","Austria"
"Stubenberg","47.2439","15.8003","2171","Austria"
"Sankt Gilgen","47.7667","13.3667","3915","Austria"
"Spital am Pyhrn","47.6653","14.3408","2238","Austria"
"Schoppernau","47.3133","10.0175","950","Austria"
"Lendorf","46.8333","13.4167","1712","Austria"
"Winten","47.1167","16.4333","73","Austria"
"Sankt Sigmund im Sellrain","47.2000","11.1000","175","Austria"
"Glanegg","46.7136","14.2064","1869","Austria"
"Buchbach","47.6967","15.9842","330","Austria"
"Ollersdorf im Burgenland","47.1667","16.1667","933","Austria"
"Kleblach","46.7672","13.3581","1174","Austria"
"Gross-Engersdorf","48.3500","16.5667","1478","Austria"
"Niederhollabrunn","48.4486","16.3014","1534","Austria"
"Gasen","47.3831","15.5661","915","Austria"
"Reith bei Kitzbuhel","47.4758","12.3444","1662","Austria"
"Sankt Martin im Innkreis","48.2942","13.4403","2055","Austria"
"Horn","48.6653","15.6558","6520","Austria"
"Schrems","48.7833","15.0667","5404","Austria"
"Spannberg","48.4500","16.7167","1010","Austria"
"Amstetten","48.1167","14.8667","23656","Austria"
"Feistritz an der Gail","46.5739","13.6039","627","Austria"
"Kappl","47.0631","10.3756","2617","Austria"
"Grafenschachen","47.3631","16.0664","1225","Austria"
"Wullersdorf","48.6276","16.1012","2385","Austria"
"Preunegg","47.4000","13.6000","905","Austria"
"Deutschkreutz","47.6017","16.6281","3088","Austria"
"Maria Laach am Jauerling","48.3031","15.3450","916","Austria"
"Schwand im Innkreis","48.1783","12.9681","972","Austria"
"Sankt Georgen am Ybbsfelde","48.1294","14.9536","2886","Austria"
"Hoheneich","48.7717","15.0258","1424","Austria"
"Apetlon","47.7450","16.8311","1760","Austria"
"Bludesch","47.1996","9.7471","2370","Austria"
"Sankt Georgen am Reith","47.8406","14.8797","578","Austria"
"Helfenberg","48.5433","14.1425","1004","Austria"
"Olbendorf","47.1886","16.2039","1449","Austria"
"Aschach an der Donau","48.3667","14.0167","2201","Austria"
"Grossharras","48.6639","16.2475","1116","Austria"
"Zell an der Pram","48.3167","13.6333","2021","Austria"
"Kundl","47.4698","11.9849","4464","Austria"
"Satteins","47.2250","9.6719","2703","Austria"
"Atzbach","48.0850","13.7036","1196","Austria"
"Haslach an der Muhl","48.5786","14.0353","2536","Austria"
"Elbigenalp","47.2911","10.4392","889","Austria"
"Muhldorf bei Feldbach","46.9333","15.9000","3125","Austria"
"Radfeld","47.4461","11.9114","2495","Austria"
"Mutters","47.2333","11.3667","2202","Austria"
"Zell am Moos","47.9003","13.3169","1575","Austria"
"Ainet","46.8967","12.6991","936","Austria"
"Hafning bei Trofaiach","47.4442","14.9986","1600","Austria"
"Hornstein","47.8808","16.4456","3012","Austria"
"Sankt Johann im Saggautal","46.7022","15.4006","2023","Austria"
"Asparn an der Zaya","48.5872","16.4944","1865","Austria"
"Weitersfelden","48.4778","14.7278","1042","Austria"
"Gmund","46.9067","13.5350","2550","Austria"
"Gmund","48.7667","14.9833","5375","Austria"
"Rustorf","48.0450","13.7925","2104","Austria"
"Jois","47.9500","16.7667","1612","Austria"
"Arzl im Pitztal","47.2083","10.7625","3134","Austria"
"Euratsfeld","48.0828","14.9325","2639","Austria"
"Salzburg","47.7972","13.0477","155021","Austria"
"Altenmarkt im Pongau","47.3667","13.4167","4218","Austria"
"Waldhausen","48.5167","15.2500","1215","Austria"
"Trossing","46.8267","15.8197","270","Austria"
"Vorderweissenbach","48.5528","14.2200","2653","Austria"
"Raggal","47.2103","9.8358","868","Austria"
"Eibiswald","46.6867","15.2472","6485","Austria"
"Krakauhintermuhlen","47.1897","13.9581","523","Austria"
"Frannach","46.9136","15.6337","548","Austria"
"Hadres","48.7000","16.1333","1685","Austria"
"Monichkirchen","47.5117","16.0358","606","Austria"
"Pressbaum","48.1833","16.0825","7559","Austria"
"Ferschnitz","48.0939","14.9861","1770","Austria"
"Leonding","48.2792","14.2528","28698","Austria"
"Sibratsgfall","47.4267","10.0381","401","Austria"
"Furth an der Triesting","47.9728","15.9733","862","Austria"
"Wurmlach","46.6579","13.0147","343","Austria"
"Jagerberg","46.8540","15.7380","1653","Austria"
"Michaelerberg","47.4100","13.8900","436","Austria"
"Pottendorf","47.9064","16.3908","7049","Austria"
"Sankt Leonhard am Forst","48.1417","15.2833","2989","Austria"
"Reichendorf","47.1889","15.7517","629","Austria"
"Mondsee","47.8567","13.3517","3734","Austria"
"Grieskirchen","48.2350","13.8319","5002","Austria"
"Sankt Georgen im Gailtal","46.6167","13.5167","1593","Austria"
"Geiersberg","48.2044","13.5883","519","Austria"
"Kleinpochlarn","48.2167","15.2167","991","Austria"
"Niederneukirchen","48.1608","14.3408","2073","Austria"
"Gratwein","47.1294","15.3178","3635","Austria"
"Bleiburg","46.5900","14.7989","4072","Austria"
"Fussach","47.4783","9.6639","3871","Austria"
"Hof bei Straden","46.8006","15.8944","847","Austria"
"Munzkirchen","48.4833","13.5667","2572","Austria"
"Maria Taferl","48.2267","15.1597","912","Austria"
"Anif","47.7500","13.0667","4195","Austria"
"Tainach","46.6347","14.5383","533","Austria"
"Thuringen","47.2000","9.7667","2222","Austria"
"Wallendorf","46.9722","16.2336","372","Austria"
"Laussa","47.9503","14.4506","1227","Austria"
"Schonegg","48.5711","14.1728","569","Austria"
"Weinzierl am Walde","48.4326","15.4323","1240","Austria"
"Kirchberg am Wagram","48.4303","15.8981","3670","Austria"
"Unternberg","47.1122","13.7400","1035","Austria"
"Irschen","46.7569","13.0253","2022","Austria"
"Bad Fischau","47.8333","16.1667","3440","Austria"
"Muhr","47.0833","13.4833","510","Austria"
"Krottendorf bei Ligist","47.0092","15.2158","2463","Austria"
"Grossweikersdorf","48.4725","15.9800","3180","Austria"
"Pernersdorf","48.7000","16.0167","1022","Austria"
"Peilstein im Muhlviertel","48.6183","13.8947","1541","Austria"
"Ellmau","47.5139","12.3036","2828","Austria"
"Gresten","47.9833","15.0167","1987","Austria"
"Hippach","47.2000","11.8667","1455","Austria"
"Sankt Margarethen bei Knittelfeld","47.2267","14.8589","2750","Austria"
"Sankt Michael im Burgenland","47.1267","16.2692","963","Austria"
"Parbasdorf","48.2789","16.5894","169","Austria"
"Sankt Anton an der Jessnitz","47.9611","15.2056","1211","Austria"
"Schlusslberg","48.2194","13.8725","3091","Austria"
"Palting","48.0167","13.1278","938","Austria"
"Petersdorf","46.9962","15.6766","877","Austria"
"Stetteldorf am Wagram","48.4086","16.0164","1041","Austria"
"Ritzing","47.6114","16.4964","865","Austria"
"Sankt Kathrein am Hauenstein","47.4894","15.6939","633","Austria"
"Wolfsegg am Hausruck","48.1075","13.6744","1982","Austria"
"Sachsenburg","46.8292","13.3550","1289","Austria"
"Neuhaus am Klausenbach","46.8681","16.0306","921","Austria"
"Antiesenhofen","48.3425","13.3978","1091","Austria"
"Wolfsgraben","48.1586","16.1181","1700","Austria"
"Stanz bei Landeck","47.1486","10.5533","577","Austria"
"Kirchbach","46.6411","13.1833","2599","Austria"
"Michaelnbach","48.2886","13.8325","1263","Austria"
"Feldkirchen bei Mattighofen","48.0694","13.0456","1978","Austria"
"Gerasdorf bei Wien","48.2950","16.4675","11155","Austria"
"Neukirchen an der Vockla","48.0411","13.5383","2559","Austria"
"Murau","47.1119","14.1731","3629","Austria"
"Meiningen","47.3000","9.5833","2245","Austria"
"Perchtoldsdorf","48.1167","16.2667","15047","Austria"
"Turnau","47.5581","15.3375","1561","Austria"
"Assing","46.7864","12.6411","1769","Austria"
"Freinberg","48.5667","13.5167","1458","Austria"
"Rohrbach bei Mattersburg","47.7097","16.4272","2707","Austria"
"Mureck","46.7086","15.7728","3551","Austria"
"Kartitsch","46.7054","12.5022","803","Austria"
"Kasten bei Boheimkirchen","48.1500","15.7833","1409","Austria"
"Oberwang","47.8669","13.4333","1708","Austria"
"Burgkirchen","48.2044","13.1014","2661","Austria"
"Tristach","46.8172","12.7875","1437","Austria"
"Admont","47.5731","14.4611","5010","Austria"
"Korneuburg","48.3453","16.3331","12986","Austria"
"Glojach","46.8732","15.6829","244","Austria"
"Kirchschlag bei Linz","48.4136","14.2781","2138","Austria"
"Munzbach","48.2669","14.7156","1814","Austria"
"Hohenweiler","47.5883","9.7814","1271","Austria"
"Sankt Lorenzen im Murztal","47.4800","15.3708","3626","Austria"
"Sankt Jakob in Haus","47.5008","12.5597","791","Austria"
"Steinberg an der Rabnitz","47.4767","16.4867","1291","Austria"
"Maria Schmolln","48.1333","13.2167","1414","Austria"
"Gollersdorf","48.4914","16.1206","2999","Austria"
"Werndorf","46.9211","15.4811","2365","Austria"
"Pols","47.2194","14.5839","2367","Austria"
"Sankt Lorenz","47.8233","13.3567","2493","Austria"
"Hieflau","47.6000","14.7500","730","Austria"
"Grundlsee","47.6267","13.8375","1199","Austria"
"Mistelbach","48.5667","16.5667","11559","Austria"
"Sankt Martin bei Lofer","47.5667","12.7000","1153","Austria"
"Berg","48.1033","17.0378","861","Austria"
"Stinatz","47.2039","16.1333","1263","Austria"
"Altenfelden","48.4861","13.9689","2219","Austria"
"Pirching am Traubenberg","46.9562","15.5966","2567","Austria"
"Kleinneusiedl","48.0908","16.6044","907","Austria"
"Arnoldstein","46.5506","13.7039","7096","Austria"
"Neufelden","48.4842","14.0019","1276","Austria"
"Hofkirchen im Traunkreis","48.1419","14.3803","1899","Austria"
"Pillichsdorf","48.3631","16.5383","1157","Austria"
"Pierbach","48.3472","14.7556","1011","Austria"
"Deutsch Jahrndorf","48.0117","17.1056","611","Austria"
"Schonberg im Stubaital","47.1864","11.4061","1101","Austria"
"Frohnleiten","47.2703","15.3244","6655","Austria"
"Wolfsbach","48.0797","14.6692","2011","Austria"
"Landeck","47.1333","10.5667","7725","Austria"
"Luftenberg","48.2756","14.4292","4057","Austria"
"Fischlham","48.0864","13.9487","1328","Austria"
"Kirchheim im Innkreis","48.2097","13.3611","716","Austria"
"Kleinhadersdorf","48.6642","16.5900","442","Austria"
"Sankt Georgen am Langsee","46.7800","14.4319","3648","Austria"
"Grosstubing","47.1925","15.2347","356","Austria"
"Gross Sankt Florian","46.8244","15.3186","4150","Austria"
"Stallhofen","47.0500","15.2167","3118","Austria"
"Bachmanning","48.1303","13.7958","704","Austria"
"Oberbildein","47.1308","16.4661","343","Austria"
"Fladnitz an der Teichalpe","47.2858","15.4781","1792","Austria"
"Geras","48.7989","15.6744","1325","Austria"
"Spital","48.6753","14.9169","200","Austria"
"Metnitz","46.9806","14.2172","2011","Austria"
"Winden am See","47.9500","16.7500","1315","Austria"
"Rosendorf","46.9782","16.2077","82","Austria"
"Pettenbach","47.9617","14.0167","5272","Austria"
"Sulzberg","47.5206","9.9122","1818","Austria"
"Grossebersdorf","48.3622","16.4692","2236","Austria"
"Putzmannsdorf","47.6916","15.9975","933","Austria"
"Bromberg","47.6667","16.1833","1232","Austria"
"Althofen","46.8667","14.4667","4759","Austria"
"Poggersdorf","46.6500","14.4500","3193","Austria"
"Seebenstein","47.7019","16.1447","1401","Austria"
"Schladming","47.3942","13.6892","6660","Austria"
"Kuhtai","47.2133","11.0233","29","Austria"
"Traismauer","48.3333","15.7331","6224","Austria"
"Hainburg an der Donau","48.1478","16.9419","6570","Austria"
"Scharndorf","48.0942","16.7981","1159","Austria"
"Krumbach","47.4831","9.9358","1001","Austria"
"Pfarrkirchen im Muhlkreise","48.5044","13.8256","1474","Austria"
"Lieboch","46.9742","15.3375","5096","Austria"
"Sankt Georgen an der Leys","48.0333","15.2278","1334","Austria"
"Raxendorf","48.3408","15.2747","1050","Austria"
"Baumgartenberg","48.2089","14.7442","1734","Austria"
"Rietz","47.2847","11.0306","2313","Austria"
"Dalaas","47.1222","9.9944","1597","Austria"
"Wartmannstetten","47.6833","16.0667","1605","Austria"
"Gams bei Hieflau","47.6667","14.8000","561","Austria"
"Obergrafendorf","48.1508","15.5442","4544","Austria"
"Aurach am Hongar","47.9503","13.6672","1715","Austria"
"Sankt Michael im Lungau","47.1000","13.6333","3520","Austria"
"Kirchberg an der Pielach","48.0167","15.4333","3225","Austria"
"Weng im Innkreis","48.2358","13.1797","1394","Austria"
"Hirnsdorf","47.1931","15.8283","677","Austria"
"Bischofstetten","48.1233","15.4700","1176","Austria"
"Fritzens","47.3053","11.5903","2148","Austria"
"Stroheim","48.3389","13.9583","1555","Austria"
"Morschwang","48.3039","13.3658","328","Austria"
"Lochau","47.5300","9.7517","5747","Austria"
"Bildstein","47.4581","9.7722","766","Austria"
"Sankt Blasen","47.0950","14.3025","555","Austria"
"Rankweil","47.2667","9.6500","11852","Austria"
"Hart","48.1181","13.0764","27","Austria"
"Grossmurbisch","47.0169","16.3603","242","Austria"
"Sankt Martin an der Raab","46.9206","16.1344","1959","Austria"
"Wald am Schoberpass","47.4528","14.6703","586","Austria"
"Edlbach","47.7125","14.3667","670","Austria"
"Grafenschlag","48.5000","15.1667","853","Austria"
"Steinfeld","46.7578","13.2500","2051","Austria"
"Bad Deutsch-Altenburg","48.1333","16.9000","1765","Austria"
"Klingenbach","47.7533","16.5386","1246","Austria"
"Ottenthal","48.7592","16.5783","544","Austria"
"Jedenspeigen","48.5000","16.8667","1064","Austria"
"Tragwein","48.3306","14.6222","3082","Austria"
"Mischendorf","47.1942","16.3119","1589","Austria"
"Hirtenberg","47.9317","16.1756","2586","Austria"
"Hatting","47.2778","11.1683","1444","Austria"
"Litschau","48.9433","15.0456","2259","Austria"
"Kloch","46.7647","15.9661","1192","Austria"
"Rainbach im Muhlkreis","48.5611","14.4778","2959","Austria"
"Hollersbach im Pinzgau","47.2667","12.4167","1220","Austria"
"Hinzenbach","48.3083","14.0056","1999","Austria"
"Gnadenwald","47.3167","11.5500","826","Austria"
"Friedberg","47.4414","16.0581","2601","Austria"
"Tulbing","48.2875","16.1167","2971","Austria"
"Mils bei Imst","47.2056","10.6736","559","Austria"
"Pfaffstatten","48.0167","16.2661","3551","Austria"
"Scheffau am Tennengebirge","47.5917","13.2111","1375","Austria"
"Waidmannsfeld","47.8667","15.9667","1515","Austria"
"Wilhering","48.3239","14.1906","5911","Austria"
"Wolfpassing","48.0778","15.0639","1616","Austria"
"Nauders","46.8667","10.5167","1542","Austria"
"Rottenbach","48.2061","13.6811","1105","Austria"
"Hofen","47.4711","10.6872","1200","Austria"
"Sankt Marienkirchen bei Scharding","48.3833","13.4500","1832","Austria"
"Murzzuschlag","47.6075","15.6731","8654","Austria"
"Jeging","48.0500","13.1500","691","Austria"
"Pattigham","48.1553","13.4847","928","Austria"
"Thalheim bei Wels","48.1514","14.0383","5482","Austria"
"Parschlug","47.4833","15.2833","1735","Austria"
"Rohrbach","48.5733","13.9917","2552","Austria"
"Leogang","47.4167","12.7500","3263","Austria"
"Schlins","47.2061","9.6997","2404","Austria"
"Oberperfuss","47.2500","11.2500","3043","Austria"
"Umhausen","47.1167","10.9167","3220","Austria"
"Wernstein am Inn","48.5086","13.4603","1566","Austria"
"Oberndorf an der Melk","48.0639","15.2186","2957","Austria"
"Oberneukirchen","48.4647","14.2272","3202","Austria"
"Taiskirchen im Innkreis","48.2636","13.5736","2407","Austria"
"Zeutschach","47.0708","14.3667","210","Austria"
"Oberwart","47.2878","16.2031","7572","Austria"
"Sankt Lorenzen am Wechsel","47.4422","15.9536","1487","Austria"
"Reith im Alpbachtal","47.4167","11.8783","2722","Austria"
"Attendorf","47.0056","15.3261","1823","Austria"
"Lackendorf","47.5894","16.5011","604","Austria"
"Peterskirchen","48.2383","13.5478","700","Austria"
"Weer","47.3053","11.6456","1539","Austria"
"Hofkirchen an der Trattnach","48.2197","13.7400","1667","Austria"
"Steinakirchen am Forst","48.0667","15.0472","2274","Austria"
"Ohlsdorf","47.9614","13.7928","5209","Austria"
"Wimpassing an der Leitha","47.9150","16.4269","1549","Austria"
"Sankt Veit im Pongau","47.3306","13.1556","3788","Austria"
"Munchendorf","48.0300","16.3786","2992","Austria"
"Uttendorf","47.2667","12.5667","2913","Austria"
"Sommerein","47.9917","16.6578","1947","Austria"
"Baumkirchen","47.2997","11.5639","1284","Austria"
"Garsten","48.0217","14.4089","6711","Austria"
