"city","lat","lng","population","country"
"Lokbatan","40.3272","49.7300","35523","Azerbaijan"
"Xankandi","39.8153","46.7519","49848","Azerbaijan"
"Xirdalan","40.4486","49.7564","95200","Azerbaijan"
"Naxcivan","39.2092","45.4122","94788","Azerbaijan"
"Daskasan","40.5181","46.0828","10700","Azerbaijan"
"Sumqayit","40.5917","49.6397","341200","Azerbaijan"
"Cirimbel","38.9214","48.1281","550","Azerbaijan"
"Lerik","38.7753","48.4153","8576","Azerbaijan"
"Naftalan","40.5058","46.8192","10100","Azerbaijan"
"Balakan","41.7233","46.3919","8134","Azerbaijan"
"Masalli","39.0183","48.6669","14746","Azerbaijan"
"Neftcala","39.3791","49.2486","14241","Azerbaijan"
"Boyahmadli","40.1310","46.8630","81","Azerbaijan"
"Agabayli","40.0631","47.3678","563","Azerbaijan"
"Mastaga","40.5286","50.0103","43700","Azerbaijan"
"Kis","41.2594","47.1881","6244","Azerbaijan"
"Yenikand","40.6981","48.0378","812","Azerbaijan"
"Goytapa","39.1167","48.5953","10067","Azerbaijan"
"Abbasabad","38.8689","48.2878","596","Azerbaijan"
"Havzova","38.7833","48.7167","2240","Azerbaijan"
"Quba","41.3653","48.5264","20791","Azerbaijan"
"Susa","39.7500","46.7500","4446","Azerbaijan"
"Gandov","41.2625","48.9053","2296","Azerbaijan"
"Bagtala","41.3667","46.8167","9","Azerbaijan"
"Beylaqan","39.7692","47.6156","12263","Azerbaijan"
"Amircan","40.4236","49.9886","29800","Azerbaijan"
"Qacar","39.6458","47.0578","145","Azerbaijan"
"Hadrut","39.5167","47.0300","4100","Azerbaijan"
"Alimardanli","41.0425","45.6764","3060","Azerbaijan"
"Qazyan","39.2015","46.4150","42288","Azerbaijan"
"Kurdamir","40.3383","48.1608","15385","Azerbaijan"
"Agcabadi","40.0489","47.4502","39200","Azerbaijan"
"Liman","38.8733","48.8139","8661","Azerbaijan"
"Saribas","41.4194","46.9181","166","Azerbaijan"
"Ismayilli","40.7839","48.1439","20660","Azerbaijan"
"Goranboy","40.6100","46.7872","7400","Azerbaijan"
"Zumurxan","40.3775","47.0764","1.307","Azerbaijan"
"Ordubad","38.9047","46.0231","10372","Azerbaijan"
"Goycay","40.6553","47.7389","36200","Azerbaijan"
"Aliagali","40.0383","46.7761","0","Azerbaijan"
"Buzovna","40.5167","50.1167","31500","Azerbaijan"
"Xacmaz","41.4681","48.8028","39900","Azerbaijan"
"Agsu","40.5708","48.3928","20200","Azerbaijan"
"Asagi Qislaq","39.4694","45.7019","916","Azerbaijan"
"Fuzuli","39.6003","47.1431","17500","Azerbaijan"
"Ordahal","38.8667","48.4667","235","Azerbaijan"
"Corat","40.5739","49.7036","12900","Azerbaijan"
"Boykandil","38.8644","48.4397","226","Azerbaijan"
"Agdam","40.9053","45.5564","0","Azerbaijan"
"Haciqabul","40.0375","48.9350","21504","Azerbaijan"
"Agdas","40.6500","47.4833","29600","Azerbaijan"
"Alibayli","40.9375","45.4942","2497","Azerbaijan"
"Zardab","40.2111","47.7108","8450","Azerbaijan"
"Sahbuzkand","39.3842","45.5086","3127","Azerbaijan"
"Haci Zeynalabdin","40.6242","49.5575","22000","Azerbaijan"
"Yenikand","40.4419","46.6467","289","Azerbaijan"
"Zaqatala","41.6336","46.6433","31300","Azerbaijan"
"Saki","41.1919","47.1706","68360","Azerbaijan"
"Agdam","39.9833","46.9167","3770","Azerbaijan"
"Oguz","41.0714","47.4653","7400","Azerbaijan"
"Allar","38.7981","48.2367","1674","Azerbaijan"
"Calilabad","39.2042","48.4958","25846","Azerbaijan"
"Samkir","40.8564","46.0172","40600","Azerbaijan"
"Saatli","39.9311","48.3697","17900","Azerbaijan"
"Yevlax","40.6172","47.1500","59036","Azerbaijan"
"Qarabulaq","40.4644","46.3950","246","Azerbaijan"
"Gadabay","40.5656","45.8161","5049","Azerbaijan"
"Rezvan","38.6667","48.7000","12","Azerbaijan"
"Zarna","41.5106","46.8181","762","Azerbaijan"
"Qobustan","40.5333","48.9333","8100","Azerbaijan"
"Yenikand","40.6500","48.3833","300","Azerbaijan"
"Ahmadli","40.3839","49.9475","10974","Azerbaijan"
"Culfa","38.9558","45.6308","12500","Azerbaijan"
"Xocali","39.9111","46.7892","1397","Azerbaijan"
"Salyan","39.5968","48.9837","30396","Azerbaijan"
"Imisli","39.8697","48.0600","31310","Azerbaijan"
"Asagi Guzdak","40.4825","49.6628","2755","Azerbaijan"
"Babak","39.1111","45.4114","5600","Azerbaijan"
"Qubadli","39.3439","46.5797","5508","Azerbaijan"
"Xudat","41.6339","48.6772","10894","Azerbaijan"
"Cabrayil","39.4000","47.0261","6300","Azerbaijan"
"Haciqahramanli","39.8792","48.9269","2300","Azerbaijan"
"Quscu","40.5517","46.0956","412","Azerbaijan"
"Sirvan","39.9319","48.9203","58253","Azerbaijan"
"Xacmaz","41.0497","47.5964","6954","Azerbaijan"
"Agstafa","41.1167","45.4500","20200","Azerbaijan"
"Macaxi","40.7333","48.3167","136","Azerbaijan"
"Bilasuvar","39.4481","48.5428","22800","Azerbaijan"
"Qovlar","40.9419","45.7358","10130","Azerbaijan"
"Qasim Ismayilov","40.8144","46.2636","2478","Azerbaijan"
"Qaracuxur","40.3969","49.9733","85900","Azerbaijan"
"Azapli","40.9286","45.6625","1592","Azerbaijan"
"Siyazan","41.0783","49.1061","18655","Azerbaijan"
"Pirallahi","40.4700","50.3247","13583","Azerbaijan"
"Boyuk Kasik","41.3883","45.1894","1428","Azerbaijan"
"Qusar","41.4219","48.4214","14230","Azerbaijan"
"Tovuz","40.9864","45.6275","13700","Azerbaijan"
"Qax","41.4194","46.9181","11415","Azerbaijan"
"Goran","40.6578","46.8525","220","Azerbaijan"
"Qubaxalilli","40.6161","48.1242","2349","Azerbaijan"
"Agdara","40.2153","46.8128","8325","Azerbaijan"
"Tartar","40.3353","46.9303","12563","Azerbaijan"
"Barda","40.3831","47.1186","38500","Azerbaijan"
"Alat","39.9483","49.4067","12600","Azerbaijan"
"Ganca","40.6828","46.3606","331400","Azerbaijan"
"Goygol","40.5905","46.3239","15338","Azerbaijan"
"Sabirabad","40.0053","48.4719","18612","Azerbaijan"
"Mammadxanli","39.0953","48.7153","444","Azerbaijan"
"Mingacevir","40.7700","47.0489","98800","Azerbaijan"
"M.A. Rasulzada","40.4342","49.8617","51800","Azerbaijan"
"Baku","40.3667","49.8352","2181800","Azerbaijan"
"Urva","41.4000","48.3367","2472","Azerbaijan"
"Lankaran","38.7536","48.8511","51300","Azerbaijan"
"Asagi Ayibli","40.9347","45.8261","9983","Azerbaijan"
"Lacin","39.6408","46.5469","2190","Azerbaijan"
"Qaravalli","40.1867","47.2478","3000","Azerbaijan"
"Ivanovka","40.7339","48.0331","3303","Azerbaijan"
"Astara","38.4400","48.8750","16800","Azerbaijan"
"Samaxi","40.6339","48.6392","24681","Azerbaijan"
"Zangilan","39.0656","46.6969","500","Azerbaijan"
"Yardimli","38.9206","48.2372","7623","Azerbaijan"
"Qazmalar","40.9814","47.8458","11867","Azerbaijan"
