"city","lat","lng","population", "country"
"Dhaka","23.7289","90.3944","15443000","Bangladesh"
"Barishal","22.7000","90.3667","328278","Bangladesh"
"Chattogram","22.3350","91.8325","2581643","Bangladesh"
"Harinakunda","23.6500","89.0333","17533","Bangladesh"
"Brahmanbaria","23.9667","91.1000","268279","Bangladesh"
"Pabna","24.0004","89.2500","137888","Bangladesh"
"Narayanganj","23.6167","90.5000","223622","Bangladesh"
"Comilla","23.4500","91.2000","296010","Bangladesh"
"Mymensingh","24.7504","90.3800","330126","Bangladesh"
"Tangail","24.2500","89.9200","180144","Bangladesh"
"Narsingdi","23.9000","90.7167","185128","Bangladesh"
"Jamalpur","24.9004","89.9500","167900","Bangladesh"
"Khulna","22.8167","89.5500","1311100","Bangladesh"
"Rajshahi","24.3667","88.6000","448087","Bangladesh"
"Krisnapur","21.7844","92.0075","2000","Bangladesh"
"Jessore","23.1704","89.2000","243987","Bangladesh"
"Sylhet","24.9000","91.8667","479837","Bangladesh"
"Saidpur","25.8004","89.0000","232209","Bangladesh"
"Nawabganj","24.5804","88.3500","142361","Bangladesh"
"Rangpur","25.7500","89.2500","294265","Bangladesh"
