"city","lat","lng","population","country"
"Roshchino","53.1039","30.3628","12","Belarus"
"Trosnoye","54.2456","30.5522","12","Belarus"
"Shestovichi","52.0900","28.6569","85","Belarus"
"Maloye Zapotoch'ye","53.7000","29.8478","2","Belarus"
"Nekrashevka","51.7000","29.0333","83","Belarus"
"Staraya Dubrova","52.6625","28.8833","392","Belarus"
"Sloboda","53.1764","30.3750","159","Belarus"
"Sloboda","52.2838","31.6109","124","Belarus"
"Balichi","53.4254","24.0111","17","Belarus"
"Sedeyki","53.3000","24.1667","6","Belarus"
"Novy Svyerzhan'","53.4500","26.7333","1982","Belarus"
"Dzyetkavichy","53.1164","25.6956","14","Belarus"
"Shalayewka","53.5066","29.7363","138","Belarus"
"Raduchi","53.9618","31.0210","11","Belarus"
"Kustovitsa","53.0500","30.4078","25","Belarus"
"Sushchev","53.5625","30.1232","51","Belarus"
"Ahdemyer","52.1667","25.3167","208","Belarus"
"Ragozinka","53.9467","30.9322","31","Belarus"
"Lutishche","53.7980","31.2480","3","Belarus"
"Lyuta","52.2972","23.4842","123","Belarus"
"Pod'yasenka","53.2311","29.0170","22","Belarus"
"Vileyka","53.7999","30.8933","52","Belarus"
"Hayshyn","53.3467","30.9919","92","Belarus"
"Novaya Koshara","53.0833","29.8089","39","Belarus"
"Tishkovtsy","53.2206","26.3003","24","Belarus"
"Dvor-Peresika","54.4478","29.0653","14","Belarus"
"Zatitova Sloboda","53.5158","28.2664","519","Belarus"
"Yasenovets","53.4064","30.9553","8","Belarus"
"Poblin","52.8819","28.8100","56","Belarus"
"Klyapinichi","54.1333","29.9167","142","Belarus"
"Dikalovka","52.1167","31.0833","64","Belarus"
"Makarychy","52.1078","28.4217","608","Belarus"
"Vyhanashchy","52.6133","25.9186","408","Belarus"
"Malyye Zimovishchi","52.0247","29.0319","339","Belarus"
"Larishchevo","52.3911","31.2169","255","Belarus"
"Staryya Dzyatlavichy","52.2181","30.8667","284","Belarus"
"Doroshevichi","52.1175","28.2139","154","Belarus"
"Tsyalyakava","53.5164","27.3853","185","Belarus"
"Klimawka","52.2922","31.0919","876","Belarus"
"Plesovichskaya Slobodka","52.8333","29.7500","314","Belarus"
"Kovalichi","53.4878","23.9394","42","Belarus"
"Chepchin","52.2864","29.5500","64","Belarus"
"Nakhaw","52.2311","29.7233","429","Belarus"
"Brody","54.6439","28.2242","56","Belarus"
"Brody","53.7798","30.8862","30","Belarus"
"Brody","52.8828","28.6139","12","Belarus"
"Shutovka","52.2031","31.0192","12","Belarus"
"Stakhovshchina","53.6398","30.0161","26","Belarus"
