"city","lat","lng","population","country"
"Frameries","50.4088","3.8906","21878","Belgium"
"Hastiere-par-dela","50.2167","4.8333","5979","Belgium"
"Herbeumont","49.7808","5.2375","1627","Belgium"
"Asse","50.9000","4.2000","32958","Belgium"
"Landen","50.7547","5.0814","15961","Belgium"
"Assenois","49.9660","5.6800","213","Belgium"
"La Roche-en-Ardenne","50.1817","5.5750","4194","Belgium"
"Bruges","51.2089","3.2242","118053","Belgium"
"Mons","50.4550","3.9520","95299","Belgium"
"Wervik","50.7797","3.0400","18643","Belgium"
"Zwijndrecht","51.2167","4.3333","19002","Belgium"
"Seraing","50.5986","5.5122","64270","Belgium"
"Bredene","51.2336","2.9756","17828","Belgium"
"Flemalle-Haute","50.6011","5.4628","26174","Belgium"
"Mande Sainte-Marie","49.9841","5.6128","74","Belgium"
"Zwevegem","50.8000","3.3333","24619","Belgium"
"Chenogne","49.9910","5.6196","142","Belgium"
"Borgloon","50.8022","5.3433","10697","Belgium"
"Balen","51.1708","5.1697","22813","Belgium"
"Wanze","50.5353","5.2133","13576","Belgium"
"De Panne","51.1019","2.5917","11129","Belgium"
"Evere","50.8719","4.4033","42656","Belgium"
"Ans","50.6625","5.5200","28238","Belgium"
"Herstappe","50.7333","5.4333","88","Belgium"
"Zaventem","50.8833","4.4667","33806","Belgium"
"Heist-op-den-Berg","51.0758","4.7286","42950","Belgium"
"Niel","51.1100","4.3303","10546","Belgium"
"Zedelgem","51.1431","3.1361","22635","Belgium"
"Maldegem","51.2089","3.4464","23689","Belgium"
"Oostnieuwkerke","50.9403","3.0597","3437","Belgium"
"Tenneville","50.0919","5.5244","2842","Belgium"
"Etterbeek","50.8361","4.3861","48473","Belgium"
"Lokeren","51.1000","3.9833","41057","Belgium"
"Zelzate","51.1975","3.8139","12699","Belgium"
"Sibret","49.9691","5.6354","805","Belgium"
"Chaumont","49.9197","5.6713","34","Belgium"
"Nevele","51.0342","3.5475","12179","Belgium"
"Rumst","51.0769","4.4233","15114","Belgium"
"Achterbroek","51.4000","4.5000","2188","Belgium"
"Stoumont","50.4081","5.8078","3104","Belgium"
"Arlon","49.6836","5.8167","29733","Belgium"
"Lierre","51.1311","4.5697","36646","Belgium"
"De Pinte","50.9919","3.6478","10532","Belgium"
"Butgenbach","50.4262","6.2041","5605","Belgium"
"Mechelen-aan-de-Maas","50.9967","5.7025","38193","Belgium"
"Bastogne","50.0042","5.7200","15894","Belgium"
"Willebroek","51.0597","4.3581","26223","Belgium"
"Brecht","51.3494","4.6394","29454","Belgium"
"Stekene","51.2061","4.0400","18352","Belgium"
"Vaux-sur-Sure","49.9103","5.5657","868","Belgium"
"Villers-la-Ville","50.5833","4.5333","10713","Belgium"
"Wemmel","50.9167","4.3000","16347","Belgium"
"Wielsbeke","50.9089","3.3697","9584","Belgium"
"Leglise","49.8000","5.5375","5366","Belgium"
"Middelburg","51.2550","3.4161","607","Belgium"
"Momignies","50.0294","4.1667","5309","Belgium"
"Etalle","49.6739","5.6019","5855","Belgium"
"Villeroux","49.9793","5.6541","102","Belgium"
"Amay","50.5478","5.3192","14305","Belgium"
"Fexhe-le-Haut-Clocher","50.6667","5.4000","3263","Belgium"
"Keerbergen","51.0031","4.6311","12743","Belgium"
"Oudenburg","51.1833","3.0000","9300","Belgium"
"Oudenaarde","50.8500","3.6000","31132","Belgium"
"Lavaselle","49.9861","5.5934","42","Belgium"
"Ecaussinnes-Lalaing","50.5667","4.1833","11135","Belgium"
"Beveren","51.2000","4.2500","48192","Belgium"
"Koekelare","51.0906","2.9803","8784","Belgium"
"Welkenraedt","50.6606","5.9714","9920","Belgium"
"Chimay","50.0479","4.3173","9841","Belgium"
"Ramillies-Offus","50.6333","4.9000","6394","Belgium"
"Morhet","49.9622","5.5843","418","Belgium"
"Hokelbeke","50.8333","3.6833","2048","Belgium"
"Chastre-Villeroux-Blanmont","50.6000","4.6333","7592","Belgium"
"Genappe","50.6103","4.4497","15353","Belgium"
"Sint-Gillis-Waas","51.2186","4.1236","19273","Belgium"
"Trooz","50.5667","5.6833","8172","Belgium"
"Nijlen","51.1611","4.6703","22936","Belgium"
"Anthisnes","50.4814","5.5217","4204","Belgium"
"Sint-Katelijne-Waver","51.0667","4.5333","20870","Belgium"
"Florennes","50.2514","4.6044","11410","Belgium"
"Quievrain","50.4049","3.6829","6759","Belgium"
"Wevelgem","50.8081","3.1839","31412","Belgium"
"Bever","50.7167","3.9333","2204","Belgium"
"Hensies","50.4328","3.6847","6828","Belgium"
"Diepenbeek","50.9072","5.4175","19137","Belgium"
"Gouvy","50.1874","5.9449","5206","Belgium"
"Zeebrugge","51.3308","3.2075","4301","Belgium"
"Hasselt","50.9304","5.3383","69222","Belgium"
"Eeklo","51.1858","3.5639","20890","Belgium"
"Zomergem","51.1167","3.5667","8466","Belgium"
"Nukerke","50.7969","3.5947","2078","Belgium"
"Nassogne","50.1286","5.3419","5474","Belgium"
"Ninove","50.8333","4.0167","38692","Belgium"
"Koolkerke","51.2417","3.2497","3361","Belgium"
"Londerzeel","51.0000","4.3000","18620","Belgium"
"Veurne","51.0722","2.6622","11790","Belgium"
"Ieper","50.8500","2.8833","34964","Belgium"
"Saint-Georges","50.6000","5.3500","6784","Belgium"
"Blegny","50.6667","5.7333","13212","Belgium"
"Kampenhout","50.9500","4.5500","11898","Belgium"
"Sint-Martens-Latem","51.0186","3.6378","8468","Belgium"
"Beersel","50.7631","4.3086","25069","Belgium"
"Geraardsbergen","50.7667","3.8667","33403","Belgium"
"Rixensart","50.7167","4.5333","22401","Belgium"
"La Louviere","50.4778","4.1881","80986","Belgium"
"Bertogne","50.0840","5.6676","3579","Belgium"
"Habay-la-Vieille","49.7303","5.6464","8387","Belgium"
"Poperinge","50.8547","2.7256","19718","Belgium"
"Deinze","50.9833","3.5272","31085","Belgium"
"Ronse","50.7500","3.6000","26337","Belgium"
"Lendelede","50.8858","3.2372","5747","Belgium"
"Menen","50.7956","3.1217","33190","Belgium"
"Herentals","51.1767","4.8364","28272","Belgium"
"Attert","49.7500","5.7867","5537","Belgium"
"Wuustwezel","51.3922","4.5942","20671","Belgium"
"La Bruyere","50.5000","4.8000","9226","Belgium"
"Daverdisse","50.0217","5.1181","1407","Belgium"
"Forest","50.8117","4.3181","56581","Belgium"
"Roeselare","50.9447","3.1233","62301","Belgium"
"Boom","51.0875","4.3667","18555","Belgium"
"Clochimont","49.9524","5.6685","47","Belgium"
"Trois Ponts","50.3717","5.8706","2570","Belgium"
"Ittre","50.6500","4.2667","6865","Belgium"
"Fleron","50.6167","5.6833","16495","Belgium"
"Mesen","50.7667","2.9000","1040","Belgium"
"De Haan","51.2731","3.0336","12635","Belgium"
"Vorselaar","51.2019","4.7717","7848","Belgium"
"Lescheret","49.8761","5.5672","98","Belgium"
"Kortessem","50.8667","5.3833","8446","Belgium"
"Lessines","50.7117","3.8300","18552","Belgium"
"Saint-Nicolas","50.6333","5.5333","24251","Belgium"
"Braine-le-Chateau","50.6833","4.2667","10447","Belgium"
"Mortsel","51.1703","4.4567","26157","Belgium"
"Zemst","50.9828","4.4611","23325","Belgium"
"Oostkamp","51.1544","3.2353","23580","Belgium"
"Schoten","51.2500","4.5000","34462","Belgium"
"Reuland","50.1964","6.1344","3956","Belgium"
"Braine-l'Alleud","50.6806","4.3717","39837","Belgium"
"Diest","50.9847","5.0514","23824","Belgium"
"Lubbeek","50.8817","4.8414","14393","Belgium"
"Nives","49.9129","5.6020","134","Belgium"
"Herk-de-Stad","50.9406","5.1672","12661","Belgium"
"Bambrugge","50.9197","3.9289","1575","Belgium"
"Houyet","50.1844","5.0086","4876","Belgium"
"Awans","50.6669","5.4633","9353","Belgium"
"Court-Saint-Etienne","50.6333","4.5667","10500","Belgium"
"Grobbendonk","51.1919","4.7386","11172","Belgium"
"Assebroek","51.1964","3.2536","19737","Belgium"
"Wakken","50.9303","3.3986","2801","Belgium"
"Gooik","50.8000","4.1167","9236","Belgium"
"Namur","50.4667","4.8667","110939","Belgium"
"Losange","49.9458","5.7093","19","Belgium"
"Jodenville","49.9686","5.6126","59","Belgium"
"Tervuren","50.8167","4.5000","22248","Belgium"
"Neerpelt","51.2278","5.4422","17174","Belgium"
"Westerlo","51.0897","4.9153","24884","Belgium"
"Houthulst","50.9783","2.9506","10032","Belgium"
"Farciennes","50.4333","4.5500","11247","Belgium"
"Mol","51.1842","5.1156","37022","Belgium"
"Tielt","50.9989","3.3258","20422","Belgium"
"Machelen","50.9103","4.4367","15417","Belgium"
"Rotselaar","50.9511","4.7108","16678","Belgium"
"Remoiville","49.9156","5.6371","96","Belgium"
"Gent","51.0536","3.7253","262219","Belgium"
"Putte","51.3506","4.3978","1099","Belgium"
"Hoogstraten","51.4008","4.7611","21424","Belgium"
"Incourt","50.7000","4.7833","5388","Belgium"
"Koewacht","51.2333","3.9667","2757","Belgium"
"Lochristi","51.0953","3.8325","22300","Belgium"
"Salvacourt","49.9540","5.6940","106","Belgium"
"Wilrijk","51.1667","4.3833","38319","Belgium"
"Kuurne","50.8519","3.2861","13318","Belgium"
"Eupen","50.6333","6.0333","19526","Belgium"
"Baelen","50.6300","5.9714","4434","Belgium"
"Antwerp","51.2206","4.4003","920000","Belgium"
"Mechelen","51.0281","4.4803","86921","Belgium"
"Liedekerke","50.8667","4.0833","13188","Belgium"
"Sint-Martens-Lennik","50.8000","4.1500","9024","Belgium"
"Grez-Doiceau","50.7333","4.7000","13368","Belgium"
"Olen","51.1439","4.8597","12560","Belgium"
"Sint-Kruis","51.2139","3.2503","15892","Belgium"
"Tellin","50.0817","5.2183","2468","Belgium"
"Esneux","50.5333","5.5667","12889","Belgium"
"Wetteren","51.0000","3.8833","25477","Belgium"
"Oosterzele","50.9458","3.8042","13546","Belgium"
"Ruisbroek","50.7903","4.2975","6043","Belgium"
"Rijkevorsel","51.3489","4.7597","11932","Belgium"
"Beyne-Heusay","50.6167","5.6500","12019","Belgium"
"Chiny","49.7383","5.3433","5175","Belgium"
"Soignies","50.5667","4.0667","27603","Belgium"
"Sint-Amands","51.0525","4.2050","8480","Belgium"
"Schilde","51.2333","4.5667","19585","Belgium"
"Couvin","50.0519","4.4961","13782","Belgium"
"Sure","49.9054","5.5962","51","Belgium"
"Linkebeek","50.7667","4.3333","4760","Belgium"
"Vilvoorde","50.9281","4.4245","44015","Belgium"
"Vosselaar","51.3081","4.8883","11159","Belgium"
"Lanaken","50.8925","5.6497","25818","Belgium"
"Sint-Pieters-Leeuw","50.7833","4.2500","34038","Belgium"
"Koekelberg","50.8606","4.3317","21959","Belgium"
"Aubange","49.5667","5.8050","16927","Belgium"
"Stavelot","50.3947","5.9297","7145","Belgium"
"Gerpinnes","50.3369","4.5283","12660","Belgium"
"Waterloo","50.7167","4.3833","30174","Belgium"
"Kapellen","51.3150","4.4294","26981","Belgium"
