"city","lat","lng","population","country"
"Dangriga","16.9667","-88.2167","9096","Belize"
"Bullet Tree Falls","17.1680","-89.1110","2124","Belize"
"Corozal","18.4000","-88.4000","8800","Belize"
"Trial Farm","18.0833","-88.5500","4264","Belize"
"Santa Familia","17.1850","-89.0740","1598","Belize"
"Punta Gorda","16.1000","-88.8000","5026","Belize"
"San Pedro","17.9214","-87.9611","11767","Belize"
"San Ignacio","17.1588","-89.0696","16977","Belize"
"Ladyville","17.5567","-88.2889","5458","Belize"
"Belmopan","17.2500","-88.7675","17222","Belize"
"Belize City","17.4986","-88.1886","57169","Belize"
"Orange Walk","18.0750","-88.5583","18000","Belize"
