"city","lat","lng","population", "country"
"Irpa Irpa","-17.7167","-66.2833","2721","Bolivia"
"Reyes","-14.2958","-67.3353","7376","Bolivia"
"Mapiri","-15.3097","-68.2161","16520","Bolivia"
"Vinto","-17.3972","-66.3136","14180","Bolivia"
"Patacamaya","-17.2333","-67.9167","22858","Bolivia"
"Uyuni","-20.4627","-66.8240","26958","Bolivia"
"Challapata","-18.9000","-66.7667","9114","Bolivia"
"Tarata","-17.6114","-66.0233","3323","Bolivia"
"San Jose de Chiquitos","-17.8500","-60.7500","16942","Bolivia"
"Viacha","-16.6333","-68.2833","29108","Bolivia"
"San Rafael","-16.7795","-60.6800","1201","Bolivia"
"Comarapa","-17.9136","-64.5297","15919","Bolivia"
"Portachuelo","-17.3547","-63.3947","16408","Bolivia"
"Torotoro","-18.1339","-65.7628","10535","Bolivia"
"San Matias","-16.3600","-58.4200","6352","Bolivia"
"Rurrenabaque","-14.4422","-67.5283","11749","Bolivia"
"Sucre","-19.0431","-65.2592","300000","Bolivia"
"Villa Yapacani","-17.4028","-63.8850","14589","Bolivia"
"San Ramon","-13.2672","-64.6172","6490","Bolivia"
"San Javier","-16.2896","-62.5000","4210","Bolivia"
"Aiquile","-18.1667","-65.1667","7381","Bolivia"
"Cochabamba","-17.3935","-66.1570","632013","Bolivia"
"San Carlos","-17.4044","-63.7325","6353","Bolivia"
"Coroico","-16.1833","-67.7333","2319","Bolivia"
"Tarabuco","-19.1825","-64.9150","2428","Bolivia"
"Puerto Heath","-12.5200","-68.6186","10","Bolivia"
"Villazon","-22.0910","-65.5960","28045","Bolivia"
"Tiquipaya","-17.3381","-66.2189","31264","Bolivia"
"Llica","-19.8496","-68.2500","553","Bolivia"
"Guanay","-15.4978","-67.8794","3890","Bolivia"
"Sacaba","-17.4042","-66.0408","172466","Bolivia"
"Santa Cruz","-17.7892","-63.1975","3151676","Bolivia"
"San Borja","-14.8583","-66.7475","24610","Bolivia"
"Charana","-17.5996","-69.4666","197","Bolivia"
"Achacachi","-16.0444","-68.6850","8857","Bolivia"
"Puerto Villarroel","-16.8667","-64.7831","46627","Bolivia"
"Bermejo","-22.7322","-64.3425","28285","Bolivia"
"Puerto Acosta","-15.4996","-69.1667","1123","Bolivia"
"Magdalena","-13.2606","-64.0528","3445","Bolivia"
"San Pedro de Buena Vista","-18.2706","-65.9808","1100","Bolivia"
"Sorata","-15.7736","-68.6486","2217","Bolivia"
"Santiago de Machaca","-17.0669","-69.1933","4593","Bolivia"
"Ascension","-15.6996","-63.0800","14429","Bolivia"
"Capinota","-17.7147","-66.2631","19477","Bolivia"
"Warnes","-17.5103","-63.1647","214216","Bolivia"
"San Buena Ventura","-14.4347","-67.5408","2264","Bolivia"
"Cuevo","-20.4547","-63.5189","1637","Bolivia"
"Baures","-13.5833","-63.5833","2422","Bolivia"
"Villa Tunari","-16.9725","-65.4200","71386","Bolivia"
"Camargo","-20.6403","-65.2103","4502","Bolivia"
"Arani","-17.5731","-65.7681","3512","Bolivia"
"Quillacollo","-17.3975","-66.2817","137182","Bolivia"
"La Higuera","-18.7950","-64.2014","119","Bolivia"
"Potosi","-19.5833","-65.7500","189652","Bolivia"
"Puerto Quijarro","-17.7796","-57.7700","10392","Bolivia"
"Quime","-16.9800","-67.2200","4045","Bolivia"
"Cobija","-11.0183","-68.7537","46267","Bolivia"
"Vallegrande","-18.4894","-64.1083","16837","Bolivia"
"Sabaya","-19.1000","-68.4333","573","Bolivia"
"Padilla","-19.3075","-64.3022","2920","Bolivia"
"Guayaramerin","-10.8267","-65.3567","36008","Bolivia"
"Robore","-18.3295","-59.7600","10036","Bolivia"
"Tarija","-21.5317","-64.7311","179528","Bolivia"
"Villa Martin Colchak","-20.7666","-67.7833","10","Bolivia"
"Apolo","-14.7196","-68.4200","4189","Bolivia"
"Montero","-17.3333","-63.3833","112837","Bolivia"
"Yacuiba","-22.0139","-63.6778","103.723","Bolivia"
"Trinidad","-14.8333","-64.9000","101454","Bolivia"
"San Lorenzo","-21.4799","-64.7700","3000","Bolivia"
"Cliza","-17.5919","-65.9342","6534","Bolivia"
"Camiri","-20.1000","-63.5333","33838","Bolivia"
"Camiri","-20.0500","-63.5200","27961","Bolivia"
"Betanzos","-19.5600","-65.4500","4847","Bolivia"
"Chulumani","-16.4102","-67.5255","13204","Bolivia"
"Riberalta","-10.9830","-66.1000","74014","Bolivia"
"Samaipata","-18.1794","-63.8756","2926","Bolivia"
"Llallagua","-18.4231","-66.5856","28069","Bolivia"
"Ixiamas","-13.7681","-68.1256","1733","Bolivia"
"Sicasica","-17.3333","-67.7333","3831","Bolivia"
"La Paz","-16.4942","-68.1475","2867504","Bolivia"
"Charagua","-19.7919","-63.2006","6780","Bolivia"
"Tupiza","-21.4423","-65.7190","23100","Bolivia"
"Punata","-17.5469","-65.8367","14742","Bolivia"
"Piso Firme","-13.6830","-61.8666","72","Bolivia"
"San Ignacio de Velasco","-16.3667","-60.9500","23569","Bolivia"
"Coromata Baja","-16.1797","-68.6233","435","Bolivia"
"Puerto Suarez","-18.9633","-57.7978","22000","Bolivia"
"Oruro","-17.9667","-67.1167","264683","Bolivia"
"Oruro","-17.9800","-67.1300","246501","Bolivia"
"Uncia","-18.4682","-66.5648","5709","Bolivia"
"Entre Rios","-21.5300","-64.1900","2685","Bolivia"
"Villamontes","-21.2647","-63.4586","39800","Bolivia"
"Santa Ana de Yacuma","-13.7444","-65.4269","12783","Bolivia"
"Corocoro","-17.1667","-68.4167","1884","Bolivia"
