"city","lat","lng","population","country"
"Jablanica","43.6583","17.7583","10580","Bosnia And Herzegovina"
"Breza","44.0210","18.2610","14564","Bosnia And Herzegovina"
"Drvar","44.3739","16.3808","7506","Bosnia And Herzegovina"
"Gorazde","43.6667","18.9778","12512","Bosnia And Herzegovina"
"Sarajevo","43.8667","18.4167","275524","Bosnia And Herzegovina"
"Petrovo","44.6333","18.3667","2322","Bosnia And Herzegovina"
"Prijedor","44.9667","16.7000","89397","Bosnia And Herzegovina"
"Grude","43.3776","17.3953","4404","Bosnia And Herzegovina"
"Banja Luka","44.7667","17.1833","199191","Bosnia And Herzegovina"
"Livno","43.8269","17.0081","9045","Bosnia And Herzegovina"
"Zvornik","44.3833","19.1000","63686","Bosnia And Herzegovina"
"Bihac","44.8167","15.8667","43007","Bosnia And Herzegovina"
"Zenica","44.2039","17.9078","70553","Bosnia And Herzegovina"
"Mrkonjic Grad","44.4167","17.0833","7915","Bosnia And Herzegovina"
"Vares","44.1644","18.3283","9556","Bosnia And Herzegovina"
"Mostar","43.3494","17.8125","163067","Bosnia And Herzegovina"
"Capljina","43.1100","17.7000","28122","Bosnia And Herzegovina"
"Bosanska Krupa","44.8833","16.1500","29659","Bosnia And Herzegovina"
"Trebinje","42.7089","18.3217","31433","Bosnia And Herzegovina"
"Teocak","44.6083","19.0167","2817","Bosnia And Herzegovina"
"Bosanski Petrovac","44.5500","16.3667","7946","Bosnia And Herzegovina"
"Velika Kladusa","45.1667","15.8000","6902","Bosnia And Herzegovina"
"Foca","43.5000","18.7833","12334","Bosnia And Herzegovina"
"Sanski Most","44.7667","16.6667","47359","Bosnia And Herzegovina"
"Bugojno","44.0572","17.4508","34559","Bosnia And Herzegovina"
"Ripac","44.7653","15.9553","1391","Bosnia And Herzegovina"
"Doboj","44.7333","18.1333","68514","Bosnia And Herzegovina"
"Zepce","44.4333","18.0333","31582","Bosnia And Herzegovina"
"Bijeljina","44.7500","19.2167","114663","Bosnia And Herzegovina"
"Lukavac","44.5333","18.5333","46731","Bosnia And Herzegovina"
"Tuzla","44.5381","18.6761","110979","Bosnia And Herzegovina"
"Tomislavgrad","43.7135","17.2266","5760","Bosnia And Herzegovina"
"Derventa","44.9800","17.9100","12680","Bosnia And Herzegovina"
"Neum","42.9261","17.6167","3236","Bosnia And Herzegovina"
"Sapna","44.4917","19.0028","12136","Bosnia And Herzegovina"
"Visegrad","43.7833","19.2833","5869","Bosnia And Herzegovina"
