"city","lat","lng","population", "country"
"Francistown","-21.1736","27.5125","89979","Botswana"
"Kasane","-17.7983","25.1536","9250","Botswana"
"Lehututu","-23.9169","21.8264","2284","Botswana"
"Ghanzi","-21.7000","21.6500","6306","Botswana"
"Kanye","-24.9833","25.3500","46831","Botswana"
"Mopipi","-21.1833","24.8833","3301","Botswana"
"Selibe Phikwe","-21.9667","27.9167","49724","Botswana"
"Maun","-19.9833","23.4167","57067","Botswana"
"Gaborone","-24.6569","25.9086","231626","Botswana"
"Molepolole","-24.4066","25.4951","67598","Botswana"
"Nokaneng","-19.6639","22.1917","1763","Botswana"
"Palapye","-22.5500","27.1333","36211","Botswana"
"Gweta","-20.2072","25.2561","5303","Botswana"
"Tsau","-20.1686","22.4558","1409","Botswana"
"Lekala","-22.7803","27.7769","5474","Botswana"
"Mahalapye","-23.1041","26.8142","50744","Botswana"
"Tshabong","-26.0200","22.4056","9679","Botswana"
"Lokwabe","-24.0961","21.7781","1473","Botswana"
"Serowe","-22.3833","26.7167","48573","Botswana"
"Lobatse","-25.2167","25.6667","29700","Botswana"
"Muhembo","-18.2996","21.8000","757","Botswana"
"Nata","-20.2103","26.1867","4794","Botswana"
"Mochudi","-24.4167","26.1500","39700","Botswana"
"Mononyane","-24.5419","25.7714","503","Botswana"
