"city","lat","lng","population", "country"
"Fortaleza dos Nogueiras","-6.9639","-46.1769","11646","Brazil"
"Varzea Nova","-11.2589","-40.9419","13470","Brazil"
"Matipo","-20.2839","-42.3408","19005","Brazil"
"Barretos","-20.5569","-48.5678","119243","Brazil"
"Barcelos","-0.9750","-62.9239","27433","Brazil"
"Meruoca","-3.5419","-40.4550","13693","Brazil"
"Belmonte","-15.8628","-38.8828","23759","Brazil"
"Mature","-7.2669","-37.3508","6441","Brazil"
"Miguel Calmon","-11.4289","-40.5950","27536","Brazil"
"Salinas da Margarida","-12.8708","-38.7639","15385","Brazil"
"Barreiras","-12.1528","-44.9900","153918","Brazil"
"Florestal","-19.8889","-44.4328","7533","Brazil"
"Rio Casca","-20.2258","-42.6508","14201","Brazil"
"Abdon Batista","-27.6108","-51.0228","2653","Brazil"
"Lagoa de Sao Francisco","-4.3919","-41.6008","6777","Brazil"
"Limoeiro do Ajuru","-1.8950","-49.3808","29282","Brazil"
"Carnaubeira da Penha","-8.3219","-38.7439","13025","Brazil"
"Cipo","-11.1000","-38.5169","17602","Brazil"
"Morpara","-11.5589","-43.2808","8967","Brazil"
"Fervedouro","-20.7258","-42.2789","11054","Brazil"
"Chopinzinho","-25.8558","-52.5228","19679","Brazil"
"Jose da Penha","-6.3169","-38.2808","5946","Brazil"
"Igapora","-13.7728","-42.7139","16225","Brazil"
"Quatro Barras","-25.3658","-49.0769","23911","Brazil"
"Licinio de Almeida","-14.6819","-42.5078","12966","Brazil"
"Comendador Gomes","-19.6978","-49.0808","3120","Brazil"
"Nobres","-14.7200","-56.3278","14938","Brazil"
"Sao Bento do Una","-8.5228","-36.4439","53242","Brazil"
"Viseu","-1.1969","-46.1400","61751","Brazil"
"Sebastiao Laranjeiras","-14.5728","-42.9400","11528","Brazil"
"Palmas","-10.2128","-48.3603","272726","Brazil"
"Caldas","-21.9239","-46.3858","14541","Brazil"
"Mairipora","-23.3189","-46.5869","100179","Brazil"
"Santana do Acarau","-3.4608","-40.2119","29946","Brazil"
"Codo","-4.4550","-43.8858","118038","Brazil"
"Rancho Alegre","-23.0700","-50.9128","3955","Brazil"
"Aroeiras","-7.5450","-35.7078","19204","Brazil"
"Itapetininga","-23.5917","-48.0531","157016","Brazil"
"Corumba","-19.0089","-57.6528","112058","Brazil"
"Campestre","-21.7108","-46.2458","21054","Brazil"
"Sao Tomas de Aquino","-20.7839","-47.0978","7093","Brazil"
"Pedro II","-4.4338","-41.4534","38778","Brazil"
"Coxilha","-28.1269","-52.2958","2826","Brazil"
"Carrapateira","-7.0389","-38.3439","2601","Brazil"
"Lins","-21.6786","-49.7425","76092","Brazil"
"Jequitinhonha","-16.4339","-41.0028","25474","Brazil"
"Cuitegi","-6.8928","-35.5228","6841","Brazil"
"Iranduba","-3.2850","-60.1886","45984","Brazil"
"Fortaleza dos Valos","-28.7969","-53.2228","4575","Brazil"
"Quixada","-4.9708","-39.0150","80604","Brazil"
"Pai Pedro","-15.5169","-43.0650","6094","Brazil"
"Muliterno","-28.3289","-51.7678","1897","Brazil"
"Itanagra","-12.2628","-38.0419","8034","Brazil"
"Ananas","-6.3658","-48.0728","9865","Brazil"
"Alagoinha","-8.4658","-36.7758","13759","Brazil"
"Caruaru","-8.2828","-35.9758","347088","Brazil"
"Imbituva","-25.2300","-50.6044","32940","Brazil"
"Ibiquera","-12.6508","-40.9339","5158","Brazil"
"Principe da Beira","-12.4167","-64.4166","956","Brazil"
"Gramado Xavier","-29.2678","-52.5789","4352","Brazil"
"Nova Independencia","-21.1039","-51.4900","3588","Brazil"
"Inaja","-22.7489","-52.1978","2988","Brazil"
