"city","lat","lng","population","country"
"Kampong Tunggulian","4.6912","114.5127","845","Brunei"
"Kampong Pangkalan Ran","4.6757","114.6551","116","Brunei"
"Kampong Timbunan","4.8880","114.9358","31","Brunei"
"Kampong Bawong","4.8298","114.9634","246","Brunei"
"Kampong Telamba","4.7299","114.5671","256","Brunei"
"Kampong Kiarong","4.8963","114.9163","4530","Brunei"
"Kampong Bukit Kota","4.6899","114.6969","275","Brunei"
"Kampong Kuala Ungar","4.6182","114.6744","323","Brunei"
"Kampong Pugat","4.8131","114.8365","1299","Brunei"
"Labi","4.4039","114.4597","38","Brunei"
"Kampong Kupang","4.8438","114.7945","1795","Brunei"
"Kampong Benutan","4.5973","114.7201","293","Brunei"
"Kampong Sungai Bubus","4.9899","115.0230","3857","Brunei"
"Kampong Salapit","4.8541","114.8214","1766","Brunei"
"Kampong Pudak","4.8974","115.0011","151","Brunei"
"Kampong Penanjong","4.8408","114.6816","2065","Brunei"
"Kampong Lugu","4.8758","114.8032","2082","Brunei"
"Kampong Pantau Marai","4.8045","114.8110","523","Brunei"
"Kampong Terap Bau","4.8701","114.9452","258","Brunei"
"Kampong Katimahar","4.8686","114.8133","873","Brunei"
"Kampong Sibakit","4.7362","114.6660","190","Brunei"
"Seria","4.6142","114.3303","21082","Brunei"
"Kampong Tanjong","4.8923","114.8570","2875","Brunei"
"Kampong Lamunin","4.6863","114.7193","1596","Brunei"
"Kampong Bukit","4.6003","114.6251","674","Brunei"
"Kampong Burong Pingai Berakas","4.9296","114.9280","564","Brunei"
"Kampong Sungai Kelugus","4.8797","114.9432","578","Brunei"
"Kampong Jangsak","4.8810","114.8708","2968","Brunei"
"Kampong Amo","4.6261","115.1046","507","Brunei"
"Kampong Ukong","4.6688","114.6448","381","Brunei"
"Kampong Telisai","4.7325","114.5578","2293","Brunei"
"Kampong Bukit Sulang","4.6562","114.7370","362","Brunei"
"Kampong Pasang","4.8842","114.8450","2204","Brunei"
"Kampong Batang Duri","4.5767","115.1204","148","Brunei"
"Kampong Subok","4.8936","114.9656","2681","Brunei"
