"city","lat","lng","population", "country"
"Lesiche","42.9500","26.1167","0","Bulgaria"
"Tsrancha","41.5669","24.1030","592","Bulgaria"
"Novosel","43.2875","26.8111","631","Bulgaria"
"Pirne","42.6779","27.1966","594","Bulgaria"
"Granit","42.2500","25.1500","565","Bulgaria"
"Vrabcha","42.8667","22.7067","15","Bulgaria"
"Glavan","42.0667","26.1000","794","Bulgaria"
"Svalenik","43.5831","26.1286","791","Bulgaria"
"Kladnitsa","42.5667","23.1833","1025","Bulgaria"
"Chakalite","42.8870","25.5397","9","Bulgaria"
"Kulata","41.3888","23.3634","779","Bulgaria"
"Nova Nadezhda","42.0167","25.7167","821","Bulgaria"
"Dobarchin","42.9833","23.2833","37","Bulgaria"
"Rakitna","41.8495","23.1812","87","Bulgaria"
"Malo Malovo","42.9500","23.0500","27","Bulgaria"
"Konnitsi","41.4833","25.8833","108","Bulgaria"
"Pashovo","41.8333","26.3833","8","Bulgaria"
"Bogutevo","41.7589","24.7183","149","Bulgaria"
"Zaritsa","43.8333","26.9500","481","Bulgaria"
"Kableshkovo","42.6601","27.5680","2911","Bulgaria"
"Moryantsi","41.6000","25.6833","842","Bulgaria"
"Melyane","43.3594","23.0167","145","Bulgaria"
"Novakovo","41.8830","25.0670","286","Bulgaria"
"Yuper","43.9167","26.4000","379","Bulgaria"
"Marten","43.9204","26.0848","3672","Bulgaria"
"Mogila","42.3833","25.7167","696","Bulgaria"
"Borushtitsa","42.7333","25.5833","22","Bulgaria"
"Potsarnentsi","42.4914","22.8892","22","Bulgaria"
"Maslarevo","43.4115","25.4655","452","Bulgaria"
"Karageorgievo","42.7357","27.1845","1781","Bulgaria"
"Gorno Selo","42.8692","22.7808","6","Bulgaria"
"Imrenchevo","43.1833","26.7500","356","Bulgaria"
"Duhovets","43.6667","27.0167","1343","Bulgaria"
"Varbina","41.5667","24.9667","1020","Bulgaria"
"Hromitsa","41.6167","25.2099","445","Bulgaria"
"Vranino","43.5261","28.3075","245","Bulgaria"
"Cherkovo","42.4833","27.0333","128","Bulgaria"
"Iskritsa","42.1333","26.0500","143","Bulgaria"
"Yabalkovo","42.3167","22.7500","912","Bulgaria"
"Gorno Kraishte","41.9000","23.5833","1254","Bulgaria"
"Cherna Mesta","42.0333","23.7333","415","Bulgaria"
"Evrenozovo","42.1333","27.3500","11","Bulgaria"
"Malki Balgareni","42.9500","25.5000","0","Bulgaria"
"Totleben","43.4333","24.9833","379","Bulgaria"
"Simeonovgrad","42.0324","25.8345","8539","Bulgaria"
"Bekriite","42.9333","25.3167","2","Bulgaria"
"Dalgach","43.2167","26.7333","510","Bulgaria"
"Nova Varbovka","43.3395","25.9240","190","Bulgaria"
"Raven","41.5450","25.4934","573","Bulgaria"
"Vlahovtsi","42.9000","25.3833","0","Bulgaria"
"Nadezhden","41.8833","25.9333","317","Bulgaria"
"Aprilovo","43.2500","26.2833","673","Bulgaria"
"Aprilovo","42.6667","23.6833","981","Bulgaria"
"Hanovo","42.3833","26.5167","488","Bulgaria"
"Bisertsi","43.8842","26.5036","1931","Bulgaria"
"Malko Kamenyane","41.4167","25.7500","497","Bulgaria"
"Kyosevtsi","43.1000","26.2500","105","Bulgaria"
"Rudozem","41.4892","24.8454","3981","Bulgaria"
"Penkovtsi","42.9058","25.1248","4","Bulgaria"
"Beli Osam","42.8500","24.6167","542","Bulgaria"
"Borimechkovo","42.4000","24.1167","623","Bulgaria"
"Filaretovo","42.9833","26.5000","1175","Bulgaria"
"Cherven Breg","42.3111","23.1731","1075","Bulgaria"
