"city","lat","lng","population","country"
"Diebougou","10.9667","-3.2500","12732","Burkina Faso"
"Kaya","13.0833","-1.0833","40017","Burkina Faso"
"Koupela","12.1794","-0.3517","32052","Burkina Faso"
"Manga","11.6667","-1.0667","28612","Burkina Faso"
"Ouagadougou","12.3572","-1.5353","1626950","Burkina Faso"
"Po","11.1667","-1.1500","17924","Burkina Faso"
"Yako","12.9667","-2.2667","22904","Burkina Faso"
"Kombissiri","12.0667","-1.3333","30137","Burkina Faso"
"Zano","13.3442","-1.6986","917","Burkina Faso"
"Dedougou","12.4667","-3.4667","38862","Burkina Faso"
"Gorom-Gorom","14.4439","-0.2361","6691","Burkina Faso"
"Dori","14.0500","0.0500","37806","Burkina Faso"
"Sebba","13.4392","0.5289","3273","Burkina Faso"
"Koudougou","12.2500","-2.3667","87347","Burkina Faso"
"Fada Ngourma","12.0500","0.3667","33910","Burkina Faso"
"Boulsa","12.6667","-0.5833","17489","Burkina Faso"
"Sapouy","11.5478","-1.7750","3837","Burkina Faso"
"Reo","12.3167","-2.4667","37535","Burkina Faso"
"Godyir","12.6964","-2.6250","2962","Burkina Faso"
"Ouahigouya","13.5833","-2.4167","79504","Burkina Faso"
"Tenkodogo","11.7833","-0.3667","38108","Burkina Faso"
"Bobo-Dioulasso","11.1833","-4.2833","360106","Burkina Faso"
"Diapaga","12.0667","1.7833","26013","Burkina Faso"
"Orodara","10.9740","-4.9080","18632","Burkina Faso"
"Gaoua","10.3167","-3.1667","28023","Burkina Faso"
"Tougan","13.0667","-3.0667","17590","Burkina Faso"
"Imassolo","11.7351","-1.1890","1685","Burkina Faso"
"Leo","11.1000","-2.1000","33717","Burkina Faso"
"Ziniare","12.5833","-1.3000","12703","Burkina Faso"
"Zorgo","12.2500","-0.6167","21787","Burkina Faso"
"Banfora","10.6308","-4.7589","60288","Burkina Faso"
"Djibo","14.1012","-1.6279","22223","Burkina Faso"
"Bogande","12.9714","-0.1436","9854","Burkina Faso"
"Salanso","12.1833","-4.0833","10385","Burkina Faso"
"Nouna","12.7329","-3.8622","29048","Burkina Faso"
