"city","lat","lng","population", "country"
"Muramvya","-3.2500","29.6000","5458","Burundi"
"Gitega","-3.4260","29.8436","23167","Burundi"
"Kayanza","-2.9221","29.6293","21767","Burundi"
"Karuzi","-3.1000","30.1630","10705","Burundi"
"Muyinga","-2.8500","30.3333","9609","Burundi"
"Gitega","-3.4264","29.9306","41944","Burundi"
"Mwaro","-3.5333","29.7000","2403","Burundi"
"Bujumbura","-3.3825","29.3611","658859","Burundi"
"Gatumba","-3.3333","29.2500","11700","Burundi"
"Bururi","-3.9333","29.6167","4478","Burundi"
"Ngozi","-2.9000","29.8167","39884","Burundi"
"Cankuzo","-3.2194","30.5528","3624","Burundi"
"Makamba","-4.1333","29.8000","9396","Burundi"
"Bubanza","-3.0833","29.4000","20031","Burundi"
"Ruyigi","-3.4667","30.2500","7139","Burundi"
"Kirundo","-2.5833","30.1000","10024","Burundi"
"Rutana","-3.9236","30.0061","5865","Burundi"
