"city","lat","lng","population","country"
"Santa Barbara","14.8833","-24.7000","143","Cabo Verde"
"Pedra Badejo","15.1375","-23.5333","9530","Cabo Verde"
"Cruzinha","17.1667","-25.1667","672","Cabo Verde"
"Povoacao Velha","16.0333","-22.9167","309","Cabo Verde"
"Bofareira","16.1833","-22.8333","144","Cabo Verde"
"Praia","14.9177","-23.5092","127832","Cabo Verde"
"Mindelo","16.8914","-24.9880","70468","Cabo Verde"
"Cachaco","14.8370","-24.6970","228","Cabo Verde"
"Sal Rei","16.1760","-22.9171","6357","Cabo Verde"
"Calejao","16.6000","-24.3167","300","Cabo Verde"
"Furna","14.8833","-24.6833","612","Cabo Verde"
"Sinagoga","17.1772","-25.0306","603","Cabo Verde"
"Pontinha da Janela","17.1167","-25.0000","1658","Cabo Verde"
"Ribeira Grande","17.1833","-25.0667","18890","Cabo Verde"
"Fundo das Figueiras","16.1500","-22.7333","241","Cabo Verde"
"Nossa Senhora do Monte","14.8500","-24.7167","271","Cabo Verde"
"Calheta","15.2300","-23.2120","1156","Cabo Verde"
"Assomada","15.0949","-23.6654","12026","Cabo Verde"
"Espingueira","16.2094","-22.8001","0","Cabo Verde"
"Tarrafal","15.2787","-23.7516","18561","Cabo Verde"
"Joao Galego","16.1500","-22.7500","346","Cabo Verde"
"Porto Ingles","15.1375","-23.2083","3056","Cabo Verde"
"Sao Domingos","15.0250","-23.5625","2818","Cabo Verde"
"Sao Pedro","16.8167","-25.0833","991","Cabo Verde"
"Cabeco dos Tarafes","16.1236","-22.7242","52","Cabo Verde"
"Sao Filipe","14.8951","-24.5004","22227","Cabo Verde"
"Fontainhas","17.1880","-25.1040","282","Cabo Verde"
"Ribeira da Barca","15.1333","-23.7667","2317","Cabo Verde"
"Carrical","16.5500","-24.0833","190","Cabo Verde"
"Calheta de Sao Miguel","15.1875","-23.5917","4123","Cabo Verde"
"Rabil","16.1293","-22.8866","1248","Cabo Verde"
"Cidade Velha","14.9167","-23.6042","2148","Cabo Verde"
"Rui Vaz","15.0333","-23.6167","1078","Cabo Verde"
"Espargos","16.7546","-22.9453","6173","Cabo Verde"
"Porto Rincao","15.0610","-23.7640","183","Cabo Verde"
