"city","lat","lng","population","country"
"Kampot","10.6000","104.1667","39186","Cambodia"
"Lumphat","13.5070","106.9810","19205","Cambodia"
"Siem Reap","13.3622","103.8597","147866","Cambodia"
"Svay Rieng","11.0878","105.7994","23956","Cambodia"
"Kratie","12.4881","106.0188","60000","Cambodia"
"Sisophon","13.5833","102.9833","50302","Cambodia"
"Kampong Thom","12.7111","104.8886","31871","Cambodia"
"Kampong Thum","12.7120","104.8890","19951","Cambodia"
"Pursat","12.5337","103.9167","52476","Cambodia"
"Phnom Penh","11.5696","104.9210","2129371","Cambodia"
"Battambang","13.1000","103.2000","130000","Cambodia"
"Koh Kong","11.6167","102.9833","33134","Cambodia"
"Kampong Chhnang","12.2500","104.6667","41700","Cambodia"
"Kampong Cham","12.0000","105.4500","118242","Cambodia"
"Sen Monorom","12.4500","107.2000","7500","Cambodia"
"Takeo","10.9833","104.7833","52000","Cambodia"
"Kampong Speu","11.4520","104.5190","33231","Cambodia"
"Krong Kep","10.4828","104.3167","35990","Cambodia"
"Prey Veng","11.4840","105.3240","74000","Cambodia"
"Tbeng Meanchey","13.8167","104.9667","24380","Cambodia"
"Stung Treng","13.5167","105.9667","29665","Cambodia"
