"city","lat","lng","population","country"
"Kousseri","12.0833","15.0333","101246","Cameroon"
"Kalfou","10.2840","14.9298","26223","Cameroon"
"Yaounde","3.8578","11.5181","2440462","Cameroon"
"Buea","4.1667","9.2333","131325","Cameroon"
"Mbalmayo","3.5200","11.5122","80206","Cameroon"
"Douala","4.0500","9.7000","2446945","Cameroon"
"Garoua","9.3000","13.4000","235996","Cameroon"
"Kumba","4.6333","9.4500","144268","Cameroon"
"Dschang","5.4500","10.0500","76524","Cameroon"
"Louguereo","10.5168","13.8950","503","Cameroon"
"Wum","6.3833","10.0667","68836","Cameroon"
"Bamenda","5.9333","10.1667","269530","Cameroon"
"Dembo","9.7106","13.5497","2284","Cameroon"
"Nkongsamba","4.9500","9.9167","117063","Cameroon"
"Batouri","4.4333","14.3667","33594","Cameroon"
"Bafia","4.7425","11.2247","69270","Cameroon"
"Kribi","2.9500","9.9167","60000","Cameroon"
"Ebolowa","2.9000","11.1500","87875","Cameroon"
"Tibati","6.4669","12.6158","72081","Cameroon"
"Meiganga","6.5172","14.2947","80100","Cameroon"
"Aiyomojok","5.7504","8.9833","5798","Cameroon"
"Bandjoun","5.3500","10.4000","6872","Cameroon"
"Ngaoundere","7.3214","13.5839","189800","Cameroon"
"Abong Mbang","3.9833","13.1667","14661","Cameroon"
"Mbe","7.8504","13.6000","3950","Cameroon"
"Foumban","5.7167","10.9167","92673","Cameroon"
"Bertoua","4.5833","13.6833","173000","Cameroon"
"Limbe","4.0167","9.2167","212474","Cameroon"
"Bogo","10.7361","14.6108","95230","Cameroon"
"Belabo","4.9333","13.3000","22553","Cameroon"
"Bafang","5.1704","10.1800","93145","Cameroon"
"Guider","9.9342","13.9486","84647","Cameroon"
"Eseka","3.6504","10.7666","22221","Cameroon"
"Babongo","6.8000","14.1833","360","Cameroon"
"Bafoussam","5.4667","10.4167","290768","Cameroon"
"Kumbo","6.2000","10.6600","125486","Cameroon"
"Edea","3.8000","10.1333","122300","Cameroon"
"Nkolobang II","4.1800","11.2600","172","Cameroon"
"Kontcha","7.9670","12.2333","8018","Cameroon"
"Maroua","10.5823","14.3275","319941","Cameroon"
