"city","lat","lng","population","country"
"La Dore","48.7200","-72.6500","1453","Canada"
"Bonnyville Beach","54.2333","-110.8666","84","Canada"
"Paterson","49.0240","-117.8414","75.00","Canada"
"Pilot Butte","50.4667","-104.4167","2183","Canada"
"Ormiston","49.7380","-105.3910","10.00","Canada"
"Admiral","49.7140","-108.0031","20.00","Canada"
"Pinware","51.6219","-56.7139","88","Canada"
"Sainte-Lucie-de-Beauregard","46.7333","-70.0167","304","Canada"
"Hay Lakes","53.1925","-113.0553","495","Canada"
"McKillop No. 220","50.9804","-105.0059","732.00","Canada"
"Sliding Hills No. 273","51.5192","-102.2179","421.00","Canada"
"Ashfield-Colborne-Wawanosh","43.8667","-81.6000","5422","Canada"
"West Nipissing / Nipissing Ouest","46.3667","-79.9167","14364","Canada"
"Yellow Grass","49.8063","-104.1630","478.00","Canada"
"Clerval","48.7500","-79.4333","364","Canada"
"Massueville","45.9167","-72.9333","516","Canada"
"Tsawwassen","49.0436","-123.0985","816.00","Canada"
"Port Elgin","46.0831","-64.1581","408","Canada"
"Edenwold","50.6330","-104.2520","233","Canada"
"Saint-Maxime-du-Mont-Louis","49.2333","-65.7333","1118","Canada"
"Saint-Simeon","48.0667","-65.5667","1179","Canada"
"Kimberley","49.6697","-115.9775","7425","Canada"
"Leamington","42.0667","-82.5833","32991","Canada"
"Pelican Narrows","54.2500","-110.8833","151","Canada"
"Boileau","45.9167","-74.7667","335","Canada"
"Evanturel","47.7833","-79.8333","449","Canada"
"Two Hills","53.7150","-111.7461","1352","Canada"
"Pond Inlet","72.6808","-77.7503","1617.00","Canada"
"Saint-Remi","45.2667","-73.6167","7265","Canada"
"Saint-Andre","47.6833","-69.7333","651","Canada"
"Cadogan","52.3188","-110.4490","113.00","Canada"
"Sainte-Luce","48.5500","-68.3800","2851","Canada"
"Coderre","50.1350","-106.3840","30","Canada"
"Harbour Main-Chapel's Cove-Lakeview","47.4337","-53.1458","1067","Canada"
"Sainte-Sophie-de-Levrard","46.4300","-72.1200","733","Canada"
"Rocky Harbour","49.5944","-57.9194","947","Canada"
"Egremont","54.0374","-113.1258","48.00","Canada"
"Manor","49.6027","-102.0852","295.00","Canada"
"Saint-Mathieu","45.3167","-73.5164","1879","Canada"
"Osler","52.3700","-106.5400","1237","Canada"
"Upper Liard","60.0531","-128.9168","125.00","Canada"
"Perryvale","54.4685","-113.3882","20.00","Canada"
"Campobello Island","44.8833","-66.9333","872","Canada"
"Birch Cove","53.9485","-114.3636","45","Canada"
"Lac-Nominingue","46.4000","-75.0333","2019","Canada"
"Mount Carmel-Mitchells Brook-St. Catherine's","47.1864","-53.4231","349","Canada"
"Spiritwood","53.3667","-107.5167","916","Canada"
"Ottawa","45.4247","-75.6950","989567","Canada"
"Pelham","43.0333","-79.3333","17110","Canada"
"Matapedia","47.9667","-66.9500","645","Canada"
"Vanderhoof","54.0143","-124.0089","4439","Canada"
"Pinto Creek No. 75","49.6550","-107.0198","283.00","Canada"
"Thornlea","47.6141","-53.7160","115.00","Canada"
"Fox Harbour","47.3214","-53.8828","252","Canada"
"Saint-Francois-de-l'Ile-d'Orleans","47.0000","-70.8167","527","Canada"
"Welwyn","50.1932","-101.3123","133","Canada"
"Bifrost-Riverton","51.0603","-97.1436","3378","Canada"
"Arborg","50.9075","-97.2182","1222","Canada"
"Rock Harbour","47.2928","-54.9972","189","Canada"
"Georgina","44.3000","-79.4333","45418","Canada"
"St. Louis","46.8860","-64.1443","83","Canada"
"Sainte-Christine","45.6167","-72.4167","673","Canada"
"Margo","51.8258","-103.3369","90","Canada"
"Saint Croix","45.2055","-67.1117","657.00","Canada"
"Prud'Homme","52.3370","-105.8930","167","Canada"
"Saint-Athanase","47.4333","-69.4167","301","Canada"
"Bethune","50.7167","-105.2167","399","Canada"
"North Cowichan","48.8236","-123.7192","29676","Canada"
"Clearview","44.3981","-80.0742","14151","Canada"
"Saint-Constant","45.3700","-73.5700","27359","Canada"
"Craik","51.0480","-105.8190","453","Canada"
"Saint-Moise","48.5167","-67.8500","577","Canada"
"Waswanipi","49.7883","-75.9544","1759.00","Canada"
"Lumby","50.2494","-118.9656","3500","Canada"
"Eyebrow","50.7320","-106.1850","135","Canada"
"Invermere","50.5083","-116.0303","3391","Canada"
"Forestburg","52.5803","-112.0681","875","Canada"
"Taschereau","48.6667","-78.6833","981","Canada"
"McKellar","45.4833","-79.8500","1111","Canada"
"Timiskaming","47.6270","-79.4761","539.00","Canada"
"Somerville","46.2917","-67.5340","286.00","Canada"
"Oshawa","43.9000","-78.8500","166000","Canada"
"Saint-Ignace-de-Stanbridge","45.1667","-72.9500","638","Canada"
"Saint-Philibert","46.1333","-70.5500","367","Canada"
"Summerside","46.4000","-63.7833","14829","Canada"
"Strongfield","51.3319","-106.5898","40.00","Canada"
"South Frontenac","44.5081","-76.4939","18646","Canada"
"Drinkwater","50.2956","-105.1358","70","Canada"
"McGarry","48.1464","-79.5706","609","Canada"
"Canora","51.6339","-102.4369","2219","Canada"
"Happy Adventure","48.6361","-53.7597","200","Canada"
"Pointe-Lebel","49.1667","-68.2000","1973","Canada"
"Stillwater","49.7624","-124.2993","116.00","Canada"
"Bluewater","43.4500","-81.6000","7136","Canada"
"Port Edward","54.2142","-130.1155","467.00","Canada"
"Mont-Orford","45.3661","-72.1838","4337.00","Canada"
"Southern Harbour","47.7222","-53.9533","369","Canada"
"Greenstone","50.0000","-86.7333","4636","Canada"
"St. Vincent's-St. Stephen's-Peter's River","46.7700","-53.5800","313","Canada"
"B-Say-Tah","50.7810","-103.8370","156","Canada"
"Bracken","49.1780","-108.0960","25","Canada"
"Bracebridge","45.0333","-79.3000","16010","Canada"
"Buctouche","46.4719","-64.7249","2361","Canada"
"Rosenort","49.4582","-97.4366","701.00","Canada"
"Chisasibi","53.6645","-78.7938","4872.00","Canada"
"Saint-Louis","45.8500","-72.9833","775","Canada"
"Ranchero","50.6455","-119.2139","959.00","Canada"
"Stone Mills","44.4500","-76.9167","7702","Canada"
"Saint-Michel","45.2333","-73.5667","2884","Canada"
"Saint-Theophile","45.9333","-70.4833","743","Canada"
"Sainte-Marie-de-Blandford","46.3200","-72.1800","466","Canada"
"Corman Park No. 344","52.2291","-106.8002","8568.00","Canada"
"Wildwood","52.2074","-122.0870","537.00","Canada"
"Kingsley No. 124","50.1791","-102.6216","444.00","Canada"
"Pilger","52.4400","-105.2970","74","Canada"
"McCreary","50.7494","-99.4850","2011","Canada"
"Petley","48.1505","-53.7442","88.00","Canada"
"Saint-Simon","45.7190","-72.8463","1413.00","Canada"
"Tramping Lake","52.1350","-108.9490","60","Canada"
"Porcupine No. 395","52.6322","-103.0345","803.00","Canada"
"Martin No. 122","50.1909","-101.8687","289.00","Canada"
"Sainte-Madeleine-de-la-Riviere-Madeleine","49.2333","-65.3000","334","Canada"
"Deloraine-Winchester","49.1775","-100.4322","2011","Canada"
"Saint-Narcisse-de-Beaurivage","46.4833","-71.2333","1091","Canada"
"Macrorie","51.3220","-107.0820","68","Canada"
"Saint-Joseph-de-Coleraine","45.9700","-71.3700","1870","Canada"
"Edgewood","49.7812","-118.1435","236.00","Canada"
"Bezanson","55.2289","-118.3597","107.00","Canada"
"Enderby","50.5508","-119.1397","2964","Canada"
"Arkona","43.0750","-81.8340","634.00","Canada"
"Flett's Springs No. 429","52.8001","-104.8411","732.00","Canada"
"Assiginack","45.7333","-81.8000","1013","Canada"
"Saint-Etienne-de-Beauharnois","45.2500","-73.9200","831","Canada"
"Shuniah","48.5833","-88.8333","2798","Canada"
"Sandy Bay","55.5306","-102.3156","697.00","Canada"
"Wiseton","51.3144","-107.6492","96","Canada"
"Dundurn No. 314","51.8261","-106.5416","2404.00","Canada"
"Woss","50.2127","-126.6004","189.00","Canada"
"Beaulac","45.8252","-71.3607","434.00","Canada"
"Woolwich","43.5667","-80.4833","25006","Canada"
"Kazabazua","45.9500","-76.0167","945","Canada"
"Prairiedale No. 321","51.7503","-109.5489","247.00","Canada"
"Saint-Maurice","46.4667","-72.5333","2775","Canada"
"Frontenac Islands","44.2000","-76.3833","1760","Canada"
"West End","50.5490","-102.4140","37","Canada"
"Montcalm","49.1775","-97.3247","1260.00","Canada"
"Frelighsburg","45.0461","-72.8106","1111.00","Canada"
"Chancellor","51.0879","-112.8363","5.00","Canada"
"Aguanish","50.2167","-62.0833","245","Canada"
"Tiny","44.6833","-79.9500","11787","Canada"
"Kerns","47.6083","-79.8000","358","Canada"
"Fortierville","46.4800","-72.0300","706","Canada"
"Abbotsford","49.0500","-122.3167","141397","Canada"
"Prelate","50.8520","-109.4090","126","Canada"
"Black River-Matheson","48.5333","-80.4667","2438","Canada"
"Qu'Appelle","50.5410","-103.8740","668","Canada"
"Val-Alain","46.4167","-71.7500","955","Canada"
"Hindon Hill","44.9333","-78.7333","6088","Canada"
"Springdale","49.4974","-56.0727","2971","Canada"
"Fort Frances","48.6167","-93.4000","7739","Canada"
"Hillsborough","45.9052","-64.7652","1308.00","Canada"
"Saint-Luc-de-Bellechasse","46.5000","-70.4833","480","Canada"
"Brancepeth","53.0016","-105.2620","35.00","Canada"
"Tyendinaga","44.3000","-77.2000","4297","Canada"
"Charlottetown (Labrador)","52.7658","-56.1453","290.00","Canada"
"Tobiano","50.7385","-120.6972","170.00","Canada"
"Riverview","46.0613","-64.8052","19667","Canada"
"Colombier","48.8667","-68.8500","747","Canada"
"South Bruce Peninsula","44.7333","-81.2000","8416","Canada"
"Tingwick","45.8873","-71.9244","1410.00","Canada"
"Lake Cowichan","48.8258","-124.0542","3226","Canada"
"McMasterville","45.5500","-73.2333","5615","Canada"
"Duchess","50.7333","-111.9000","1085","Canada"
"Noyan","45.0667","-73.3000","1297","Canada"
"Vulcan","50.4000","-113.2500","1917","Canada"
"Kingston","45.4663","-66.0217","2913.00","Canada"
"Spuzzum","49.6837","-121.4149","22.00","Canada"
"Amherst","46.0500","-74.7667","1524","Canada"
"Grey Highlands","44.3333","-80.5000","9804","Canada"
"Coalfields No. 4","49.1311","-102.6104","368.00","Canada"
"Lac-Sainte-Marie","45.9500","-75.9500","611","Canada"
"Marwayne","53.5167","-110.3333","564","Canada"
"Saint-Bernard","46.5000","-71.1333","2131","Canada"
"Veinerville","50.0342","-110.6280","83.00","Canada"
"Flin Flon (Part)","54.7712","-101.8419","4982.00","Canada"
"Saint-Eugene-d'Argentenay","48.9833","-72.2833","546","Canada"
"Itaska Beach","53.0713","-114.0780","23","Canada"
"Tadmore","51.8347","-102.4793","20.00","Canada"
"Gameti","64.1139","-117.3102","278.00","Canada"
"Berwick","45.0475","-64.7360","2509","Canada"
"Airdrie","51.2917","-114.0144","61581","Canada"
"Nairn and Hyman","46.3655","-81.6316","342.00","Canada"
"Lansdowne House","52.2149","-87.8927","0.00","Canada"
"Bloomingdale","43.5087","-80.4615","230.00","Canada"
"Sainte-Anne-de-la-Pocatiere","47.3500","-70.0000","1717","Canada"
"Sault Ste. Marie","46.5333","-84.3500","73368","Canada"
"Big Shell","53.1970","-107.1350","48","Canada"
"Trois-Rives","47.0000","-72.7500","490","Canada"
"Conche","50.9000","-55.9000","170","Canada"
"Sainte-Marguerite-Marie","48.3167","-67.0833","203","Canada"
"Glendon","54.2483","-111.1536","493","Canada"
"Roxton-Sud","45.5521","-72.5265","1086.00","Canada"
"Victory No. 226","50.8413","-107.5386","380.00","Canada"
"Kingman","53.2136","-112.7470","103.00","Canada"
"Sainte-Catherine-de-Hatley","45.2500","-72.0500","2464","Canada"
"La Presentation","45.6667","-73.0500","2466","Canada"
"Morden","49.1919","-98.1006","8668","Canada"
"St. Louis No. 431","52.8277","-105.7873","1086.00","Canada"
"Ajax","43.8583","-79.0364","119677","Canada"
"Duntara","48.5861","-53.3811","30","Canada"
"Brock","51.4417","-108.7169","142","Canada"
"Hilliers","49.3022","-124.4727","1540.00","Canada"
"Orkney No. 244","51.2557","-102.6469","1875.00","Canada"
"Veteran","52.0036","-111.1236","207","Canada"
"Whitecap","51.8808","-106.7188","451.00","Canada"
"Laurierville","46.3000","-71.6500","1454","Canada"
"Vaughan","43.8333","-79.5000","306233","Canada"
"Westport","49.7830","-56.6330","195","Canada"
"Westport","44.2561","-66.3652","218.00","Canada"
"Salluit","62.2013","-75.6337","1483.00","Canada"
"Hafford","52.8420","-107.3820","407","Canada"
"Saint-Augustin-de-Woburn","45.3800","-70.8500","695","Canada"
"Lanark","45.0179","-76.3711","778.00","Canada"
"Bonne-Esperance","51.3833","-57.6667","732","Canada"
"Saint-Louis de Kent","46.7380","-64.9740","856","Canada"
"Lake Lenore","52.3930","-104.9410","284","Canada"
"Saint-Basile","47.4233","-68.1847","592.00","Canada"
"Teulon","50.3858","-97.2611","1201","Canada"
"Saint-Honore","48.5333","-71.0833","5257","Canada"
"Thode","51.7890","-106.4430","157","Canada"
"Star City No. 428","52.7973","-104.3962","918.00","Canada"
"North Vancouver","49.3641","-123.0066","85935.00","Canada"
"North Battleford No. 437","52.8132","-108.1137","725.00","Canada"
"Zenon Park","53.0640","-103.7540","231","Canada"
"Mountain (South)","51.9036","-100.4445","419.00","Canada"
"Cowichan Bay","48.7666","-123.6743","2086.00","Canada"
"Sainte-Helene-de-Bagot","45.7333","-72.7333","1637","Canada"
"Pleasantview","49.3612","-55.3403","43.00","Canada"
"South Lake","50.6780","-105.5660","169","Canada"
"Enfield No. 194","50.7109","-106.6774","226.00","Canada"
"Cap Pele","46.2172","-64.2822","2425.00","Canada"
"Oakdale No. 320","51.7510","-109.1935","253.00","Canada"
"Mirabel","45.6500","-74.0833","50513","Canada"
"Central Butte","50.7920","-106.5080","372","Canada"
"Cardston","49.2025","-113.3019","3585","Canada"
"Taloyoak","69.5554","-93.4972","1029.00","Canada"
"Southampton","46.0789","-67.3124","1484.00","Canada"
"Plenty","51.8010","-108.8380","164","Canada"
"Bay de Verde","48.0833","-52.8944","392","Canada"
"Saint-Pie-de-Guire","46.0000","-72.7500","456","Canada"
"Fort Providence","61.4213","-117.6176","695.00","Canada"
"Bassano","50.7833","-112.4667","1206","Canada"
"Portugal Cove South","46.7106","-53.2578","150","Canada"
"Lund","49.9868","-124.7493","287.00","Canada"
"Cambridge Bay","69.1528","-105.1707","1766.00","Canada"
"Kitimat","54.0000","-128.7000","8131","Canada"
"Coaldale","49.7333","-112.6167","8215","Canada"
"Saint George","45.2916","-66.8501","2341.00","Canada"
"Sainte-Francoise","46.4500","-71.9833","479","Canada"
"Orangeville","43.9167","-80.1167","30734","Canada"
"Spring Lake","53.5194","-114.1244","699","Canada"
"Ragueneau","49.0667","-68.5333","1405","Canada"
"Webb No. 138","50.1353","-108.2613","541.00","Canada"
"Traytown","48.6611","-53.9783","267","Canada"
"Saint-Pierre-de-la-Riviere-du-Sud","46.9167","-70.6333","920","Canada"
"Beckwith","45.0833","-76.0667","7644","Canada"
"South Baptiste","54.7240","-113.5693","66","Canada"
"Weldford","46.5221","-65.1114","1338.00","Canada"
"Bryant's Cove","47.6714","-53.1872","395","Canada"
"Trenton","45.6193","-62.6332","2474","Canada"
"Escuminac Flats","48.1238","-66.4926","544.00","Canada"
"Saint-Rene-de-Matane","48.7000","-67.3833","1089","Canada"
"Grandes-Bergeronnes","48.2500","-69.5500","693","Canada"
"Belledune","47.9000","-65.8167","1548","Canada"
"Burstall","50.6500","-109.9167","300","Canada"
"Fairhaven","47.5369","-53.8896","85.00","Canada"
"Tache","49.7081","-96.6736","11568","Canada"
"Baie-Comeau","49.2167","-68.1500","21536","Canada"
"Telkwa","54.6972","-127.0500","1327","Canada"
"Disraeli","45.9000","-71.3500","2502","Canada"
"McDowell Lake","52.2127","-92.7160","0.00","Canada"
"Saint-Lucien","45.8667","-72.2667","1584","Canada"
"Moosehide Creek 2","64.1085","-139.4244","0.00","Canada"
"Ituna Bon Accord No. 246","51.2547","-103.4842","374.00","Canada"
"Hilda","50.4805","-110.0317","45.00","Canada"
"Waiparous","51.2821","-114.8410","49","Canada"
"Bromont","45.3167","-72.6500","7649","Canada"
"Elgin","45.0222","-74.2292","401","Canada"
"Standhope","49.2700","-55.0972","280.00","Canada"
"Fort Simpson","61.8082","-121.3199","1202.00","Canada"
"Saint-Alexandre-des-Lacs","48.4667","-67.3000","258","Canada"
"North Bay","46.3000","-79.4500","51553","Canada"
"Saint-Dominique-du-Rosaire","48.7667","-78.1167","434","Canada"
"Bay L'Argent","47.5458","-54.8828","241","Canada"
"Byemoor","51.9793","-112.2842","35.00","Canada"
"Paulatuk","69.3253","-123.9851","265.00","Canada"
"Stony Plain","53.5264","-114.0069","17189","Canada"
