"city","lat","lng","population", "country"
"Bimbo","4.3313","18.5163","124176","Central African Republic"
"Bria","6.5369","21.9919","35204","Central African Republic"
"Ndele","8.4091","20.6530","11764","Central African Republic"
"Kabo","7.6994","18.6292","16279","Central African Republic"
"Bangui","4.3732","18.5628","889231","Central African Republic"
"Ouadda","8.0671","22.4000","5434","Central African Republic"
"Sibut","5.7378","19.0867","22419","Central African Republic"
"Bossangoa","6.4833","17.4500","37780","Central African Republic"
"Mobaye","4.3167","21.1833","7176","Central African Republic"
"Birao","10.2837","22.7833","10178","Central African Republic"
"Bozoum","6.3172","16.3783","20665","Central African Republic"
"Obo","5.4000","26.5000","12887","Central African Republic"
"Berberati","4.2667","15.7833","76918","Central African Republic"
"Bossembele","5.2670","17.6500","7287","Central African Republic"
"Bambari","5.7667","20.6833","41356","Central African Republic"
"Bangassou","4.7370","22.8190","31453","Central African Republic"
"Mbaiki","3.8833","18.0000","22166","Central African Republic"
"Kaga Bandoro","7.0006","19.1808","24661","Central African Republic"
"Yakossi","5.6170","23.3167","500","Central African Republic"
"Zemio","5.0337","25.1333","20000","Central African Republic"
"Baboua","5.7833","14.8192","6812","Central African Republic"
"Carnot","4.9333","15.8667","45421","Central African Republic"
"Kouango","4.9667","19.9833","6984","Central African Republic"
"Bouar","5.9500","15.6000","40353","Central African Republic"
"Nola","3.5337","16.0666","26809","Central African Republic"
