"city","lat","lng","population","country"
"Fada","17.1833","21.5833","448","Chad"
"Mao","14.1194","15.3133","19004","Chad"
"Zouar","20.4500","16.5167","6432","Chad"
"Am-Timan","11.0333","20.2833","38261","Chad"
"Sarh","9.1500","18.3833","108061","Chad"
"Mongo","12.1837","18.7000","27763","Chad"
"Bol","13.4586","14.7147","11700","Chad"
"Oum Hadjer","13.2833","19.6833","26136","Chad"
"Abeche","13.8331","20.8347","76492","Chad"
"Moundou","8.5667","16.0833","142462","Chad"
"Biltine","14.5333","20.9167","11000","Chad"
"Yao","12.8508","17.5608","91507","Chad"
"Kelo","9.3171","15.8000","96224","Chad"
"Goz-Beida","12.2236","21.4144","66107","Chad"
"Doba","8.6500","16.8500","29597","Chad"
"N'Djamena","12.1100","15.0500","1092066","Chad"
"Koumra","8.9000","17.5500","39852","Chad"
"Moussoro","13.6333","16.4833","16349","Chad"
"Ati","13.2139","18.3403","20695","Chad"
"Fianga","9.9153","15.1375","42606","Chad"
"Bongor","10.2806","15.3722","27770","Chad"
"Lai","9.4000","16.3000","19382","Chad"
"Faya","17.9300","19.1031","13400","Chad"
"Massenya","11.4028","16.1700","3680","Chad"
"Pala Oua","9.3500","14.9667","38975","Chad"
