"city","lat","lng","population", "country"
"Yingyangcun","22.0974","106.7567","31109","China"
"Ezhou","30.3972","114.8842","1059700","China"
"Hanchuan","30.6520","113.8274","1092700","China"
"Xiaoshengcun","24.0668","116.4547","7819","China"
"Yueqing","28.1188","120.9621","1389332","China"
"Shicun","38.5383","116.1096","56736","China"
"Kaiyuan","42.5380","124.0371","545624","China"
"Anqiu","36.3619","119.1072","947723","China"
"Meihekou","42.5279","125.6780","618251","China"
"Fuyang","30.0533","119.9519","771000","China"
"Fuyang","32.8986","115.8045","8360000","China"
"Dama","30.5009","120.3413","35357","China"
"Harbin","45.7500","126.6333","4458000","China"
"Liangwu","23.6012","111.8238","24838","China"
"Chuanliaocun","28.2582","120.2118","26602","China"
"Guiping","23.4000","110.0833","1496904","China"
"Lingyuan","41.2407","119.3957","570660","China"
"Xinhualu","34.3962","113.7249","758079","China"
"Gaozhou","21.9135","110.8481","1414100","China"
"Benxi","41.2920","123.7610","1567000","China"
"Zhonghechang","27.8886","107.2531","28745","China"
"Rui'an","27.7780","120.6526","1424667","China"
"Xihuachi","35.8092","108.0121","43338","China"
"Hoxut","42.2552","86.8607","19520","China"
"Miluo Chengguanzhen","28.8049","113.0745","692080","China"
"Haiwei","19.4275","108.8129","25568","China"
"Xiaqiaotou","27.1892","100.0488","19922","China"
"Tongzhou","25.7716","106.9730","21848","China"
"Erbaocun","42.9633","93.1714","11972","China"
"Xiaozhengzhuang","39.6250","117.9031","15845","China"
"Zhaodianzi","39.9373","118.6401","19766","China"
"Jiuzhou","39.5054","116.5642","49616","China"
"Zhumadian","32.9773","114.0253","7640000","China"
"Shihe","39.2739","113.5516","60724","China"
"Dengjiazhuang","37.7051","115.7883","26081","China"
"Xishancun","23.6014","116.3257","108592","China"
"Xishancun","23.2589","116.2388","83822","China"
"Zhongguyue","38.2833","113.8670","17610","China"
"Ningde","26.6667","119.5167","2910000","China"
"Jinghong","22.0057","100.7948","519935","China"
"Jiaxing","30.7522","120.7500","4501657","China"
"Wanghong Yidui","38.1993","106.2284","30943","China"
"Liuma","25.6681","105.8720","18576","China"
"Zhaotong","27.3328","103.7144","5213521","China"
"Shengli","37.4500","118.4667","1790000","China"
