"city","lat","lng","population", "country"
"Guachaves","1.2219","-77.6772","31856","Colombia"
"Barbosa","6.4375","-75.3306","53167","Colombia"
"Pelaya","8.6892","-73.6653","17910","Colombia"
"Ovejas","9.5258","-75.2272","20846","Colombia"
"Santiago de Tolu","9.5250","-75.5817","35670","Colombia"
"Puerto Guzman","0.9636","-76.4086","24355","Colombia"
"Cajibio","2.6233","-76.5731","38703","Colombia"
"Juan de Acosta","10.8286","-75.0350","14184","Colombia"
"Solano","0.6983","-75.2539","25546","Colombia"
"Luruaco","10.6083","-75.1417","28246","Colombia"
"Santa Ana","9.3194","-74.5706","25938","Colombia"
"Almeida","4.9706","-73.3786","2171","Colombia"
"Riosucio","7.4386","-77.1133","29036","Colombia"
"Ipiales","0.8289","-77.6406","109116","Colombia"
"Norosi","8.5261","-74.0378","9850","Colombia"
"Monitos","9.2461","-76.1286","29117","Colombia"
"Jamundi","3.2608","-76.5394","96993","Colombia"
"San Eduardo","5.2225","-73.0769","1862","Colombia"
"Dibulla","11.2725","-73.3089","37854","Colombia"
"Taminango","1.5700","-77.2806","21985","Colombia"
"Copacabana","6.3486","-75.5103","73574","Colombia"
"Paz de Ariporo","5.8811","-71.8917","26237","Colombia"
"Sutamarchan","5.6206","-73.6214","5916","Colombia"
"Santa Barbara de Pinto","9.4353","-74.7017","12610","Colombia"
"Chigorodo","7.6697","-76.6814","84183","Colombia"
"La Virginia","4.8967","-75.8839","32330","Colombia"
"Melgar","4.2039","-74.6428","37224","Colombia"
"Guarne","6.2792","-75.4419","51265","Colombia"
"Villapinzon","5.2158","-73.5967","21049","Colombia"
"Salgar","5.9639","-75.9775","17804","Colombia"
"Yumbo","3.5778","-76.4944","92192","Colombia"
"Obando","4.5761","-75.9731","14980","Colombia"
"Pasto","1.2136","-77.2811","382236","Colombia"
"Lenguazaque","5.3069","-73.7117","10268","Colombia"
"Tamesis","5.6647","-75.7144","15218","Colombia"
"Zarzal","4.3942","-76.0703","47062","Colombia"
"Plato","9.7925","-74.7825","61856","Colombia"
"Los Cordobas","8.8953","-76.3547","26705","Colombia"
"Puerto Tejada","3.2300","-76.4175","46166","Colombia"
"Guapi","2.5604","-77.8600","13853","Colombia"
"Cumbal","0.9078","-77.7908","40492","Colombia"
"San Bernardo","1.5164","-77.0467","21492","Colombia"
"Alvarado","4.5672","-74.9533","8873","Colombia"
"Sincelejo","9.2994","-75.3958","286716","Colombia"
"El Cocuy","6.4094","-72.4444","5241","Colombia"
"Girardota","6.3769","-75.4461","59319","Colombia"
"Saboya","5.6969","-73.7631","12372","Colombia"
"Tierralta","8.1728","-76.0594","78770","Colombia"
"Hatonuevo","11.0672","-72.7631","28671","Colombia"
"Betulia","6.1122","-75.9839","17317","Colombia"
"Santa Rosa de Osos","6.6472","-75.4606","37435","Colombia"
"Necocli","8.4258","-76.7839","69090","Colombia"
"La Uvita","6.3161","-72.5600","2523","Colombia"
"Fortul","6.7931","-71.7714","26798","Colombia"
"Chivolo","10.0264","-74.6214","15960","Colombia"
"San Martin","3.6969","-73.6986","25902","Colombia"
"Soata","6.3328","-72.6839","7255","Colombia"
"Caicedonia","4.3347","-75.8281","28825","Colombia"
"Oicata","5.5944","-73.3081","2834","Colombia"
"Quimbaya","4.6239","-75.7631","35276","Colombia"
"Santa Rosa de Cabal","4.8672","-75.6211","73028","Colombia"
"Vetas","7.3097","-72.8706","2435","Colombia"
"Guaranda","8.4672","-74.5367","17422","Colombia"
"La Union","8.8572","-75.2767","11566","Colombia"
"San Juan de Uraba","8.7611","-76.5286","27149","Colombia"
"Pitalito","1.8539","-76.0514","133205","Colombia"
"Totoro","2.5103","-76.4019","21298","Colombia"
"Caimito","8.7894","-75.1161","12077","Colombia"
"Tunungua","5.7303","-73.9322","1840","Colombia"
"Fresno","5.1536","-75.0369","29794","Colombia"
"San Francisco","4.9711","-74.2892","8304","Colombia"
"Aracataca","10.5911","-74.1850","40400","Colombia"
"Santa Rosa del Sur","7.9633","-74.0533","46017","Colombia"
"Tibu","8.6400","-72.7381","37286","Colombia"
"Caldono","2.7969","-76.4828","34132","Colombia"
"Tado","5.2633","-76.5600","18906","Colombia"
"Puerto Lopez","4.0897","-72.9619","35097","Colombia"
"Ebejico","6.3264","-75.7661","12158","Colombia"
"Campoalegre","2.6867","-75.3256","34923","Colombia"
"El Bordo","2.1142","-76.9831","37504","Colombia"
"Campo de la Cruz","10.3778","-74.8814","18354","Colombia"
"Rosas","2.2600","-76.7400","13302","Colombia"
"Carepa","7.7581","-76.6553","61641","Colombia"
"Palmar","6.5383","-73.2906","3330","Colombia"
"La Jagua de Ibirico","9.5611","-73.3364","22405","Colombia"
"Panqueba","6.4428","-72.4592","1487","Colombia"
"Timbiqui","2.7719","-77.6650","22077","Colombia"
"Villagarzon","1.0294","-76.6164","21507","Colombia"
"Mosquera","4.7078","-74.2328","91282","Colombia"
"Cajica","4.9167","-74.0250","61549","Colombia"
"Nechi","8.0958","-74.7750","25790","Colombia"
"Cumaribo","4.4461","-69.7956","43138","Colombia"
"Retiro","6.0597","-75.5039","16974","Colombia"
"Sopetran","6.5017","-75.7433","14453","Colombia"
"Cartagena","10.4236","-75.5253","1036412","Colombia"
"Cepita","6.7528","-72.9733","1865","Colombia"
"Ambalema","4.7817","-74.7639","7563","Colombia"
"Urumita","10.5603","-73.0136","19629","Colombia"
"La Union","1.6053","-77.1297","25270","Colombia"
"Villamaria","5.0456","-75.5153","60729","Colombia"
"Fusagasuga","4.3372","-74.3644","139805","Colombia"
"Popayan","2.4411","-76.6061","300837","Colombia"
"Tuquerres","1.0872","-77.6189","40159","Colombia"
"Tauramena","5.0167","-72.7500","24747","Colombia"
"Landazuri","6.2181","-73.8114","15395","Colombia"
"Cartago","4.7500","-75.9100","134827","Colombia"
"Velez","6.0131","-73.6736","18808","Colombia"
"Villanueva","4.6087","-72.9288","24740","Colombia"
"Puerto Narino","-3.7703","-70.3831","6816","Colombia"
"Aipe","3.2219","-75.2375","29177","Colombia"
"Aratoca","6.6956","-73.0175","8269","Colombia"
"Paipa","5.7800","-73.1175","31868","Colombia"
