"city","lat","lng","population","country"
"Djambala","-2.5500","14.7500","9651","Congo (Brazzaville)"
"Dolisie","-4.1961","12.6731","103894","Congo (Brazzaville)"
"Owando","-0.4833","15.9000","23952","Congo (Brazzaville)"
"Sembe","1.6404","14.5800","9679","Congo (Brazzaville)"
"Impfondo","1.6333","18.0667","20859","Congo (Brazzaville)"
"Boloso","2.0337","15.2167","12244","Congo (Brazzaville)"
"Makoua","-0.0047","15.6228","11355","Congo (Brazzaville)"
"Pointe-Noire","-4.7889","11.8653","829134","Congo (Brazzaville)"
"Kayes","-4.1806","13.2889","62521","Congo (Brazzaville)"
"Sibiti","-3.6833","13.3500","22811","Congo (Brazzaville)"
"Brazzaville","-4.2667","15.2833","1827000","Congo (Brazzaville)"
"Madingou","-4.1536","13.5500","22760","Congo (Brazzaville)"
"Ouesso","1.6167","16.0500","28179","Congo (Brazzaville)"
"Gamboma","-1.8795","15.8500","20877","Congo (Brazzaville)"
"Ewo","-0.8667","14.8167","9062","Congo (Brazzaville)"
"Kinkala","-4.3500","14.7600","16132","Congo (Brazzaville)"
"Mossendjo","-2.9458","12.7147","30936","Congo (Brazzaville)"
