"city","lat","lng","population", "country"
"Mwenga","-3.0382","28.4325","2216","Congo (Kinshasa)"
"Kananga","-5.8970","22.4488","1971704","Congo (Kinshasa)"
"Likasi","-10.9833","26.7333","422535","Congo (Kinshasa)"
"Kahemba","-7.2829","19.0000","50000","Congo (Kinshasa)"
"Mbanza-Ngungu","-5.2496","14.8600","197545","Congo (Kinshasa)"
"Mwene-Ditu","-7.0000","23.4500","189177","Congo (Kinshasa)"
"Bukama","-9.2000","25.8333","38770","Congo (Kinshasa)"
"Buluko","-0.7570","28.5280","1192","Congo (Kinshasa)"
"Libenge","3.6604","18.6200","27053","Congo (Kinshasa)"
"Kampene","-3.5968","26.6671","37034","Congo (Kinshasa)"
"Gandajika","-6.7500","23.9667","154425","Congo (Kinshasa)"
"Dilolo","-10.6833","22.3333","7854","Congo (Kinshasa)"
"Mushie","-3.0196","16.9200","33062","Congo (Kinshasa)"
"Kasongo","-4.4500","26.6600","63000","Congo (Kinshasa)"
"Mangai","-4.0396","19.5300","37188","Congo (Kinshasa)"
"Kasongo-Lunda","-6.4796","16.8300","20060","Congo (Kinshasa)"
"Watsa","3.0400","29.5300","24516","Congo (Kinshasa)"
"Moba","-7.0596","29.7200","10006","Congo (Kinshasa)"
"Ikela","-1.1833","23.2667","291","Congo (Kinshasa)"
"Lubutu","-0.7329","26.5833","1313","Congo (Kinshasa)"
"Basankusu","1.2222","19.8028","52216","Congo (Kinshasa)"
"Lubumbashi","-11.6697","27.4581","1786397","Congo (Kinshasa)"
"Mbuji-Mayi","-6.1209","23.5967","1295000","Congo (Kinshasa)"
"Uvira","-3.4044","29.1379","170391","Congo (Kinshasa)"
"Inongo","-1.9400","18.2800","40113","Congo (Kinshasa)"
"Kenge","-4.8296","16.8999","241","Congo (Kinshasa)"
"Bukavu","-2.5000","28.8667","436779","Congo (Kinshasa)"
"Yangambi","0.7675","24.4414","35531","Congo (Kinshasa)"
"Bongandanga","1.5104","21.0500","4105","Congo (Kinshasa)"
