"city","lat","lng","population", "country"
"Alajuelita","9.9035","-84.0996","12247","Costa Rica"
"Sixaola","9.5083","-82.6147","10234","Costa Rica"
"Quesada","10.3305","-84.4400","31106","Costa Rica"
"El Roble","9.9771","-84.7443","15759","Costa Rica"
"Puntarenas","9.9764","-84.8339","41528","Costa Rica"
"Heredia","9.9985","-84.1169","22700","Costa Rica"
"Cartago","9.8667","-83.9167","221733","Costa Rica"
"Colon","9.9096","-84.2620","16088","Costa Rica"
"Puerto Limon","10.0022","-83.0840","61072","Costa Rica"
"Ciudad Cortes","8.9600","-83.5239","3850","Costa Rica"
"Liberia","10.6338","-85.4333","45380","Costa Rica"
"San Pablo","9.6842","-84.0400","4209","Costa Rica"
"San Pablo","9.9072","-84.4400","1357","Costa Rica"
"La Cruz","11.0742","-85.6294","9195","Costa Rica"
"Zarcero","10.1833","-84.4000","4004","Costa Rica"
"Santiago","9.8291","-84.3044","11512","Costa Rica"
"San Jose","9.9333","-84.0833","288054","Costa Rica"
"Canas","10.4300","-85.1000","20306","Costa Rica"
"San Juan","9.9609","-84.0731","24944","Costa Rica"
"Santa Ana","9.9320","-84.1760","11320","Costa Rica"
"Golfito","8.6500","-83.1500","6777","Costa Rica"
"Buenos Aires","9.1497","-83.3334","45000","Costa Rica"
"Alajuela","10.0167","-84.2167","42975","Costa Rica"
