"city","lat","lng","population", "country"
"Veliko Trojstvo","45.9333","16.9333","2741","Croatia"
"Draz","45.8422","18.7886","505","Croatia"
"Kastel Stari","43.5483","16.3383","43349","Croatia"
"Pucisce","43.3475","16.7300","1529","Croatia"
"Brestovac","45.3306","17.5963","3726","Croatia"
"Tordinci","45.3667","18.8000","739","Croatia"
"Postire","43.3757","16.6298","1559","Croatia"
"Krizevci","46.0333","16.5333","11231","Croatia"
"Vela Luka","42.9611","16.7194","4380","Croatia"
"Nova Bukovica","45.6600","17.7669","802","Croatia"
"Donji Miholjac","45.7500","18.1500","6226","Croatia"
"Cadavica","45.7425","17.8550","678","Croatia"
"Gornji Bogicevci","45.2600","17.2300","699","Croatia"
"Zdenci","45.5892","17.9503","930","Croatia"
"Resetari","45.2631","17.4233","2450","Croatia"
"Pula","44.8667","13.8333","57053","Croatia"
"Jakovlje","45.9364","15.8553","3952","Croatia"
"Jarmina","45.3167","18.7333","2458","Croatia"
"Benkovac","44.0344","15.6128","2622","Croatia"
"Nasice","45.4833","18.1000","7888","Croatia"
"Gradac Nasicki","45.4815","18.0609","153","Croatia"
"Veliko Trgovisce","46.0000","15.8500","4945","Croatia"
"Koncanica","45.6379","17.1646","2360","Croatia"
"Nijemci","45.1333","19.0333","1605","Croatia"
"Zelengrad","44.1389","15.7306","77","Croatia"
"Virovitica","45.8333","17.3833","21291","Croatia"
"Satnica Dakovacka","45.3558","18.3781","1432","Croatia"
"Samobor","45.8011","15.7110","15147","Croatia"
"Crikvenica","45.1833","14.7000","11122","Croatia"
"Knin","44.0333","16.1833","10633","Croatia"
"Levanjska Varos","45.3167","18.1833","303","Croatia"
"Krk","45.0261","14.5756","6281","Croatia"
"Slavonski Brod","45.1553","18.0144","56769","Croatia"
"Oriovac","45.1661","17.7600","1841","Croatia"
"Podvrsko","45.3630","17.4230","294","Croatia"
"Bedekovcina","46.0333","16.0000","8079","Croatia"
"Vladislavci","45.4667","18.5667","1073","Croatia"
"Donja Moticina","45.5000","18.0167","1198","Croatia"
"Kastav","45.3726","14.3490","10472","Croatia"
"Velika Gorica","45.7000","16.0667","63517","Croatia"
"Bjelovar","45.8989","16.8422","40276","Croatia"
"Glina","45.3383","16.0911","4680","Croatia"
"Breznicki Hum","46.1189","16.2739","1575","Croatia"
"Slatina","45.7000","17.7000","10208","Croatia"
"Novalja","44.5500","14.8833","3663","Croatia"
"Strizivojna","45.2300","18.4200","2525","Croatia"
"Podcrkavlje","45.2167","18.0167","415","Croatia"
"Zagorska Sela","46.0969","15.6350","996","Croatia"
"Osijek","45.5603","18.6703","84104","Croatia"
"Sibenik","43.7339","15.8956","46332","Croatia"
"Negoslavci","45.2800","19.0000","1463","Croatia"
"Lovas","45.2333","19.1667","869","Croatia"
"Cakovec","46.3833","16.4333","30455","Croatia"
"Drenovci","44.9200","18.8500","1946","Croatia"
"Bebrina","45.1000","17.8333","494","Croatia"
"Vukovar","45.3500","19.0033","24938","Croatia"
"Vrpolje","45.2106","18.4056","1759","Croatia"
"Stitar","45.1000","18.6400","2129","Croatia"
"Gabonjin","45.1110","14.5662","199","Croatia"
"Suhopolje","45.7997","17.4992","2696","Croatia"
"Karlovac","45.4931","15.5558","53134","Croatia"
"Lopar","44.8306","14.7306","1524","Croatia"
"Supetar","43.3844","16.5553","3213","Croatia"
"Trpanj","43.0080","17.2734","871","Croatia"
"Zadar","44.1167","15.2167","75082","Croatia"
"Brela","43.3700","16.9300","1771","Croatia"
"Jaksic","45.3581","17.7639","1877","Croatia"
"Tompojevci","45.2333","19.1000","308","Croatia"
"Marjanci","45.6667","18.3000","838","Croatia"
"Tounj","45.2528","15.3260","379","Croatia"
"Beretinec","46.2500","16.3000","2176","Croatia"
"Sisak","45.4872","16.3761","33322","Croatia"
"Povljana","44.3467","15.1156","759","Croatia"
"Trpinja","45.4167","18.9000","1516","Croatia"
"Buje","45.4000","13.6500","5182","Croatia"
"Vodnjan","44.9667","13.8500","3406","Croatia"
"Splitska","43.3750","16.6056","368","Croatia"
"Ilok","45.2225","19.3728","5072","Croatia"
"Varazdinske Toplice","46.2081","16.4214","1765","Croatia"
"Koska","45.5500","18.2833","1525","Croatia"
"Bedenica","46.0223","16.2639","1432","Croatia"
"Cestica","46.3700","16.1200","5678","Croatia"
"Orahovica","45.5400","17.8847","3954","Croatia"
"Dubrovnik","42.6403","18.1083","42615","Croatia"
"Vodinci","45.2756","18.6097","1966","Croatia"
"Gradiste","45.1500","18.7100","2773","Croatia"
"Knezevi Vinogradi","45.7500","18.7300","1657","Croatia"
"Zupanja","45.0667","18.7000","12090","Croatia"
"Ernestinovo","45.4500","18.6600","1047","Croatia"
"Prgomet","43.6160","16.2300","105","Croatia"
"Gunja","44.8967","18.8500","3732","Croatia"
"Rovinj","45.0833","13.6333","14294","Croatia"
"Soline","45.1483","14.6072","43","Croatia"
"Vrbanja","44.9833","18.9333","2203","Croatia"
"Rakitovica","45.7161","18.1917","868","Croatia"
"Markusica","45.3738","18.7062","1009","Croatia"
"Fericanci","45.5333","17.9833","1626","Croatia"
"Budinscina","46.1256","16.2050","2520","Croatia"
"Cepin","45.5236","18.5633","9500","Croatia"
"Gospic","44.5469","15.3744","5695","Croatia"
"Sodolovci","45.3997","18.6209","338","Croatia"
