"city","lat","lng","population", "country"
"Guira de Melena","22.8019","-82.5047","37838","Cuba"
"Baracoa","20.3444","-74.4956","79797","Cuba"
"Lajas","22.4164","-80.2906","22602","Cuba"
"San Antonio de los Banos","22.8889","-82.4989","33811","Cuba"
"Niceto Perez","20.1275","-75.3422","2873","Cuba"
"Jatibonico","21.9464","-79.1675","42959","Cuba"
"La Palma","22.7472","-83.5525","35346","Cuba"
"Ciro Redondo","22.0189","-78.7031","28370","Cuba"
"Venezuela","21.7511","-78.7792","28470","Cuba"
"Bauta","22.9919","-82.5492","23557","Cuba"
"Cienfuegos","22.1456","-80.4364","164924","Cuba"
"Imias","20.0767","-74.6519","9699","Cuba"
"Playa Giron","22.0667","-81.0333","2000","Cuba"
"Santa Clara","22.4067","-79.9531","207963","Cuba"
"Placetas","22.3158","-79.6556","71208","Cuba"
"Maisi","20.2431","-74.1561","2938","Cuba"
"Bahia Honda","22.9064","-83.1639","43483","Cuba"
"Carlos Manuel de Cespedes","21.5767","-78.2775","224488","Cuba"
"Majagua","21.9244","-78.9906","26830","Cuba"
"Caimito","22.9575","-82.5964","36813","Cuba"
"Pinar del Rio","22.4122","-83.6719","188614","Cuba"
"Baragua","21.6819","-78.6244","32909","Cuba"
"Bartolome Maso","20.1686","-76.9428","56460","Cuba"
"Sagua la Grande","22.8086","-80.0711","53077","Cuba"
"Abreus","22.2806","-80.5678","23144","Cuba"
"Florida","21.5294","-78.2228","71676","Cuba"
"Bayamo","20.3817","-76.6428","235107","Cuba"
"San Cristobal","22.7169","-83.0511","29119","Cuba"
"Mella","20.3694","-75.9111","33667","Cuba"
"Camaguey","21.3786","-77.9186","321992","Cuba"
"Primero de Enero","21.9453","-78.4189","29117","Cuba"
"Colon","22.7225","-80.9067","72000","Cuba"
"San Luis","22.2828","-83.7681","33039","Cuba"
"Moron","22.1108","-78.6278","59371","Cuba"
"Palma Soriano","20.2139","-75.9919","76500","Cuba"
"Salvador","20.2094","-75.2231","45773","Cuba"
"Arroyo Naranjo","23.0436","-82.3328","210053","Cuba"
"Gibara","21.1072","-76.1367","71126","Cuba"
"Ciego de Avila","21.8481","-78.7631","143449","Cuba"
"San Juan y Martinez","22.2667","-83.8333","44344","Cuba"
"Moa","20.6556","-74.9417","73053","Cuba"
"Guanajay","22.9306","-82.6881","22839","Cuba"
"Nueva Gerona","21.8847","-82.8011","45577","Cuba"
"Guantanamo","20.1383","-75.2061","228436","Cuba"
"Manzanillo","20.3397","-77.1086","150999","Cuba"
"San Nicolas","22.7819","-81.9069","21563","Cuba"
"Matanzas","23.0494","-81.5736","145246","Cuba"
"Manuel Tames","20.1803","-75.0514","21237","Cuba"
"Yara","20.2767","-76.9469","59415","Cuba"
"Artemisa","22.8136","-82.7633","59130","Cuba"
"Guane","22.2006","-84.0839","35718","Cuba"
"Holguin","20.8872","-76.2631","350191","Cuba"
"San Antonio del Sur","20.0569","-74.8078","26509","Cuba"
"Guama Abajo","19.9758","-76.4100","35516","Cuba"
"Najasa","21.0836","-77.7472","15579","Cuba"
"Guines","22.8475","-82.0236","66892","Cuba"
"Jovellanos","22.8106","-81.1981","58685","Cuba"
"Sancti Spiritus","21.9339","-79.4439","138504","Cuba"
"Mayari","20.6592","-75.6781","102354","Cuba"
"Vinales","22.6153","-83.7158","27771","Cuba"
"Jobabo","20.9078","-77.2831","47350","Cuba"
"Mariel","22.9936","-82.7539","42500","Cuba"
"Santiago de Cuba","20.0283","-75.8206","444851","Cuba"
"Fernando Echenique","20.5500","-76.9000","4303","Cuba"
"Caimanera","19.9947","-75.1600","8790","Cuba"
"Centro Habana","23.1333","-82.3833","140234","Cuba"
"Surgidero de Batabano","22.6986","-82.2939","25664","Cuba"
"Caibarien","22.5158","-79.4722","38479","Cuba"
"Nuevitas","21.5403","-77.2644","38995","Cuba"
"Las Tunas","20.9667","-76.9500","202105","Cuba"
"Varadero","23.1394","-81.2861","21170","Cuba"
"Havana","23.1367","-82.3589","2141652","Cuba"
"Candelaria","22.7439","-82.9581","19523","Cuba"
"Los Palacios","22.5822","-83.2489","38731","Cuba"
"Consolacion del Sur","22.5083","-83.5172","87500","Cuba"
"Niquero","20.0472","-77.5781","41252","Cuba"
"Banes","20.9697","-75.7117","34452","Cuba"
"Melena del Sur","22.7814","-82.1486","20646","Cuba"
"Nueva Paz","22.7667","-81.7500","24277","Cuba"
"Chambas","22.1967","-78.9133","41000","Cuba"
"Cabaiguan","22.0839","-79.4953","32000","Cuba"
"Quivican","22.8247","-82.3558","29253","Cuba"
"San Luis","20.1881","-75.8486","88496","Cuba"
"Alquizar","22.8067","-82.5828","29616","Cuba"
"Jaguey Grande","22.5292","-81.1325","87771","Cuba"
"Contramaestre","20.3000","-76.2506","106002","Cuba"
"Florencia","22.1475","-78.9669","21150","Cuba"
"Remedios","22.4922","-79.5458","45621","Cuba"
