"city","lat","lng","population", "country"
"Dali","35.0240","33.4226","10466","Cyprus"
"Paphos","34.7761","32.4265","35961","Cyprus"
"Kato Polemidia","34.6931","32.9992","22369","Cyprus"
"Athienou","35.0618","33.5417","4996","Cyprus"
"Paralimni","35.0387","33.9862","14963","Cyprus"
"Geri","35.1062","33.4195","8235","Cyprus"
"Pegeia","34.8838","32.3819","3953","Cyprus"
"Karavas","35.3474","33.2019","2425","Cyprus"
"Limassol","34.6750","33.0443","235056","Cyprus"
"Mesa Geitonia","34.7024","33.0453","14477","Cyprus"
"Livadia","34.9551","33.6273","7177","Cyprus"
"Larnaca","34.9233","33.6305","48947","Cyprus"
"Deryneia","35.0630","33.9585","5844","Cyprus"
"Akanthou","35.3929","33.7470","1790","Cyprus"
"Agios Athanasios","34.7087","33.0504","14578","Cyprus"
"Aradippou","34.9478","33.5881","19199","Cyprus"
"Germasogeia","34.7181","33.0856","13421","Cyprus"
"Lefkonoiko","35.2598","33.7321","2596","Cyprus"
"Lapithos","35.3441","33.1675","3496","Cyprus"
"Polis","35.0340","32.4255","2018","Cyprus"
"Kyrenia","35.3403","33.3192","33207","Cyprus"
"Agia Napa","34.9899","34.0006","3212","Cyprus"
"Kythrea","35.2451","33.4825","2818","Cyprus"
"Morfou","35.1978","32.9927","7465","Cyprus"
"Famagusta","35.1167","33.9500","40920","Cyprus"
"Tseri","35.0725","33.3243","7035","Cyprus"
"Lysi","35.1041","33.6815","4537","Cyprus"
"Pano Lefkara","34.8167","33.2833","737","Cyprus"
"Nicosia","35.1725","33.3650","330000","Cyprus"
"Geroskipou","34.7609","32.4484","7878","Cyprus"
"Latsia","35.0968","33.3773","16774","Cyprus"
