"city","lat","lng","population", "country"
"Skalicka","49.5154","17.7959","654","Czechia"
"Kout na Sumave","49.4027","13.0021","1120","Czechia"
"Litochovice","49.1594","13.9414","271","Czechia"
"Radnoves","49.3887","16.2140","100","Czechia"
"Stare Mesto","49.0752","17.4334","6572","Czechia"
"Vapenice","48.9678","17.8412","198","Czechia"
"Rusova","50.4531","13.1635","0","Czechia"
"Rantirov","49.4083","15.5152","463","Czechia"
"Sulimov","49.2267","17.4229","150","Czechia"
"Volevcice","50.4350","13.6905","119","Czechia"
"Velke Hosteradky","49.0332","16.8702","510","Czechia"
"Jedli","49.9312","16.7948","678","Czechia"
"Vidice","49.9167","15.1656","268","Czechia"
"Drenice","49.9826","15.7455","406","Czechia"
"Ocelice","50.2399","16.0674","228","Czechia"
"Tyn nad Becvou","49.5170","17.6181","835","Czechia"
"Mazice","49.2136","14.6128","124","Czechia"
"Putimov","49.4139","15.2688","278","Czechia"
"Veseli","50.0112","15.6189","371","Czechia"
"Ostretin","50.0447","16.0304","928","Czechia"
"Sibrina","50.0567","14.6695","932","Czechia"
"Drazovice","49.2248","13.6070","162","Czechia"
"Kozlany","49.9940","13.5411","1465","Czechia"
"Zlata Koruna","48.8549","14.3695","796","Czechia"
"Dolni Tesice","49.4954","17.8068","70","Czechia"
"Krasny Dvorecek","50.3492","13.2847","11","Czechia"
"Sokolec","50.0985","15.1070","1063","Czechia"
"Moutnice","49.0493","16.7374","1169","Czechia"
"Cervena Tremesna","50.3994","15.6436","161","Czechia"
"Habruvka","49.3035","16.7235","438","Czechia"
"Drahany","49.4333","16.8974","517","Czechia"
"Lisov","49.6386","13.1009","134","Czechia"
"Kyjov","49.6295","15.6233","149","Czechia"
"Kyjov","49.4435","15.8816","44","Czechia"
"Jedomelice","50.2330","13.9724","427","Czechia"
"Slavetin","49.6686","15.7728","124","Czechia"
"Zatec","49.2064","15.5089","113","Czechia"
"Dolni Habartice","50.7473","14.3334","586","Czechia"
"Zruc nad Sazavou","49.7402","15.1061","4834","Czechia"
"Ohrazenice","49.7871","13.9598","296","Czechia"
"Nechvalin","49.0546","17.0806","345","Czechia"
"Svojanov","49.6247","16.4102","371","Czechia"
"Sabina","50.1358","12.5824","328","Czechia"
"Havirov","49.7778","18.4228","70165","Czechia"
"Staric","49.6859","18.2728","2201","Czechia"
"Erpuzice","49.8071","13.0360","345","Czechia"
"Slovec","50.2299","15.3269","512","Czechia"
"Krimov","50.4861","13.3016","421","Czechia"
"Zahorany","49.4342","13.0020","1035","Czechia"
"Pohori","50.2922","16.0990","694","Czechia"
"Lhota","49.1693","17.6024","898","Czechia"
"Trebenice","50.4764","13.9901","1965","Czechia"
"Hlincova Hora","48.9837","14.5645","439","Czechia"
"Borice","49.9769","15.9254","185","Czechia"
"Opava","49.9381","17.9044","55996","Czechia"
"Drzkova","49.3191","17.7855","357","Czechia"
"Trpin","49.5952","16.4017","439","Czechia"
"Vladislav","49.2102","15.9883","1165","Czechia"
"Pisek","50.1555","15.5018","264","Czechia"
"Borovnice","50.0629","16.2454","402","Czechia"
"Mnetes","50.3656","14.2818","569","Czechia"
"Sulislav","49.7487","13.0728","210","Czechia"
"Brest","49.3511","17.4407","955","Czechia"
"Chrastavec","49.6178","16.5032","211","Czechia"
"Vysoka Srbska","50.4877","16.2276","295","Czechia"
"Prikazy","49.6436","17.1434","1320","Czechia"
"Kadlin","50.3995","14.6998","147","Czechia"
"Bocanovice","49.5691","18.7384","491","Czechia"
"Sedlejov","49.2276","15.4957","296","Czechia"
"Castohostice","49.0144","15.8192","184","Czechia"
"Spelkov","49.6748","16.1610","36","Czechia"
"Kamenny Ujezd","48.8976","14.4464","2486","Czechia"
"Borotin","49.5051","14.6130","709","Czechia"
"Ostredek","49.8349","14.8324","403","Czechia"
"Bouzov","49.7043","16.8929","1522","Czechia"
"Chotysany","49.7442","14.8146","596","Czechia"
"Lubnice","48.9395","15.6139","61","Czechia"
"Brodeslavy","49.9538","13.5571","65","Czechia"
"Korno","49.9206","14.1369","125","Czechia"
"Zarecka Lhota","49.9931","16.2462","211","Czechia"
"Stare Sedlo","50.1818","12.7199","832","Czechia"
"Kurimske Jestrabi","49.3466","16.3140","179","Czechia"
"Dobrohost'","49.0784","15.4885","46","Czechia"
"Bohuslavice","49.1495","15.5758","136","Czechia"
"Kelcany","49.0052","17.1738","247","Czechia"
"Knezicky","50.1740","15.3449","176","Czechia"
"Otmice","49.8691","13.9472","181","Czechia"
"Bernartice","50.6447","15.9659","935","Czechia"
"Nova Ves","50.8316","15.0012","881","Czechia"
"Temelin","49.1929","14.3488","840","Czechia"
"Cernosin","49.8162","12.8839","1187","Czechia"
"Kamyk","50.5585","14.0775","180","Czechia"
"Potstejn","50.0821","16.3090","970","Czechia"
"Tuchoraz","50.0487","14.8493","581","Czechia"
"Svitavy","49.7560","16.4683","16601","Czechia"
"Bolehost'","50.2137","16.0770","589","Czechia"
"Bukvice","48.8467","14.6697","48","Czechia"
"Kuncice pod Ondrejnikem","49.5507","18.2612","2416","Czechia"
"Pist'","49.6018","15.2035","81","Czechia"
"Ceska","49.2801","16.5654","1015","Czechia"
"Kamyk nad Vltavou","49.6391","14.2535","951","Czechia"
"Zastavka","49.1880","16.3631","2528","Czechia"
"Knezeves","49.4565","15.9809","157","Czechia"
"Svabenice","49.2784","17.1234","1038","Czechia"
"Vrbno pod Pradedem","50.1210","17.3832","4944","Czechia"
"Louny","50.3571","13.7968","18156","Czechia"
"Bernartice","49.3690","14.3810","1326","Czechia"
"Rokle","50.3533","13.2988","400","Czechia"
"Tremesne","49.6254","12.6957","370","Czechia"
"Hostomice","49.8253","14.0457","1822","Czechia"
"Strunkovice nad Blanici","49.0841","14.0552","1270","Czechia"
"Mestys Blizkovice","48.9997","15.8400","740","Czechia"
"Dvorska","49.1414","16.7017","357","Czechia"
"Jivno","48.9956","14.5692","375","Czechia"
"Boretin","49.3102","14.9476","108","Czechia"
"Ulice","49.7609","13.1482","481","Czechia"
"Mackov","49.4043","13.8861","297","Czechia"
"Ustrasin","49.3825","15.1686","265","Czechia"
"Mala Roudka","49.6017","16.6445","213","Czechia"
"Studnice","50.4213","16.0900","1152","Czechia"
"Dobra","49.6738","18.4140","3233","Czechia"
"Pila","50.1798","12.9259","561","Czechia"
"Velke Janovice","49.5879","16.2201","132","Czechia"
"Trebetice","49.0477","15.5207","337","Czechia"
"Ricany","49.2150","16.3936","2093","Czechia"
"Pulecny","50.6754","15.1680","460","Czechia"
"Libcice","49.6664","15.1992","0","Czechia"
"Svijansky Ujezd","50.5873","15.0434","454","Czechia"
"Marsov","49.2837","16.3598","518","Czechia"
"Karlov","49.6470","15.9145","114","Czechia"
"Lutonina","49.2385","17.8828","423","Czechia"
"Jistebnik","49.7540","18.1307","1657","Czechia"
"Kovanice","50.1695","15.0709","884","Czechia"
"Kyjovice","49.8323","18.0422","872","Czechia"
"Kladeruby","49.4927","17.8652","451","Czechia"
"Brandys nad Orlici","50.0020","16.2853","1316","Czechia"
"Zihle","50.0450","13.3751","1302","Czechia"
"Velka Bukovina","50.7305","14.3969","510","Czechia"
"Vlksice","49.4810","14.4412","147","Czechia"
"Radejovice","49.1864","14.0265","43","Czechia"
"Dobroutov","49.4623","15.7365","296","Czechia"
"Brnirov","49.3827","13.0496","405","Czechia"
"Tecovice","49.2211","17.5873","1385","Czechia"
"Soprec","50.0937","15.5568","281","Czechia"
"Olsovice","49.0569","14.2359","57","Czechia"
"Radimer","49.6995","16.4313","1158","Czechia"
"Blatec","49.5284","17.2386","644","Czechia"
"Zarubice","49.1243","15.9814","120","Czechia"
"Chotebor","49.7208","15.6702","9103","Czechia"
"Velke Brezno","50.6628","14.1418","2322","Czechia"
"Karlovec","49.9278","17.5006","0","Czechia"
"Sudslava","50.0406","16.2865","187","Czechia"
"Javornik","49.6866","15.0266","128","Czechia"
"Benesov nad Cernou","48.7295","14.6274","1480","Czechia"
"Mouchnice","49.1117","17.1355","314","Czechia"
"Kasnice","48.9965","16.8828","199","Czechia"
"Malecov","50.6320","14.1195","845","Czechia"
"Komarov","49.2501","14.5940","127","Czechia"
"Obora","49.8896","13.4137","565","Czechia"
"Obora","49.8147","12.5377","161","Czechia"
"Ticha","49.5700","18.2215","1854","Czechia"
"Lenesice","50.3753","13.7660","1409","Czechia"
"Hlavnice","49.9244","17.7279","658","Czechia"
"Butoves","50.3865","15.4275","280","Czechia"
"Kanice","49.4751","13.0727","198","Czechia"
"Jenisov","50.2267","12.8000","1057","Czechia"
"Nepomysl","50.2182","13.3133","406","Czechia"
"Velky Tynec","49.5520","17.3376","3021","Czechia"
"Mysletin","49.4766","15.3682","121","Czechia"
"Myslibor","49.2108","15.4807","200","Czechia"
"Velka Polom","49.8636","18.0934","2065","Czechia"
"Slezske Rudoltice","50.2069","17.6811","519","Czechia"
"Zavraty","48.9381","14.3815","51","Czechia"
"Luka nad Jihlavou","49.3741","15.7020","3028","Czechia"
"Lobec","50.4605","14.6669","155","Czechia"
"Primda","49.6750","12.6737","1596","Czechia"
"Doudleby nad Orlici","50.1075","16.2614","1769","Czechia"
"Kucharovice","48.8760","16.0770","906","Czechia"
"Jenikov","50.6287","13.7490","884","Czechia"
"Nebilovy","49.6302","13.4292","365","Czechia"
"Smecno","50.1885","14.0404","1950","Czechia"
