"city","lat","lng","population","country"
"Bouafle","6.9903","-5.7442","71792","Côte D’Ivoire"
"Dabou","5.3256","-4.3767","72913","Côte D’Ivoire"
"Odienne","9.5000","-7.5667","49857","Côte D’Ivoire"
"Divo","5.8372","-5.3572","127867","Côte D’Ivoire"
"Touba","8.2833","-7.6833","31844","Côte D’Ivoire"
"Gagnoa","6.1333","-5.9333","123184","Côte D’Ivoire"
"Guiglo","6.5436","-7.4933","63643","Côte D’Ivoire"
"Agboville","5.9333","-4.2167","81770","Côte D’Ivoire"
"Aboisso","5.4667","-3.2000","37654","Côte D’Ivoire"
"Yamoussoukro","6.8161","-5.2742","355573","Côte D’Ivoire"
"Daloa","6.8900","-6.4500","255168","Côte D’Ivoire"
"Sassandra","4.9504","-6.0833","38411","Côte D’Ivoire"
"Bouake","7.6833","-5.0331","659233","Côte D’Ivoire"
"Abidjan","5.3364","-4.0267","4980000","Côte D’Ivoire"
"Man","7.4004","-7.5500","146974","Côte D’Ivoire"
"Seguela","7.9611","-6.6731","51157","Côte D’Ivoire"
"Bondoukou","8.0400","-2.8000","58297","Côte D’Ivoire"
"Korhogo","9.4578","-5.6294","286071","Côte D’Ivoire"
"Ferkessedougou","9.5928","-5.1944","62008","Côte D’Ivoire"
"Soubre","5.7836","-6.5939","108933","Côte D’Ivoire"
"Dimbokro","6.6505","-4.7100","67349","Côte D’Ivoire"
"Toumodi","6.5520","-5.0190","39005","Côte D’Ivoire"
"San-Pedro","4.7704","-6.6400","210273","Côte D’Ivoire"
"Grand-Bassam","5.2000","-3.7333","73772","Côte D’Ivoire"
"Abengourou","6.7297","-3.4964","104020","Côte D’Ivoire"
