"city","lat","lng","population","country"
"San Pedro de Macoris","18.4572","-69.3061","217141","Dominican Republic"
"Jimani","18.4833","-71.8500","11414","Dominican Republic"
"Monte Plata","18.8070","-69.7840","15532","Dominican Republic"
"Barahona","18.2079","-71.0996","138159","Dominican Republic"
"Yayas de Viajama","18.6000","-70.9200","24573","Dominican Republic"
"Sabaneta","19.4833","-71.3500","98453","Dominican Republic"
"San Cristobal","18.4167","-70.1333","275232","Dominican Republic"
"Mao","19.5667","-71.0833","106818","Dominican Republic"
"El Seibo","18.7700","-69.0400","97144","Dominican Republic"
"Villa Altagracia","18.6700","-70.1700","270000","Dominican Republic"
"Sosua","19.7494","-70.5172","69885","Dominican Republic"
"Hato Mayor","18.7670","-69.2670","70141","Dominican Republic"
"Santiago","19.4500","-70.7000","1142947","Dominican Republic"
"Pantanal","18.5103","-68.3694","43982","Dominican Republic"
"Las Terrenas","19.3200","-69.5300","18829","Dominican Republic"
"Constanza","18.9100","-70.7500","59052","Dominican Republic"
"Jarabacoa","19.1197","-70.6383","69855","Dominican Republic"
"Bonao","18.9333","-70.4000","158034","Dominican Republic"
"Neiba","18.4900","-71.4200","53605","Dominican Republic"
"Boca Chica","18.4539","-69.6064","142019","Dominican Republic"
"San Francisco de Macoris","19.3000","-70.2500","188118","Dominican Republic"
"Samana","19.2053","-69.3364","108179","Dominican Republic"
"Bajos de Haina","18.4200","-70.0300","155985","Dominican Republic"
"Monte Cristi","19.8500","-71.6500","25776","Dominican Republic"
"Guananico","19.7200","-70.9200","8950","Dominican Republic"
"Bani","18.2900","-70.3300","145595","Dominican Republic"
"San Jose de Ocoa","18.5500","-70.5000","57174","Dominican Republic"
"Comendador","18.8760","-71.7070","43894","Dominican Republic"
"Puerto Plata","19.7958","-70.6944","440508","Dominican Republic"
"Higuey","18.6181","-68.7111","168501","Dominican Republic"
"Salcedo","19.3830","-70.4167","45299","Dominican Republic"
"La Romana","18.4300","-68.9700","202488","Dominican Republic"
"San Juan","18.8100","-71.2300","169032","Dominican Republic"
"Nagua","19.3800","-69.8500","79420","Dominican Republic"
"San Gregorio de Nigua","18.3800","-70.0800","40589","Dominican Republic"
"Cotui","19.0600","-70.1500","79596","Dominican Republic"
"Piedra Blanca","18.8300","-70.3000","30511","Dominican Republic"
"Pedernales","18.0380","-71.7410","11072","Dominican Republic"
"Azua","18.4600","-70.7400","128264","Dominican Republic"
"Bavaro","18.7170","-68.4500","795","Dominican Republic"
"Moca","19.3833","-70.5167","172294","Dominican Republic"
"La Vega","19.2242","-70.5283","220279","Dominican Republic"
"Santo Domingo","18.4764","-69.8933","2581827","Dominican Republic"
"Dajabon","19.5667","-71.7100","62046","Dominican Republic"
