"city","lat","lng","population","country"
"Quevedo","-1.0333","-79.4500","150827","Ecuador"
"Otavalo","0.2333","-78.2667","39354","Ecuador"
"Balzar","-1.3600","-79.9000","28794","Ecuador"
"Macas","-2.3000","-78.1167","18984","Ecuador"
"Naranjito","-2.1667","-79.4653","28546","Ecuador"
"Yaupi","-2.8543","-77.9363","293","Ecuador"
"Santa Cruz","-0.5333","-90.3500","11262","Ecuador"
"Puerto Baquerizo Moreno","-0.9025","-89.6092","6533","Ecuador"
"Guayaquil","-2.1833","-79.8833","2723665","Ecuador"
"Portoviejo","-1.0544","-80.4544","206682","Ecuador"
"Jipijapa","-1.3486","-80.5786","40232","Ecuador"
"Junin","-0.9278","-80.2058","4320","Ecuador"
"Velasco Ibarra","-1.0439","-79.6383","35686","Ecuador"
"Manta","-0.9500","-80.7162","217553","Ecuador"
"Tena","-0.9890","-77.8159","23307","Ecuador"
"Llacao","-2.8374","-78.9419","4501","Ecuador"
"Riobamba","-1.6743","-78.6483","146324","Ecuador"
"Chone","-0.6833","-80.1000","52810","Ecuador"
"Nueva Loja","0.0844","-76.8911","48562","Ecuador"
"Pedernales","0.0719","-80.0508","21910","Ecuador"
"San Lorenzo de Esmeraldas","1.2864","-78.8353","23265","Ecuador"
"Ambato","-1.2417","-78.6197","165185","Ecuador"
"Milagro","-2.1347","-79.5872","133508","Ecuador"
"San Miguel de Salcedo","-1.0500","-78.5833","12488","Ecuador"
"Huaquillas","-3.4803","-80.2317","47706","Ecuador"
"Zamora","-4.0692","-78.9567","12386","Ecuador"
"Bahia de Caraquez","-0.6000","-80.4250","20921","Ecuador"
"Vinces","-1.5500","-79.7333","30241","Ecuador"
"Puerto Villamil","-0.9333","-91.0167","2200","Ecuador"
"Valencia","-0.9525","-79.3531","16983","Ecuador"
"Pasaje","-3.3269","-79.8049","52673","Ecuador"
"Catamayo","-3.9833","-79.3500","22697","Ecuador"
"Daule","-1.8667","-79.9833","65145","Ecuador"
"Cuenca","-2.8974","-79.0045","329928","Ecuador"
"Azogues","-2.7333","-78.8333","33848","Ecuador"
"Salinas","-2.2083","-80.9681","34719","Ecuador"
"Santo Domingo de los Colorados","-0.2542","-79.1719","270875","Ecuador"
"Pedro Carbo","-1.8167","-80.2333","20220","Ecuador"
"Esmeraldas","0.9500","-79.6667","154035","Ecuador"
"Archidona","-0.9167","-77.7833","5478","Ecuador"
"Latacunga","-0.9333","-78.6167","63842","Ecuador"
"Tosagua","-0.7864","-80.2342","10751","Ecuador"
"Puerto Quito","0.1272","-79.2531","20445","Ecuador"
"Ventanas","-1.4500","-79.4700","38168","Ecuador"
"El Chaco","-0.3403","-77.8089","4026","Ecuador"
"Samborondon","-1.9611","-79.7256","42637","Ecuador"
"Sangolqui","-0.3344","-78.4475","75080","Ecuador"
"Tulcan","0.8117","-77.7186","53558","Ecuador"
"Naranjal","-2.6736","-79.6183","28487","Ecuador"
"La Concordia","0.0069","-79.3958","29003","Ecuador"
"Muisne","0.6100","-80.0200","13393","Ecuador"
"Las Naves","-1.2833","-79.3000","1191","Ecuador"
"Santa Elena","-2.2267","-80.8583","39681","Ecuador"
"Atuntaqui","0.3325","-78.2136","21286","Ecuador"
"Banos","-1.3964","-78.4247","12995","Ecuador"
"Valdez","1.2671","-78.9855","11441","Ecuador"
"Ibarra","0.3628","-78.1300","131856","Ecuador"
"Lomas de Sargentillo","-1.8833","-80.0833","13775","Ecuador"
"San Jacinto de Buena Fe","-0.8932","-79.4907","38263","Ecuador"
"Eloy Alfaro","-2.1733","-79.8311","230839","Ecuador"
"Puyo","-1.4830","-77.9870","24881","Ecuador"
"Babahoyo","-1.8167","-79.5167","90191","Ecuador"
"Macara","-4.3833","-79.9500","13035","Ecuador"
"Yaguachi Nuevo","-2.1200","-79.6900","17806","Ecuador"
"Guaranda","-1.6056","-79.0031","23874","Ecuador"
"Loja","-3.9906","-79.2050","170280","Ecuador"
"Pedro Vicente Maldonado","0.0853","-79.0511","5561","Ecuador"
"La Troncal","-2.4278","-79.3389","35259","Ecuador"
"Puerto Ayora","-0.7444","-90.3139","11822","Ecuador"
"Quito","-0.2186","-78.5097","2011388","Ecuador"
"La Mana","-0.9417","-79.2347","23775","Ecuador"
"Cayambe","0.0439","-78.1561","39028","Ecuador"
"Pinas","-3.6806","-79.6806","16981","Ecuador"
"San Gabriel","0.6100","-77.8400","16066","Ecuador"
"Montecristi","-1.0500","-80.6667","46312","Ecuador"
"Alausi","-2.1900","-78.8500","14294","Ecuador"
"Puerto Francisco de Orellana","-0.4625","-76.9842","40730","Ecuador"
"Rosa Zarate","0.3272","-79.4689","28928","Ecuador"
"Atacames","0.8667","-79.8333","15463","Ecuador"
"Pelileo","-1.3306","-78.5428","66836","Ecuador"
"Santa Rosa","-3.4522","-79.9617","48929","Ecuador"
"Pillaro","-1.1667","-78.5333","7444","Ecuador"
"Machala","-3.2667","-79.9667","231260","Ecuador"
