"city","lat","lng","population","country"
"Kafr Sa`d","31.3557","31.6848","22500","Egypt"
"Al Qasr","25.6959","28.8837","4474","Egypt"
"Mandishah","28.3515","28.9317","9016","Egypt"
"Abjij","29.2861","30.8152","10057","Egypt"
"Kafr ad Dawwar","31.1417","30.1272","262748","Egypt"
"Jirja","26.3419","31.8894","102597","Egypt"
"Bani Hasan ash Shuruq","27.9314","30.8753","18218","Egypt"
"Sawadah","28.0775","30.7953","10571","Egypt"
"Durunkah","27.1114","31.1667","3370","Egypt"
"Manfalut","27.3128","30.9703","82585","Egypt"
"Kawm Umbu","24.4667","32.9500","71596","Egypt"
"Madinat as Sadis min Uktubar","29.9361","30.9269","1500000","Egypt"
"Al Karnak","25.7184","32.6581","26488","Egypt"
"Al Husayniyah","30.8612","31.9190","30825","Egypt"
"Bilbays","30.4167","31.5667","141285","Egypt"
"At Tur","28.2333","33.6167","12733","Egypt"
"Aghurmi","29.2051","25.5436","1486","Egypt"
"Ra's Gharib","28.3597","33.0775","32318","Egypt"
"Dahab","28.4931","34.5047","4479","Egypt"
"Tanta","30.7833","31.0000","429503","Egypt"
"Qufadah","28.5812","30.7554","9948","Egypt"
"Ismant","25.5269","29.0678","3231","Egypt"
"Jinah","25.3289","30.5303","224","Egypt"
"Al Qalamun","25.5503","28.9081","1745","Egypt"
"Bani Suwayf","29.0667","31.0833","193048","Egypt"
"Matruh","31.3333","27.2333","68339","Egypt"
"Al `Alamayn","30.8333","28.9500","2413","Egypt"
"Maghaghah","28.6483","30.8422","75657","Egypt"
"Isna","25.2933","32.5564","68656","Egypt"
"Dayr as Sanquriyah","28.4833","30.6500","8911","Egypt"
"Tunaydah","25.5129","29.3400","3743","Egypt"
"Fayid","30.3261","32.2986","21808","Egypt"
"Al Mansurah","31.0500","31.3833","960423","Egypt"
"Cairo","30.0561","31.2394","19372000","Egypt"
"As Sallum","31.5525","25.1575","8445","Egypt"
"Qaha","30.2833","31.2000","26694","Egypt"
"Al Qusayr","26.1091","34.2760","24344","Egypt"
"Marsa `Alam","25.0667","34.9000","1918","Egypt"
"Dayr Abu Hinnis","27.7864","30.9050","19638","Egypt"
"Siwah","29.2000","25.5167","23080","Egypt"
"Samannud","30.9622","31.2425","57177","Egypt"
"Birqash","30.1692","31.0417","14172","Egypt"
"Alexandria","31.2000","29.9167","4870000","Egypt"
"Bur Fu'ad","31.2314","32.3253","70417","Egypt"
"Zifta","30.7119","31.2394","93740","Egypt"
"Mit Nama","30.1453","31.2343","21321","Egypt"
"Samalut","28.3000","30.7167","91475","Egypt"
"Az Zaqaziq","30.5667","31.5000","302840","Egypt"
"Dayr Mawas","27.6414","30.8494","40640","Egypt"
"Naqadah","25.9017","32.7242","21530","Egypt"
"Munuf","30.4667","30.9333","117240","Egypt"
"Banha","30.4628","31.1797","157701","Egypt"
"Hirriyat Raznah","30.6028","31.5372","24359","Egypt"
"Mallawi","27.7306","30.8425","139929","Egypt"
"Al Ghardaqah","27.2578","33.8117","160901","Egypt"
"Asyut","27.1869","31.1714","389307","Egypt"
"Balat","25.5640","29.2658","3794","Egypt"
"Sunbat","30.8057","31.2070","20599","Egypt"
"Sharunah","28.5940","30.8516","22221","Egypt"
"Tihna al Jabal","28.1889","30.7694","7387","Egypt"
"Damanhur","31.0500","30.4667","244043","Egypt"
"Rosetta","31.4014","30.4194","68947","Egypt"
"Armant","25.6167","32.5333","76457","Egypt"
"Daraw","24.4003","32.9306","38400","Egypt"
"Burj al `Arab","30.9167","29.5333","12625","Egypt"
"Al Minya","28.0833","30.7500","236043","Egypt"
"Biyahmu","29.3696","30.8538","17486","Egypt"
"Port Said","31.2500","32.2833","524433","Egypt"
"Mit Damsis","30.8267","31.2226","11528","Egypt"
"Al Hibah","28.8000","30.9167","16209","Egypt"
"Abnub","27.2667","31.1500","67526","Egypt"
"Nuwaybi`a","29.0340","34.6591","2898","Egypt"
"Qina","26.1667","32.7167","201191","Egypt"
"Matay","28.4167","30.7833","46903","Egypt"
"Suhaj","26.5606","31.6917","193931","Egypt"
"Shanhur","25.8604","32.7779","9314","Egypt"
"Zawyat Umm ar Rakham","31.3961","27.0439","2643","Egypt"
"Al Fayyum","29.3000","30.8333","315940","Egypt"
"Qift","26.0000","32.8167","22063","Egypt"
"Al Balyana","26.2329","31.9993","46997","Egypt"
"Al Madamud","25.7333","32.7125","15091","Egypt"
"Qiman al `Arus","29.3005","31.1683","28246","Egypt"
"Qantir","30.8032","31.8379","13660","Egypt"
"Barnis","23.9460","35.4842","10","Egypt"
"Al Qusiyah","27.4403","30.8183","69388","Egypt"
"Disuq","31.1308","30.6479","143404","Egypt"
"Ismailia","30.5833","32.2667","293184","Egypt"
"Damietta","31.4167","31.8214","206664","Egypt"
"Halwan","29.8419","31.3342","619293","Egypt"
"Dayr al Jarnus","28.6100","30.7067","6504","Egypt"
"Luxor","25.6969","32.6422","202232","Egypt"
"Al Kharjah","25.4400","30.5500","49991","Egypt"
"Dishashah","28.9831","30.8492","11844","Egypt"
"Naj` Hammadi","26.0500","32.2500","45038","Egypt"
"Hihya","30.6687","31.5904","66702","Egypt"
"Al Mahallah al Kubra","30.9667","31.1667","543271","Egypt"
"Giza","29.9870","31.2118","5598402","Egypt"
"Shubra al Khaymah","30.1286","31.2422","1025569","Egypt"
"Al `Arish","31.1249","33.8006","178651","Egypt"
"Aswan","24.0889","32.8997","267913","Egypt"
"Dandarah","26.1422","32.6697","53109","Egypt"
"Ihnasya al Madinah","29.0856","30.9344","40001","Egypt"
"Akhmim","26.5642","31.7461","101509","Egypt"
"Bani Murr","27.2272","31.1944","20065","Egypt"
"Shibin al Kawm","30.5920","30.9000","182900","Egypt"
"Abu Qir","31.3167","30.0667","37997","Egypt"
"Safaja","26.7517","33.9344","28261","Egypt"
"San al Hajar al Qibliyah","30.9769","31.8800","43157","Egypt"
"Kafr Shukr","30.5470","31.2673","23390","Egypt"
"Suez","29.9667","32.5333","485342","Egypt"
"Sakha","31.0881","30.9456","14733","Egypt"
"Kafr ash Shaykh","31.1000","30.9500","147393","Egypt"
"Dayr al Barsha","27.7572","30.9100","14297","Egypt"
"Sidmant al Jabal","29.0856","30.9344","13119","Egypt"
"Qasr al Farafirah","27.0671","27.9666","5000","Egypt"
"Ad Dab`ah","31.0338","28.4333","14212","Egypt"
"Bani Mazar","28.5000","30.8000","79553","Egypt"
"Mit Ghamr","30.7192","31.2628","121039","Egypt"
"Idfu","24.9781","32.8789","133772","Egypt"
"Faraskur","31.3297","31.7147","36850","Egypt"
