"city","lat","lng","population", "country"
"San Alejo","13.4333","-87.9667","17598","El Salvador"
"El Triunfo","13.5589","-88.4300","6924","El Salvador"
"Agua Caliente","14.1667","-89.2167","8261","El Salvador"
"Sacacoyo","13.7333","-89.4667","12299","El Salvador"
"San Juan Talpa","13.5000","-89.0833","7707","El Salvador"
"Concepcion de Ataco","13.8667","-89.8500","18101","El Salvador"
"Cojutepeque","13.7167","-88.9333","48411","El Salvador"
"Sonzacate","13.7342","-89.7147","25005","El Salvador"
"Usulutan","13.3500","-88.4500","378606","El Salvador"
"Jicalapa","13.5500","-89.5000","5116","El Salvador"
"Anamoros","13.7333","-87.8667","16594","El Salvador"
"Tamanique","13.6000","-89.4167","212","El Salvador"
"Santa Tecla","13.6742","-89.2899","135483","El Salvador"
"Talnique","13.6667","-89.4000","8254","El Salvador"
"La Union","13.3369","-87.8439","29733","El Salvador"
"Armenia","13.7500","-89.5000","34912","El Salvador"
"Colon","13.7167","-89.3667","96989","El Salvador"
"San Martin","13.7417","-89.0564","72758","El Salvador"
"Nejapa","13.8167","-89.2333","35966","El Salvador"
"Jiquilisco","13.3167","-88.5833","47784","El Salvador"
"Antiguo Cuscatlan","13.6731","-89.2406","33698","El Salvador"
"Nuevo Cuscatlan","13.6500","-89.2667","6897","El Salvador"
"Guaymango","13.7500","-89.8333","19775","El Salvador"
"Tepecoyo","13.7003","-89.4678","14322","El Salvador"
"Santiago Nonualco","13.5167","-88.9500","39887","El Salvador"
"Las Vueltas","14.0936","-88.8894","2101","El Salvador"
"Estanzuelas","13.6500","-88.5000","9015","El Salvador"
"Chiltiupan","13.5833","-89.4667","10897","El Salvador"
"San Juan Opico","13.8833","-89.3500","74280","El Salvador"
"Ciudad Barrios","13.7667","-88.2667","40500","El Salvador"
"Ahuachapan","13.9214","-89.8450","110511","El Salvador"
"Sensuntepeque","13.8667","-88.6333","26989","El Salvador"
"Santa Rosa Guachipilin","14.2000","-89.3500","4930","El Salvador"
"Sonsonate","13.7167","-89.7167","110501","El Salvador"
"Chalchuapa","13.9833","-89.6833","90000","El Salvador"
"San Gerardo","13.8000","-88.4000","6079","El Salvador"
"Santiago de La Frontera","14.1833","-89.6000","1436","El Salvador"
"Acajutla","13.5928","-89.8275","92000","El Salvador"
"Panchimalco","13.6094","-89.1792","41260","El Salvador"
"Nueva Guadalupe","13.5333","-88.3500","8905","El Salvador"
"La Libertad","13.4882","-89.3200","35997","El Salvador"
"Metapan","14.3333","-89.4500","59004","El Salvador"
"Huizucar","13.5833","-89.2333","14465","El Salvador"
"Santiago de Maria","13.4833","-88.4667","18201","El Salvador"
"San Francisco","13.7000","-88.1000","21049","El Salvador"
"Chalatenango","14.0413","-88.9397","29271","El Salvador"
"Cuscatancingo","13.7333","-89.1833","66400","El Salvador"
"Ayutuxtepeque","13.7357","-89.2008","34710","El Salvador"
"Tonacatepeque","13.7817","-89.1200","90896","El Salvador"
"Jayaque","13.6667","-89.4333","15000","El Salvador"
"Ilopango","13.7000","-89.1167","103862","El Salvador"
"San Antonio Pajonal","14.1968","-89.5808","3279","El Salvador"
"San Miguel","13.4833","-88.1833","218410","El Salvador"
"San Vicente","13.6333","-88.8000","53213","El Salvador"
"Mejicanos","13.7403","-89.2131","140751","El Salvador"
"El Rosario","13.7683","-88.9086","4220","El Salvador"
"El Divisadero","13.6000","-88.0500","8021","El Salvador"
"San Pedro Perulapan","13.7667","-89.0333","44730","El Salvador"
"Quezaltepeque","13.8312","-89.2722","56181","El Salvador"
"Jocoro","13.6167","-88.0167","10060","El Salvador"
"Masahuat","14.1833","-89.4333","498","El Salvador"
"San Pablo Tacachico","13.9833","-89.3333","20366","El Salvador"
"El Paisnal","13.9667","-89.2167","14551","El Salvador"
"Nahuizalco","13.7833","-89.7333","49081","El Salvador"
"Caluco","13.7167","-89.6667","9139","El Salvador"
"Santa Ana","13.9833","-89.5333","270413","El Salvador"
"Santiago Texacuangos","13.6500","-89.1167","19428","El Salvador"
"Texistepeque","14.1333","-89.5000","18143","El Salvador"
"Soyapango","13.7472","-89.1639","241403","El Salvador"
"Apopa","13.8000","-89.1833","131286","El Salvador"
"Santo Tomas","13.6333","-89.1333","25344","El Salvador"
"Juayua","13.8436","-89.7460","24465","El Salvador"
"Teotepeque","13.5853","-89.5183","12320","El Salvador"
"Zacatecoluca","13.5000","-88.8667","75100","El Salvador"
"Santo Domingo de Guzman","13.7161","-89.7978","7055","El Salvador"
"Delgado","13.7167","-89.1667","120200","El Salvador"
"Comasagua","13.6333","-89.3833","11870","El Salvador"
"San Salvador","13.6989","-89.1914","567698","El Salvador"
"San Marcos","13.6564","-89.1803","63209","El Salvador"
"Puerto El Triunfo","13.2833","-88.5500","19600","El Salvador"
"Tacuba","13.9000","-89.9333","29858","El Salvador"
"Cuisnahuat","13.6333","-89.6000","12676","El Salvador"
"El Porvenir","14.0207","-89.6471","8232","El Salvador"
"Atiquizaya","13.9667","-89.7500","33587","El Salvador"
