"city","lat","lng","population", "country"
"Bata","1.8650","9.7700","250770","Equatorial Guinea"
"Rebola","3.7192","8.8531","10000","Equatorial Guinea"
"Calatrava","1.1164","9.4186","628","Equatorial Guinea"
"Anisoc","1.8656","10.7689","16626","Equatorial Guinea"
"Acurenam","1.0333","10.6833","2714","Equatorial Guinea"
"Ciudad de Riaba","3.3833","8.7667","1071","Equatorial Guinea"
"Cogo","1.0833","9.7000","4607","Equatorial Guinea"
"Bengonbeyene","1.6931","11.0342","15644","Equatorial Guinea"
"Sevilla de Niefang","1.8500","10.2500","4858","Equatorial Guinea"
"Mikomeseng","2.1333","10.6167","5813","Equatorial Guinea"
"Malabo","3.7521","8.7737","187302","Equatorial Guinea"
"Mongomo","1.6287","11.3168","7251","Equatorial Guinea"
"Luba","3.4500","8.5500","7739","Equatorial Guinea"
"Ebebiyin","2.1500","11.3167","36565","Equatorial Guinea"
"Pale","-1.4043","5.6322","5008","Equatorial Guinea"
"Aconibe","1.3000","10.9333","13382","Equatorial Guinea"
"Evinayong","1.4500","10.5667","9155","Equatorial Guinea"
"Nsang","2.0333","10.9333","2122","Equatorial Guinea"
