"city","lat","lng","population", "country"
"Keren","15.6804","38.4500","150000","Eritrea"
"Edd","13.9333","41.7000","11259","Eritrea"
"Zula","15.2500","39.6667","2612","Eritrea"
"Mendefera","14.8833","38.8167","28492","Eritrea"
"Massawa","15.6000","39.4333","39758","Eritrea"
"Dek'emhare","15.0700","39.0475","10959","Eritrea"
"Nefasit","15.3333","39.0619","8600","Eritrea"
"Assab","13.0078","42.7411","74405","Eritrea"
"Asmara","15.3333","38.9167","963000","Eritrea"
"Ghinda'e","15.4500","39.0833","11560","Eritrea"
"Adi Keyh","14.8333","39.3667","13061","Eritrea"
"Teseney","15.1100","36.6575","3753","Eritrea"
"Senafe","14.7000","39.4167","6831","Eritrea"
"Ak'ordat","15.5500","37.8833","8857","Eritrea"
"Beylul","13.2639","42.3347","14055","Eritrea"
