"city","lat","lng","population", "country"
"Mahtra","59.0878","25.0144","89","Estonia"
"Emmu","58.6292","24.0772","26","Estonia"
"Nurtu-Nolva","58.7728","24.5969","25","Estonia"
"Halliku","58.7086","26.9194","53","Estonia"
"Neemiskula","58.2975","26.1731","79","Estonia"
"Loopre","58.6358","25.7747","47","Estonia"
"Abula","58.4403","22.1444","10","Estonia"
"Helbi","57.8028","27.5247","27","Estonia"
"Idavere","59.4333","26.2833","68","Estonia"
"Udria","59.3958","27.9169","19","Estonia"
"Vana-Koiola","57.9608","27.0475","96","Estonia"
"Sarvemae","57.9925","27.2522","16","Estonia"
"Karba","57.6625","26.9553","2","Estonia"
"Laagna","59.3889","27.9797","37","Estonia"
"Jarvepaa","57.9567","27.4794","18","Estonia"
"Ridakula","59.3131","25.9972","146","Estonia"
"Kassi","57.9069","26.4692","51","Estonia"
"Luke","58.2408","26.5364","348","Estonia"
"Kalgi","58.8597","22.9236","18","Estonia"
"Tolla","59.0064","25.0908","80","Estonia"
"Epra","58.5114","25.4453","72","Estonia"
"Viira","57.9944","27.1894","15","Estonia"
"Uralaane","58.0714","25.9781","32","Estonia"
"Koidula","58.4197","22.5128","54","Estonia"
"Posti","57.6178","27.0314","0","Estonia"
"Taevaskoja","58.1003","27.0333","105","Estonia"
"Uku","59.4058","26.0233","42","Estonia"
"Haaslava","58.3261","26.8131","458","Estonia"
"Lahu","58.9664","26.1892","6","Estonia"
"Udeva","58.9214","26.0189","33","Estonia"
"Joaveski","59.5114","25.8203","25","Estonia"
"Soena","57.8444","27.3917","16","Estonia"
"Kaurutootsi","57.9625","26.5119","36","Estonia"
"Paekula","58.8575","24.3683","44","Estonia"
"Aruvalja","59.2511","26.4189","27","Estonia"
"Rummu","59.4458","25.3103","76","Estonia"
"Kalina","59.2725","27.3581","77","Estonia"
"Varesmetsa","59.1111","27.3822","30","Estonia"
"Kubassaare Asundus","58.4461","23.3036","2","Estonia"
"Arusta","59.2514","24.8136","55","Estonia"
"Sooru","57.8542","26.1192","240","Estonia"
"Sirgumetsa","58.4122","27.0061","67","Estonia"
"Ristikula","58.1769","24.8039","77","Estonia"
"Tiido","58.0486","26.7856","73","Estonia"
"Aude","59.1653","24.2536","18","Estonia"
"Liiva","58.6056","23.2372","165","Estonia"
"Voorbahi","58.0469","25.8692","38","Estonia"
"Ridala","58.4544","23.0306","35","Estonia"
"Pajupea","59.3619","24.9669","131","Estonia"
"Pukamae","59.1500","24.7706","154","Estonia"
"Piigandi","58.0094","26.7861","86","Estonia"
"Kivimae","58.6631","26.6178","25","Estonia"
"Nurme","59.3961","26.4353","13","Estonia"
"Nurme","59.0272","25.5883","19","Estonia"
