"city","lat","lng","population", "country"
"Nek'emte","9.0905","36.5300","73018","Ethiopia"
"Hagere Hiywet","8.9833","37.8500","43920","Ethiopia"
"Asela","7.9500","39.1167","110088","Ethiopia"
"Nazret","8.5500","39.2700","476892","Ethiopia"
"Asosa","10.0670","34.5333","30512","Ethiopia"
"Dembi Dolo","8.5333","34.8000","27780","Ethiopia"
"Dila","6.4104","38.3100","47021","Ethiopia"
"Bati","11.1833","40.0167","20536","Ethiopia"
"Aliyu Amba","9.5333","39.8000","2873","Ethiopia"
"Debre Zeyit","8.7500","38.9833","99928","Ethiopia"
"Gimbi","9.1667","35.8333","31809","Ethiopia"
"Adigrat","14.2804","39.4700","104021","Ethiopia"
"Gonder","12.6000","37.4667","323900","Ethiopia"
"Mekele","13.4969","39.4769","323700","Ethiopia"
"Lalibela","12.0356","39.0462","14668","Ethiopia"
"Dire Dawa","9.5833","41.8667","277000","Ethiopia"
"Debre Mark'os","10.3400","37.7200","70758","Ethiopia"
"Welench'iti","8.6667","39.4333","20984","Ethiopia"
"Goba","7.0100","39.9700","34369","Ethiopia"
"Debre Birhan","9.6804","39.5300","65231","Ethiopia"
"Gidole","5.6500","37.3667","14799","Ethiopia"
"Harar","9.3200","42.1500","174994","Ethiopia"
"Jima","7.6667","36.8333","177900","Ethiopia"
"Bahir Dar","11.5850","37.3900","243300","Ethiopia"
"Addis Ababa","9.0272","38.7369","3041002","Ethiopia"
"Giyon","8.5304","37.9700","114534","Ethiopia"
"Shashemene","7.2004","38.5900","114350","Ethiopia"
"Gore","8.1490","35.5370","9352","Ethiopia"
"Sodo","6.9000","37.7500","65737","Ethiopia"
"Bichena","10.4500","38.2000","19916","Ethiopia"
"Gewane","10.1664","40.6453","8408","Ethiopia"
"Awasa","7.0500","38.4667","300100","Ethiopia"
"Arba Minch'","6.0400","37.5500","69622","Ethiopia"
"Dolo Bay","4.1833","42.0833","11810","Ethiopia"
"Gorgora","12.2333","37.3000","4783","Ethiopia"
"Adet","11.2667","37.4833","21117","Ethiopia"
"Negele","5.3166","39.5833","11772","Ethiopia"
"Jijiga","9.3500","42.8000","159300","Ethiopia"
"Dese","11.1333","39.6333","187900","Ethiopia"
"Degeh Bur","8.2167","43.5667","30027","Ethiopia"
"Areka","7.0667","37.7000","31408","Ethiopia"
"Aksum","14.1284","38.7173","66800","Ethiopia"
"Gode","5.9500","43.4500","75000","Ethiopia"
"Hosaina","7.5504","37.8500","89300","Ethiopia"
"Ankober","9.5667","39.9000","2288","Ethiopia"
"Yirga `Alem","6.7504","38.4100","36292","Ethiopia"
