"city","lat","lng","population", "country"
"Torshavn","62.0000","-6.7833","13326","Faroe Islands"
"Muli","62.3500","-6.5797","0","Faroe Islands"
"Skarvanes","61.7931","-6.7369","9","Faroe Islands"
"Slaettanes","62.1550","-7.2447","0","Faroe Islands"
"Hvalba","61.6000","-6.9556","713","Faroe Islands"
"Klaksvik","62.2375","-6.5390","4664","Faroe Islands"
"Famjin","61.5264","-6.8769","83","Faroe Islands"
"Porkeri","61.4814","-6.7458","297","Faroe Islands"
"Skopun","61.9125","-6.8719","446","Faroe Islands"
"Skardh","62.3242","-6.6525","0","Faroe Islands"
"Vikarbyrgi","61.4428","-6.7244","0","Faroe Islands"
"Hvannasund","62.2833","-6.5167","414","Faroe Islands"
