"city","lat","lng","population", "country"
"Vaileka","-17.3667","178.1500","5078","Fiji"
"Nausori","-18.0244","178.5454","47604","Fiji"
"Ba","-17.5333","177.6833","18526","Fiji"
"Lautoka","-17.6242","177.4528","52220","Fiji"
"Labasa","-16.4333","179.3667","27949","Fiji"
"Sigatoka","-18.1500","177.5000","9622","Fiji"
"Namatakula","-18.2292","177.7831","2522","Fiji"
"Suva","-18.1333","178.4333","88271","Fiji"
"Nadi","-17.8000","177.4167","42284","Fiji"
"Savusavu","-16.7467","179.3583","3372","Fiji"
"Tavua","-17.4414","177.8625","2388","Fiji"
