"city","lat","lng","population", "country"
"Karijoki","62.3083","21.7083","1369","Finland"
"Ristijarvi","64.5056","28.2139","1351","Finland"
"Nykarleby","63.5167","22.5333","7564","Finland"
"Vardo","60.2417","20.3750","441","Finland"
"Alaharma","63.2444","22.8556","4991","Finland"
"Liljendal","60.5722","26.0528","1469","Finland"
"Savitaipale","61.2000","27.6833","3613","Finland"
"Kiihtelysvaara","62.4931","30.2514","2690","Finland"
"Imatra","61.1931","28.7764","27835","Finland"
"Kuhmalahti","61.5050","24.5667","1130","Finland"
"Kalvola","61.0917","24.1347","3528","Finland"
"Korpilahti","62.0167","25.5611","5099","Finland"
"Luhanka","61.8000","25.7000","761","Finland"
"Riihimaki","60.7333","24.7667","29269","Finland"
"Rusko","60.5417","22.2222","6110","Finland"
"Muonio","67.9593","23.6772","2358","Finland"
"Pernio","60.2042","23.1222","6257","Finland"
"Kauhava","63.1014","23.0639","16784","Finland"
"Pyhajarvi","63.6833","25.9833","5505","Finland"
"Mietoinen","60.6264","21.9292","1749","Finland"
"Yli-Ii","65.3722","25.8403","2188","Finland"
"Orimattila","60.8042","25.7333","16326","Finland"
"Rayrinki","63.3759","23.8180","850","Finland"
"Tuusula","60.4028","25.0292","38646","Finland"
"Kivijarvi","63.1200","25.0750","1200","Finland"
"Koski Tl","60.6542","23.1403","2359","Finland"
"Honkajoki","61.9931","22.2639","1793","Finland"
"Jurva","62.6861","21.9819","4813","Finland"
"Karinainen","60.7028","22.7534","2499","Finland"
"Viljakkala","61.7056","23.2667","2080","Finland"
"Sakyla","61.0500","22.3500","7070","Finland"
"Pyhajoki","64.4667","24.2583","3211","Finland"
"Toholampi","63.7750","24.2500","3311","Finland"
"Langelmaki","61.7292","24.8000","1797","Finland"
"Saari","61.6958","29.6833","1554","Finland"
"Mikkeli","61.6875","27.2736","54665","Finland"
"Ikaalinen","61.7694","23.0681","7207","Finland"
"Hartola","61.5784","26.0142","2982","Finland"
"Tyrnava","64.7500","25.6500","6793","Finland"
"Paltamo","64.4083","27.8417","3488","Finland"
"Onkamo","66.7403","29.0692","80","Finland"
"Alastaro","60.9542","22.8639","3122","Finland"
"Parkano","62.0097","23.0250","6766","Finland"
"Luumaki","60.9167","27.5667","4860","Finland"
"Kiiminki","65.1333","25.7750","13252","Finland"
"Lampinsaari","64.4097","25.1319","299","Finland"
"Artjarvi","60.7467","26.0533","1577","Finland"
"Nagu","60.1931","21.9069","1461","Finland"
"Sysma","61.5028","25.6847","4040","Finland"
"Kuusankoski","60.9083","26.6236","20835","Finland"
"Renko","60.8931","24.2833","2380","Finland"
"Virolahti","60.5833","27.7000","3347","Finland"
"Pori","61.4847","21.7972","85363","Finland"
"Jyvaskylan Maalaiskunta","62.2889","25.7417","36100","Finland"
"Aura","60.6472","22.5903","3991","Finland"
"Kumlinge","60.2583","20.7783","317","Finland"
"Kurikka","62.6167","22.4000","21734","Finland"
"Pyharanta","60.9500","21.4417","2136","Finland"
"Haapajarvi","63.7486","25.3181","7438","Finland"
"Sauvo","60.3417","22.6917","3019","Finland"
"Ylitornio","66.3167","23.6667","4291","Finland"
"Inio","60.3972","21.3861","259","Finland"
"Kalajoki","64.2597","23.9486","12621","Finland"
"Raisio","60.4861","22.1694","24290","Finland"
"Finstrom","60.2292","19.9889","2522","Finland"
"Layliainen","60.6233","24.4607","851","Finland"
