"city","lat","lng","population", "country"
"Louresse","47.2394","-0.3136","872","France"
"Olmet","45.7100","3.6614","161","France"
"Gottenhouse","48.7208","7.3611","382","France"
"Bergues","50.9686","2.4342","3637","France"
"Saint-Martin-d'Arrossa","43.2381","-1.3133","538","France"
"Marre","49.2111","5.3019","163","France"
"Neuve-Maison","49.9303","4.0325","614","France"
"Housseras","48.3108","6.7125","486","France"
"Charmes","46.0753","3.2522","396","France"
"Fomerey","48.2206","6.3392","154","France"
"Vandelainville","49.0169","5.9764","139","France"
"Soumensac","44.6897","0.3269","230","France"
"Saint-Amand-le-Petit","45.7747","1.7514","112","France"
"Nizan-Gesse","43.2333","0.5975","93","France"
"Oberdorff","49.2742","6.5947","340","France"
"Montheries","48.1681","4.9094","68","France"
"Reux","49.2742","0.1514","401","France"
"La Colle-sur-Loup","43.6864","7.1039","7887","France"
"Chambley","49.0483","5.8986","701","France"
"La Bastide-de-Besplas","43.1667","1.2747","382","France"
"Coutras","45.0408","-0.1289","8582","France"
"Condat","45.3408","2.7567","992","France"
"Marly","50.3489","3.5442","12074","France"
"Sainte-Pience","48.7639","-1.3025","318","France"
"Musigny","47.1628","4.5194","82","France"
"Braslou","47.0000","0.3922","303","France"
"Velogny","47.4039","4.4619","35","France"
"Aguts","43.5306","1.9206","227","France"
"Bunus","43.2028","-1.0672","129","France"
"Bretigny","49.2136","0.6767","136","France"
"Chateau-Gontier","47.8286","-0.7028","11805","France"
"Manin","50.2978","2.5114","184","France"
"Laas","43.4692","0.3108","303","France"
"Bazoches-les-Gallerandes","48.1625","2.0431","1545","France"
"Novella","42.5844","9.1175","80","France"
"Chenedouit","48.7606","-0.3411","172","France"
"Recicourt","49.1414","5.1569","164","France"
"Plassac","45.1036","-0.6469","910","France"
"Plassac","45.4664","-0.5686","612","France"
"Dessenheim","47.9756","7.4883","1457","France"
"Soisy-sur-Seine","48.6469","2.4522","7235","France"
"Touille","43.0803","0.9736","242","France"
"Croisette","50.3533","2.2608","276","France"
"Landricourt","48.6164","4.8106","148","France"
"Mouton","45.8914","0.2431","225","France"
"Mauny","49.3842","0.8850","168","France"
"Merignas","44.7844","-0.0878","344","France"
"Saizenay","46.9619","5.9150","94","France"
"Collonges-au-Mont-d'Or","45.8239","4.8403","4181","France"
"Viapres-le-Petit","48.5625","4.0422","130","France"
"Machy","48.1397","4.0478","114","France"
"Auch","43.6465","0.5855","21935","France"
"Sabaillan","43.4419","0.8125","147","France"
"Villeneuve-sur-Bellot","48.8631","3.3419","1130","France"
"Verlans","47.5717","6.7208","171","France"
"Sarcenas","45.2739","5.7581","202","France"
"Bonnebosq","49.2047","0.0778","667","France"
"Lisle-en-Barrois","48.8964","5.1261","32","France"
"Chatres-la-Foret","48.1336","-0.4317","793","France"
"Tornay","47.7008","5.6064","31","France"
"Bailly","49.4956","2.9697","629","France"
"Arengosse","44.0022","-0.7861","691","France"
"Couptrain","48.4836","-0.2933","132","France"
"Monsegur","44.6503","0.0808","1601","France"
"Monsegur","44.4839","0.8792","401","France"
