"city","lat","lng","population", "country"
"Bifoun","-0.3329","10.3832","134","Gabon"
"Mitzic","0.7833","11.5667","4111","Gabon"
"Mekambo","1.0171","13.9333","3170","Gabon"
"Gamba","-2.6500","10.0000","9928","Gabon"
"Bitam","2.0833","11.4833","17637","Gabon"
"Mayumba","-3.4167","10.6500","3996","Gabon"
"Tchibanga","-2.9331","10.9831","19365","Gabon"
"Koulamoutou","-1.1333","12.4833","16222","Gabon"
"Moanda","-1.5655","13.2000","30151","Gabon"
"Oyem","1.6000","11.5667","60685","Gabon"
"Mouila","-1.8667","11.0550","22469","Gabon"
"Port-Gentil","-0.7167","8.7833","116836","Gabon"
"Libreville","0.3901","9.4544","797003","Gabon"
"Franceville","-1.6333","13.5833","42967","Gabon"
"Okondja","-0.6829","13.7833","7155","Gabon"
"Omboue","-1.5662","9.2500","1667","Gabon"
"Lambarene","-0.6883","10.2319","25310","Gabon"
"Ndende","-2.3829","11.3833","6200","Gabon"
"Makokou","0.5667","12.8667","17070","Gabon"
