"city","lat","lng","population", "country"
"Ozaani","41.5498","45.9984","833","Georgia"
"Zemo K'arabulakhi","41.4156","44.0967","871","Georgia"
"Gali","42.6333","41.7333","7605","Georgia"
"P'at'ara Dmanisi","41.3282","44.3422","116","Georgia"
"Tokhliauri","41.7286","45.4236","983","Georgia"
"Likhni","43.1433","40.6011","524","Georgia"
"Eki","42.3431","42.0994","42","Georgia"
"Bertakari","41.4717","44.3836","120","Georgia"
"Badiauri","41.6439","45.5514","1286","Georgia"
"Gantiadi","41.3403","44.2578","544","Georgia"
"Sarkineti","41.4958","44.1268","96","Georgia"
"Gomareti","41.4967","44.1628","594","Georgia"
"Gorana","41.8750","45.1208","74","Georgia"
"Javakhi","41.3333","44.2570","423","Georgia"
"Mirzaani","41.5633","45.9722","433","Georgia"
"Verona","41.8517","45.2422","57","Georgia"
"Vardisubani","41.3500","44.3500","349","Georgia"
"Arashenda","41.6764","45.7267","1109","Georgia"
"Senaki","42.2689","42.0678","21596","Georgia"
"Khvarbeti","41.9536","41.9117","673","Georgia"
"Iaghuplo","41.3356","44.1719","478","Georgia"
"Potskho-Ets'eri","42.7450","42.0375","306","Georgia"
"Kvemo-Yermani","42.5131","44.2364","21","Georgia"
"Shindlari","41.3536","44.2242","302","Georgia"
"Vartsikhe","42.1439","42.7178","1559","Georgia"
"Bugeuli","42.5417","43.0636","315","Georgia"
"Boriti","42.1164","43.2700","557","Georgia"
"Gora","41.2525","44.2947","11","Georgia"
"Kariani","41.3664","44.1267","93","Georgia"
"Samtredia","42.1625","42.3417","25318","Georgia"
"Tbilisi","41.7225","44.7925","1118035","Georgia"
"Lanchkhuti","42.0875","42.0333","6395","Georgia"
"Inashauri","42.0642","42.6417","509","Georgia"
"Tnusi","41.3292","44.2847","400","Georgia"
"Skra","41.9975","44.0158","1382","Georgia"
"Santa","41.6511","44.0136","84","Georgia"
"Gombori","41.8578","45.2033","681","Georgia"
"Dartlo","42.4386","45.5828","0","Georgia"
"Boslebi","41.3556","44.3028","397","Georgia"
"Tsalenjikha","42.6117","42.0706","3847","Georgia"
"Aspara","41.4517","43.7797","0","Georgia"
"Telavi","41.9167","45.4833","19629","Georgia"
"Sakire","41.2607","44.2757","46","Georgia"
"Zemo Q'andaura","41.6778","45.5925","26","Georgia"
"Chikhori","42.2319","43.0828","398","Georgia"
"Sachkhere","42.3389","43.4039","6140","Georgia"
"Algeti","41.4481","44.8953","5017","Georgia"
"Amamlo","41.2761","44.2233","1100","Georgia"
"Bolnisi","41.4500","44.5333","8967","Georgia"
"Mzisguli","41.6383","45.5883","578","Georgia"
"Zugdidi","42.5083","41.8667","42998","Georgia"
"Khalde","42.9461","42.9492","3","Georgia"
"Martvili","42.4167","42.3667","4425","Georgia"
"Meore Salamaleiki","41.4440","44.0323","16","Georgia"
"Vake","41.3064","44.2172","239","Georgia"
"Balich'i","41.3640","44.3986","783","Georgia"
"Persati","42.0922","42.7917","2463","Georgia"
