"city","lat","lng","population","country"
"Homberg","50.3372","7.7833","327","Germany"
"Homberg","50.6422","8.1064","165","Germany"
"Homberg","49.6514","7.5161","193","Germany"
"Scharbeutz","54.0214","10.7456","11309","Germany"
"Freihung","49.6167","11.9167","2518","Germany"
"Bulow","53.5833","11.7667","323","Germany"
"Markt Schwaben","48.1917","11.8681","13605","Germany"
"Kornwestheim","48.8597","9.1850","33803","Germany"
"Morscheid","49.7325","6.7494","946","Germany"
"Hargarten","50.0969","6.4081","94","Germany"
"Raisting","47.9167","11.1000","2334","Germany"
"Algermissen","52.2544","9.9711","7874","Germany"
"Pressath","49.7667","11.9167","4349","Germany"
"Wendorf","54.2500","13.0667","891","Germany"
"Rodenas","54.8833","8.7000","402","Germany"
"Rackelwitz","51.2500","14.2333","1135","Germany"
"Grossobringen","51.0314","11.3356","898","Germany"
"Gundelsheim","49.9167","10.9167","3494","Germany"
"Unterdiessen","47.9833","10.8333","1487","Germany"
"Gundelsheim","49.2833","9.1667","7254","Germany"
"Frankisch-Crumbach","49.7458","8.8575","3102","Germany"
"Vierden","53.3286","9.5086","741","Germany"
"Eickendorf","52.3672","11.1428","175","Germany"
"Holzheim","48.5167","10.5333","3660","Germany"
"Holzheim","48.3833","10.1000","1910","Germany"
"Holzheim","48.6167","10.9667","1159","Germany"
"Prackenfels","49.3728","11.3467","89","Germany"
"Essingen","48.8083","10.0278","6352","Germany"
"Niederneuching","48.2333","11.8500","2655","Germany"
"Wunstorf","52.4238","9.4359","41594","Germany"
"Niederfell","50.2903","7.4625","1019","Germany"
"Konigswalde","50.5467","13.0472","2220","Germany"
"Freistatt","52.6228","8.6522","480","Germany"
"Oberwies","50.2886","7.7806","151","Germany"
"Oberrieden","48.1000","10.4333","1221","Germany"
"Waldsieversdorf","52.5433","14.0722","798","Germany"
"Werbach","49.6692","9.6406","3320","Germany"
"Kleinschwarzach","48.8462","12.8589","32","Germany"
"Quickborn","53.7333","9.8972","21296","Germany"
"Quickborn","54.0114","9.2158","189","Germany"
"Nuremberg","49.4539","11.0775","518365","Germany"
"Camina","51.2557","14.4208","107","Germany"
"Schweringen","52.7500","9.1833","781","Germany"
"Schonwalde am Bungsberg","54.1894","10.7558","2553","Germany"
"Halle","51.4828","11.9697","239257","Germany"
"Erdesbach","49.5731","7.4422","614","Germany"
"Obermassfeld-Grimmenthal","50.5290","10.4400","1255","Germany"
"Hummel","50.4614","6.7783","471","Germany"
"Bosenbrunn","50.3972","12.1000","1151","Germany"
"Protzel","52.6372","13.9897","1003","Germany"
"Gultz","53.7500","13.1833","509","Germany"
