"city","lat","lng","population", "country"
"Koforidua","6.1000","-0.2667","127334","Ghana"
"Ho","6.6114","0.4703","83715","Ghana"
"Hohoe","7.1490","0.4746","56202","Ghana"
"Tamale","9.4075","-0.8533","466723","Ghana"
"Bawku","11.0600","-0.2422","73594","Ghana"
"Accra","5.6037","-0.1870","2291352","Ghana"
"Berekum","7.4504","-2.5900","46287","Ghana"
"Sekondi","4.9433","-1.7040","286248","Ghana"
"Wa","10.0667","-2.5000","78107","Ghana"
"Yendi","9.4337","-0.0167","42972","Ghana"
"Winneba","5.3500","-0.6333","55331","Ghana"
"Bolgatanga","10.7856","-0.8514","66685","Ghana"
"Sunyani","7.3360","-2.3360","70299","Ghana"
"Cape Coast","5.1000","-1.2500","143015","Ghana"
"Tema","5.6667","-0.0167","161612","Ghana"
"Aflao","6.1188","1.1946","66546","Ghana"
"Nkawkaw","6.5505","-0.7800","62667","Ghana"
"Obuase","6.2000","-1.6833","180460","Ghana"
"Kumasi","6.6833","-1.6167","2069350","Ghana"
