"city","lat","lng","population", "country"
"Kokkinopilos","40.0956","22.2531","125","Greece"
"Sagiada","39.6336","20.1897","594","Greece"
"Kastelli","35.2089","25.3378","1438","Greece"
"Kalymnos","36.9512","26.9832","12324","Greece"
"Partira","35.1167","25.2167","291","Greece"
"Kozani","40.3007","21.7890","41066","Greece"
"Selero","41.1333","25.0000","2059","Greece"
"Tsagkarada","39.3881","23.1730","525","Greece"
"Nea Vyssa","41.5833","26.5333","2805","Greece"
"Makri","40.8547","25.7444","924","Greece"
"Magouliana","37.6833","22.1333","117","Greece"
"Skiathos","39.1652","23.4895","4883","Greece"
"Lesini","38.4524","21.2325","771","Greece"
"Nafplio","37.5667","22.8000","14203","Greece"
"Damarionas","37.0517","25.4694","32","Greece"
"Pirama","38.5000","25.9000","40","Greece"
"Xirovrysi","41.0361","22.8761","171","Greece"
"Symi","36.5989","27.8342","2590","Greece"
"Proskynas","38.6111","23.1672","99","Greece"
"Peristeri","40.8683","22.9590","150","Greece"
"Peristeri","38.0167","23.6833","139981","Greece"
"Grammatiko","38.2025","23.9650","1432","Greece"
"Sykamino","38.3000","23.7167","910","Greece"
"Plataria","39.4500","20.2833","961","Greece"
"Kali","40.8177","22.1782","1378","Greece"
"Sesklo","39.3556","22.8423","862","Greece"
"Ardameri","40.5942","23.1833","251","Greece"
"Palaiokomi","40.8714","23.9017","1274","Greece"
"Lilaia","38.6336","22.4961","332","Greece"
"Kiveri","37.5244","22.7300","911","Greece"
"Galaxidi","38.3767","22.3836","2011","Greece"
"Xylokera","37.7305","21.3967","319","Greece"
"Tsamantas","39.7833","20.3500","71","Greece"
"Myriokefala","35.2544","24.3026","268","Greece"
"Palaiostani","40.4183","22.4633","444","Greece"
"Achaiko","38.1231","21.6008","192","Greece"
"Perinthos","40.8797","22.8619","22","Greece"
"Sotiritsa","39.7392","22.8081","40","Greece"
"Vrachnaiika","38.1669","21.6669","2571","Greece"
"Nea Flogita","40.2600","23.2200","1604","Greece"
"Panagiouda","39.1470","26.5290","906","Greece"
"Vissani","39.9333","20.5333","424","Greece"
"Zarouchla","37.9869","22.2736","94","Greece"
"Nikisiani","40.9489","24.1417","2236","Greece"
"Kamarina","39.1344","20.6717","243","Greece"
"Skala Eresou","39.1333","25.9333","349","Greece"
"Rodos","36.4412","28.2225","56969","Greece"
"Kamilari","35.0339","24.7894","379","Greece"
"Kallithea","38.1633","21.7300","691","Greece"
"Kallithea","40.2750","22.5750","3134","Greece"
"Kallithea","41.2516","24.7383","4","Greece"
"Sfaka","35.1551","25.9235","248","Greece"
"Kallithea","37.9500","23.7000","100641","Greece"
"Vranas","38.1244","23.9475","1082","Greece"
"Ekkara","39.1500","22.2000","576","Greece"
"Platanias","35.5167","23.9089","979","Greece"
"Platykampos","39.6217","22.5350","1804","Greece"
"Vrastama","40.3717","23.5364","700","Greece"
"Steiri","38.4083","22.7094","686","Greece"
"Nymfasia","37.6917","22.1833","114","Greece"
"Elaionas","38.1994","22.1719","671","Greece"
"Glossa","39.1833","23.6167","993","Greece"
"Kourtesi","37.9783","21.3200","385","Greece"
"Dispilio","40.4806","21.2875","976","Greece"
"Zoniana","35.2947","24.8308","1117","Greece"
"Galatsades","38.8925","23.1713","58","Greece"
"Charakopio","36.8086","21.9133","1080","Greece"
"Sterna","41.5656","26.4581","621","Greece"
"Makrychori","39.8000","22.4833","1615","Greece"
"Eptalofos","38.5956","22.4944","461","Greece"
"Kythira","36.1497","22.9879","281","Greece"
"Mantoudi","38.7981","23.4797","1787","Greece"
"Methoni","40.4472","22.5897","699","Greece"
"Pellana","37.2059","22.3217","262","Greece"
"Ganochora","40.3083","22.5000","799","Greece"
"Palaio Eleftherochori","40.4383","22.5750","455","Greece"
"Nikites","41.1078","25.7236","94","Greece"
"Dion","40.1719","22.4825","1130","Greece"
"Leipsoi","37.3000","26.7500","790","Greece"
"Sokraki","39.7169","19.7934","254","Greece"
"Zagkliveri","40.5719","23.2889","2171","Greece"
"Avramio","37.0333","22.0333","334","Greece"
"Agria","39.3400","23.0133","5191","Greece"
"Trikorfo","37.1308","21.8739","362","Greece"
"Skarmagkas","38.0100","23.6000","1255","Greece"
"Irakleia","37.6936","21.5706","272","Greece"
"Keramidi","39.5717","22.9103","338","Greece"
"Piraeus","37.9430","23.6469","163688","Greece"
"Andritsaina","37.4833","21.9008","795","Greece"
"Vasiliki","38.6333","20.6167","395","Greece"
"Keramoti","40.8556","24.6983","1438","Greece"
"Acharavi","39.7968","19.8111","1013","Greece"
"Livanates","38.7500","23.0333","2559","Greece"
"Pertouli","39.5408","21.4658","73","Greece"
"Kolindros","40.4783","22.4861","2822","Greece"
"Sidirochori","40.5939","21.2719","82","Greece"
"Katochi","38.4142","21.2542","2829","Greece"
"Kipoi","40.9533","26.3067","193","Greece"
"Logkanikos","37.2333","22.2483","337","Greece"
"Athinaio","37.4000","22.2500","82","Greece"
"Rodini","38.3053","21.9026","1","Greece"
"Mavrolithari","38.7292","22.2311","491","Greece"
"Kavos","39.3833","20.1167","685","Greece"
"Anavra","39.0739","22.5500","584","Greece"
"Tholaria","36.9147","25.9822","138","Greece"
"Chalandri","38.0167","23.8000","74192","Greece"
"Mavreli","39.8333","21.8667","191","Greece"
"Rodopoli","38.1000","23.8667","2078","Greece"
"Stathas","39.0000","21.2667","85","Greece"
"Kapsorachi","38.5037","21.6142","287","Greece"
"Skourta","38.2167","23.5500","771","Greece"
"Atsipopoulo","35.3527","24.4340","1392","Greece"
"Efpalio","38.4500","21.9833","707","Greece"
"Lakkomata","38.0308","21.8653","113","Greece"
"Aigani","39.9528","22.6111","535","Greece"
"Krystallopigi","40.6333","21.0833","314","Greece"
"Omorfokklisia","40.4311","21.1203","23","Greece"
"Kapeleto","38.0000","21.3667","362","Greece"
"Palaio Gynaikokastro","40.9497","22.7453","280","Greece"
"Ellinochori","41.3736","26.4631","593","Greece"
"Iliokali","39.6167","20.9667","524","Greece"
"Skra","41.0937","22.3833","187","Greece"
"Ypsilantis","38.3725","23.0142","353","Greece"
"Perdika","39.3667","20.3000","1476","Greece"
"Pyrgadikia","40.3350","23.7233","320","Greece"
"Marathokampos","37.7269","26.6883","1069","Greece"
"Trygona","39.4000","21.6000","83","Greece"
