"city","lat","lng","population","country"
"Uummannaq","76.5333","-68.8333","33","Greenland"
"Qaanaaq","77.4670","-69.2330","1634","Greenland"
"Kangaatsiaq","68.3069","-53.4636","690","Greenland"
"Godhavn","69.2472","-53.5333","847","Greenland"
"Nanortalik","60.1417","-45.2431","1185","Greenland"
"Narsaq","60.9122","-46.0486","1492","Greenland"
"Kraulshavn","74.1210","-57.0674","204","Greenland"
"Qeqertarsuatsiaq","68.4123","-53.2443","9","Greenland"
"Narsarsuaq","61.1666","-45.4166","145","Greenland"
"Moriusaq","76.7508","-69.8486","106","Greenland"
"Savissivik","76.0195","-65.1125","66","Greenland"
"Tasiilaq","65.6150","-37.6410","2018","Greenland"
"Kangersuatsiaq","72.3796","-55.5491","200","Greenland"
"Itilleq","66.5833","-53.5000","136","Greenland"
"Nord","81.7166","-17.8000","10","Greenland"
"Kangeq","64.1167","-52.0667","2","Greenland"
"Qasigiannguit","68.8201","-51.1932","1803","Greenland"
"Ivittuut","61.2083","-48.1694","60","Greenland"
"Ilulissat","69.2167","-51.1000","4670","Greenland"
"Tasiusaq","73.3690","-56.0598","250","Greenland"
"Upernavik","72.7839","-56.1506","1218","Greenland"
"Uunarteq","70.4189","-21.9722","72","Greenland"
"Aappilattoq","60.1503","-44.2850","108","Greenland"
"Timmiarmiut","62.5333","-42.2167","10","Greenland"
"Maniitsoq","65.4167","-52.9000","3197","Greenland"
"Scoresbysund","70.4853","-21.9667","539","Greenland"
"Nuuk","64.1750","-51.7333","18326","Greenland"
"Aasiaat","68.7097","-52.8694","3347","Greenland"
"Qaqortoq","60.7167","-46.0333","3093","Greenland"
"Kullorsuaq","74.5781","-57.2250","450","Greenland"
"Uummannaq","70.6747","-52.1264","1460","Greenland"
"Kulusuk","65.5666","-37.1833","286","Greenland"
"Sisimiut","66.9389","-53.6722","5539","Greenland"
"Paamiut","61.9956","-49.6636","1429","Greenland"
"Maarmorilik","71.1264","-51.2778","302","Greenland"
"Ittaajimmiut","70.4589","-22.3292","66","Greenland"
