"city","lat","lng","population", "country"
"Rabinal","15.1083","-90.5000","45000","Guatemala"
"Santa Maria Visitacion","14.7167","-91.3167","3537","Guatemala"
"Tajumulco","15.0839","-91.9233","53791","Guatemala"
"San Pedro La Laguna","14.6918","-91.2730","10150","Guatemala"
"Santa Maria La Pila","15.6056","-89.8125","31425","Guatemala"
"Comitancillo","15.0906","-91.7486","59357","Guatemala"
"San Pedro Sacatepequez","14.6862","-90.6423","31503","Guatemala"
"Morales","15.4725","-88.8414","100361","Guatemala"
"La Libertad","16.7804","-90.1200","8646","Guatemala"
"San Raimundo","14.7647","-90.5956","22615","Guatemala"
"San Juan Sacatepequez","14.7189","-90.6442","193000","Guatemala"
"Santa Catarina Pinula","14.5644","-90.4880","63767","Guatemala"
"Zunil","14.7836","-91.4844","12356","Guatemala"
"Santa Lucia Utatlan","14.7667","-91.2667","23255","Guatemala"
"Cabrican","15.0768","-91.6500","24474","Guatemala"
"San Cristobal Verapaz","15.3650","-90.4792","54704","Guatemala"
"Malacatan","14.9121","-92.0606","105178","Guatemala"
"Taxisco","14.0716","-90.4645","22948","Guatemala"
"Coatepeque","14.7000","-91.8667","300000","Guatemala"
"Asuncion Mita","14.3333","-89.7167","40391","Guatemala"
"Santa Cruz Verapaz","15.3736","-90.4306","55587","Guatemala"
"Ixchiguan","15.1642","-91.9333","27176","Guatemala"
"San Andres Semetabaj","14.7450","-91.1350","4405","Guatemala"
"San Antonio Sacatepequez","14.9667","-91.7333","19103","Guatemala"
"Panzos","15.3986","-89.6408","62125","Guatemala"
"San Pedro Ayampuc","14.7785","-90.4525","44996","Guatemala"
"Nahuala","14.8429","-91.3170","62000","Guatemala"
"Cajola","14.9252","-91.6160","16751","Guatemala"
"Sibilia","15.0000","-91.6167","7954","Guatemala"
"San Antonio La Paz","14.7500","-90.2833","15142","Guatemala"
"Salcaja","14.8833","-91.4500","17535","Guatemala"
"Santo Domingo Suchitepequez","14.4667","-91.4833","32202","Guatemala"
"El Tejar","14.6500","-90.8000","23100","Guatemala"
"Santa Ana","16.8069","-89.8272","7792","Guatemala"
"Tucuru","15.3000","-90.0667","28421","Guatemala"
"San Agustin Acasaguastlan","14.9500","-89.9667","40121","Guatemala"
"San Jorge","14.9253","-89.5897","13525","Guatemala"
"Comapa","14.1146","-89.9115","23715","Guatemala"
"La Union","14.9667","-89.2833","38473","Guatemala"
"Palencia","14.6676","-90.3575","48923","Guatemala"
"Canilla","15.1671","-90.8481","9073","Guatemala"
"Retalhuleu","14.5333","-91.6833","40000","Guatemala"
"Villa Canales","14.4816","-90.5340","77638","Guatemala"
"La Gomera","14.0833","-91.0500","58272","Guatemala"
"San Martin Sacatepequez","14.8246","-91.6425","24700","Guatemala"
"Atescatempa","14.1750","-89.7417","15820","Guatemala"
"Santa Maria de Jesus","14.4933","-90.7094","15529","Guatemala"
"Chuarrancho","14.8167","-90.5167","7091","Guatemala"
"San Cristobal Totonicapan","14.9197","-91.4400","42937","Guatemala"
"San Diego","14.7833","-89.7833","7732","Guatemala"
"Mataquescuintla","14.5336","-90.1838","32860","Guatemala"
"San Agustin Chahal","15.7500","-89.5667","17716","Guatemala"
"Guanagazapa","14.2333","-90.6500","16187","Guatemala"
"San Miguel Chicaj","15.1000","-90.4000","23000","Guatemala"
"San Andres Villa Seca","14.5667","-91.5833","22245","Guatemala"
"Iztapa","13.9331","-90.7075","61448","Guatemala"
"Nebaj","15.4083","-91.1472","53617","Guatemala"
"Cantel","14.8112","-91.4555","32221","Guatemala"
"Sibinal","15.1333","-92.0500","27171","Guatemala"
"Sansare","14.7478","-90.1158","11124","Guatemala"
"Huitan","15.0486","-91.6400","17209","Guatemala"
"Escuintla","14.3004","-90.7800","107638","Guatemala"
"Conguaco","14.0470","-90.0336","15295","Guatemala"
"San Andres Xecul","14.9000","-91.4833","29849","Guatemala"
"Tacana","15.2415","-92.0684","87998","Guatemala"
"Chimaltenango","14.6622","-90.8208","43900","Guatemala"
"Senahu","15.4164","-89.8203","62101","Guatemala"
"Huite","14.9175","-89.7172","12021","Guatemala"
"Guatemala City","14.6099","-90.5252","2450212","Guatemala"
"Chiquimulilla","14.0858","-90.3822","12842","Guatemala"
"Siquinala","14.3082","-90.9659","20843","Guatemala"
"Ciudad Tecun Uman","14.6833","-92.1333","33426","Guatemala"
"Villa Nueva","14.5314","-90.5964","618397","Guatemala"
"Santiago Sacatepequez","14.6530","-90.6524","30747","Guatemala"
"Zacualpa","15.0272","-90.8778","22846","Guatemala"
"San Francisco El Alto","14.9500","-91.4500","65521","Guatemala"
"San Lucas Toliman","14.6333","-91.1333","25650","Guatemala"
"Tamahu","15.3069","-90.2342","13000","Guatemala"
"Palin","14.4039","-90.6986","62127","Guatemala"
"Chisec","15.8125","-90.3217","69325","Guatemala"
"Agua Blanca","14.4833","-89.6494","13571","Guatemala"
"Puerto Barrios","15.7300","-88.6000","121562","Guatemala"
"Uspantan","15.3458","-90.8694","41892","Guatemala"
"Morazan","14.9322","-90.1433","11201","Guatemala"
"Cabanas","14.9333","-89.8000","14817","Guatemala"
"San Vicente Pacaya","14.4161","-90.6392","7162","Guatemala"
"Concepcion","14.7833","-91.1500","4405","Guatemala"
"El Quetzal","14.7667","-91.8167","18979","Guatemala"
"Cuyotenango","14.5421","-91.5723","50860","Guatemala"
"Palestina de los Altos","14.9333","-91.7000","16384","Guatemala"
"San Miguel Siguila","14.9000","-91.6167","7411","Guatemala"
"Almolonga","14.8122","-91.4944","17186","Guatemala"
