"city","lat","lng","population", "country"
"Bissau","11.8592","-15.5956","395954","Guinea-Bissau"
"Fulacunda","11.7730","-15.1950","1311","Guinea-Bissau"
"Bolama","11.5776","-15.4742","4819","Guinea-Bissau"
"Quinhamel","11.8869","-15.8556","42659","Guinea-Bissau"
"Farim","12.4833","-15.2167","46268","Guinea-Bissau"
"Gabu","12.2833","-14.2167","14430","Guinea-Bissau"
"Catio","11.2833","-15.2500","26999","Guinea-Bissau"
"Bafata","12.1719","-14.6575","22501","Guinea-Bissau"
"Incala","11.3690","-15.1076","601","Guinea-Bissau"
"Cacheu","12.2780","-16.1650","5674","Guinea-Bissau"
"Mansoa","12.0667","-15.3167","7376","Guinea-Bissau"
