"city","lat","lng","population", "country"
"Linden","6.0000","-58.3000","29298","Guyana"
"Mabaruma","8.2000","-59.7833","2972","Guyana"
"Ituni","5.5333","-58.2500","100","Guyana"
"Georgetown","6.7833","-58.1667","200500","Guyana"
"Anna Regina","7.2500","-58.5167","12448","Guyana"
"New Amsterdam","6.2500","-57.5167","46874","Guyana"
"Rose Hall","6.2667","-57.3500","3301","Guyana"
"Princetown","5.9000","-57.1700","12000","Guyana"
"Bartica","6.4104","-58.6300","11524","Guyana"
"Lethem","3.3833","-59.8000","3000","Guyana"
