"city","lat","lng","population", "country"
"Jacmel","18.2350","-72.5370","33563","Haiti"
"Belladere","18.8500","-71.7833","60239","Haiti"
"Saint-Marc","19.1167","-72.7000","160181","Haiti"
"Port-de-Paix","19.9500","-72.8333","121220","Haiti"
"Petion-Ville","18.5098","-72.2856","376834","Haiti"
"Carrefour","18.5333","-72.4000","511345","Haiti"
"Gonaives","19.4456","-72.6883","324043","Haiti"
"Les Cayes","18.2004","-73.7500","175457","Haiti"
"Delmas","18.5500","-72.3000","284079","Haiti"
"Kenscoff","18.4521","-72.2867","4000","Haiti"
"Port-au-Prince","18.5425","-72.3386","987310","Haiti"
"Jeremie","18.6339","-74.1184","30917","Haiti"
"Cap-Haitien","19.7500","-72.2000","190289","Haiti"
"Fort Liberte","19.6656","-71.8448","11465","Haiti"
"Hinche","19.1430","-72.0040","18590","Haiti"
