"city","lat","lng","population","country"
"Tocoa","15.6833","-86.0000","46900","Honduras"
"San Francisco","15.6667","-87.0333","11206","Honduras"
"Ciudad Choluteca","13.3167","-87.2167","120000","Honduras"
"Trujillo","15.9167","-86.0000","30000","Honduras"
"La Entrada","15.0500","-88.7333","13949","Honduras"
"Roatan","16.3300","-86.5190","7514","Honduras"
"Yorito","15.0600","-87.2900","15774","Honduras"
"La Ceiba","15.7800","-86.7878","196856","Honduras"
"Nueva Ocotepeque","14.4333","-89.1833","8780","Honduras"
"Cofradia","15.4168","-88.1603","18100","Honduras"
"Catacamas","14.8000","-85.9000","44198","Honduras"
"Comayaguela","14.0833","-87.2167","1250000","Honduras"
"Nacaome","13.5333","-87.4833","13931","Honduras"
"Gracias","14.5833","-88.5833","50256","Honduras"
"La Alianza","13.5167","-87.7167","7524","Honduras"
"Santa Rosa de Copan","14.7667","-88.7833","56000","Honduras"
"San Marcos","14.3800","-88.9200","14213","Honduras"
"Siguatepeque","14.6000","-87.8333","39070","Honduras"
"Yuscaran","13.9433","-86.8667","11396","Honduras"
"Comayagua","14.4600","-87.6500","144785","Honduras"
"La Esperanza","14.3000","-88.1833","21000","Honduras"
"Choloma","15.6333","-88.0000","510456","Honduras"
"Santa Barbara","14.9167","-88.2333","29283","Honduras"
"La Lima","15.4330","-87.9170","53492","Honduras"
"Olanchito","15.4833","-86.5833","22500","Honduras"
"Juticalpa","14.6664","-86.2186","33260","Honduras"
"San Pedro Sula","15.5000","-88.0333","1073824","Honduras"
"Talanga","14.4000","-87.0833","13533","Honduras"
"El Progreso","15.4000","-87.8000","143360","Honduras"
"Tela","15.7833","-87.4667","78537","Honduras"
"Puerto Cortes","15.8833","-87.9500","200000","Honduras"
"Puerto Lempira","15.2653","-83.7744","4856","Honduras"
"Brus Laguna","15.7500","-84.4833","4067","Honduras"
"San Lorenzo","13.3667","-87.2667","43042","Honduras"
"Villanueva","15.3167","-88.0167","157615","Honduras"
"La Paz","14.3169","-87.6831","41250","Honduras"
"Tegucigalpa","14.0942","-87.2067","1126534","Honduras"
"Yoro","15.1333","-87.1333","64425","Honduras"
