"city","lat","lng","population", "country"
"Almashaza","46.8428","17.0481","70","Hungary"
"Fadd","46.4665","18.8202","4083","Hungary"
"Zalatarnok","46.7011","16.7596","650","Hungary"
"Ipolydamasd","47.8500","18.8333","350","Hungary"
"Gant","47.3897","18.3877","862","Hungary"
"Miszla","46.6306","18.4797","270","Hungary"
"Haromhuta","48.3788","21.4295","109","Hungary"
"Bakonyszombathely","47.4721","17.9602","1453","Hungary"
"Szabadszallas","46.8761","19.2217","6121","Hungary"
"Mezobereny","46.8256","21.0289","9809","Hungary"
"Nyirad","47.0034","17.4505","1895","Hungary"
"Bussu","46.4575","17.9631","405","Hungary"
"Darany","45.9807","17.5906","915","Hungary"
"Edeleny","48.2967","20.7442","9389","Hungary"
"Berekfurdo","47.3833","20.8500","1001","Hungary"
"Monostorapati","46.9273","17.5568","1129","Hungary"
"Kisbajcs","47.7448","17.6797","886","Hungary"
"Mikohaza","48.4648","21.5925","512","Hungary"
"Deszk","46.2167","20.2500","3461","Hungary"
"Mihalyi","47.5167","17.1000","1020","Hungary"
"Artand","47.1167","21.7667","514","Hungary"
"Vatta","47.9220","20.7380","921","Hungary"
"Csehbanya","47.1772","17.6855","288","Hungary"
"Kecskemet","46.9074","19.6917","110687","Hungary"
"Szaknyer","46.8667","16.5333","49","Hungary"
"Nyirpilis","47.7833","22.1833","880","Hungary"
"Medina","46.4736","18.6415","806","Hungary"
"Vacratot","47.7109","19.2353","1924","Hungary"
"Szerep","47.2333","21.1500","1596","Hungary"
"Tiszababolna","47.6887","20.8117","343","Hungary"
"Tiszalok","48.0197","21.3778","5234","Hungary"
"Nagykozar","46.0645","18.3202","1995","Hungary"
"Tiszaszentimre","47.4833","20.7333","2021","Hungary"
"Nyirabrany","47.5500","22.0333","3777","Hungary"
"Murga","46.4614","18.4877","67","Hungary"
"Bony","47.6500","17.8667","2151","Hungary"
"Gyongyossolymos","47.8140","19.9330","2833","Hungary"
"Dobroce","46.9365","17.1898","66","Hungary"
"Szekesfehervar","47.2000","18.4167","96940","Hungary"
"Old","45.7897","18.3515","331","Hungary"
"Marok","45.8742","18.5086","400","Hungary"
"Erdohorvati","48.3161","21.4283","618","Hungary"
"Nyoger","47.1833","16.9333","325","Hungary"
"Fertoendred","47.6062","16.9086","638","Hungary"
"Papos","47.9833","22.2500","829","Hungary"
"Tenyo","47.5333","17.6500","1578","Hungary"
"Pusztaederics","46.6400","16.7984","180","Hungary"
"Inke","46.3925","17.1916","1164","Hungary"
"Kishajmas","46.2007","18.0823","167","Hungary"
"Lovaszpatona","47.4325","17.6260","1133","Hungary"
"Turony","45.9084","18.2292","242","Hungary"
"Hollohaza","48.5406","21.4136","820","Hungary"
"Fuzesabony","47.7510","20.4090","7412","Hungary"
