"city","lat","lng","population","country"
"Akranes","64.3167","-22.1000","7411","Iceland"
"Blonduos","65.6667","-20.3000","939","Iceland"
"Borgarnes","64.5333","-21.9167","1962","Iceland"
"Keflavik","64.0000","-22.5819","16463","Iceland"
"Grindavik","63.8413","-22.4371","3427","Iceland"
"Eyrarbakki","63.8653","-21.1592","526","Iceland"
"Bildudalur","65.6831","-23.6306","225","Iceland"
"Hvolsvollur","63.7497","-20.2339","931","Iceland"
"Faskrudhsfjordhur","64.9350","-14.0444","712","Iceland"
"Dalvik","65.9725","-18.5335","1367","Iceland"
"Hellissandur","64.9153","-23.8861","365","Iceland"
"Breidhdalsvik","64.7967","-14.0083","137","Iceland"
"Kopavogur","64.1119","-21.9000","34140","Iceland"
"Gardhar","64.0653","-22.6397","1595","Iceland"
"Hveragerdhi","64.0000","-21.2000","2628","Iceland"
"Neskaupstadhur","65.1506","-13.6990","1469","Iceland"
"Thorlakshofn","63.8500","-21.3667","1651","Iceland"
"Vestmannaeyjar","63.4167","-20.2833","4292","Iceland"
"Gardhabaer","64.0833","-22.0000","16299","Iceland"
"Egilsstadhir","65.2667","-14.4000","2332","Iceland"
"Reydharfjordhur","65.0326","-14.2201","1270","Iceland"
"Kirkjubaejarklaustur","63.7667","-18.0667","176","Iceland"
"Svalbardh","65.7461","-18.0811","358","Iceland"
"Sandgerdhi","64.0372","-22.7021","1779","Iceland"
"Reykholar","65.4461","-22.2081","258","Iceland"
"Reykjavik","64.1475","-21.9350","128793","Iceland"
"Selfoss","63.9322","-21.0002","6878","Iceland"
"Hvammstangi","65.4006","-20.9481","578","Iceland"
"Reykjahlidh","65.6436","-16.9086","208","Iceland"
"Akureyri","65.6833","-18.1000","18925","Iceland"
"Hofn","64.2500","-15.2167","2389","Iceland"
"Sudhavik","66.0500","-23.0000","204","Iceland"
"Budhardalur","65.1082","-21.7679","272","Iceland"
"Holar","65.7319","-19.1136","94","Iceland"
"Stykkisholmur","65.0750","-22.7250","1168","Iceland"
"Skutustadhir","65.5679","-17.0398","502","Iceland"
"Isafjordhur","66.0738","-23.1417","2620","Iceland"
"Olafsvik","64.8942","-23.7108","970","Iceland"
"Hafnarfjordhur","64.0667","-21.9500","28703","Iceland"
"Bolungarvik","66.1542","-23.2450","953","Iceland"
"Eskifjordhur","65.0726","-14.0167","1006","Iceland"
"Husavik","66.0439","-17.3417","2307","Iceland"
"Siglufjordhur","66.1519","-18.9089","1182","Iceland"
"Holmavik","65.7167","-21.6833","320","Iceland"
"Helgafell","65.0412","-22.7293","62","Iceland"
"Patreksfjordhur","65.5953","-23.9847","677","Iceland"
"Kaldrananes","65.6903","-21.4417","103","Iceland"
"Grundarfjorthur","64.9216","-23.1950","862","Iceland"
"Olafsfjordhur","66.0715","-18.6538","792","Iceland"
"Saudharkrokur","65.7464","-19.6390","2682","Iceland"
"Hella","63.8348","-20.4008","861","Iceland"
"Vogar","63.9814","-22.3822","1286","Iceland"
"Stokkseyri","63.8356","-21.0506","528","Iceland"
