"city","lat","lng","population","country"
"Bhubaneshwar","20.2644","85.8281","837737","India"
"Hapur","28.7437","77.7628","242920","India"
"Jalgaon","21.0167","75.5667","460468","India"
"Chakradharpur","22.7000","85.6300","197953","India"
"Maihar","24.2700","80.7500","40192","India"
"Venkatagiri","13.9667","79.5833","52688","India"
"Bidar","17.9229","77.5175","300136","India"
"Rajmahal","25.0500","87.8400","17974","India"
"Bilaspur","22.1500","82.0167","331030","India"
"Dispur","26.1500","91.7700","957352","India"
"Panihati","22.6900","88.3700","377347","India"
"Chittoor","13.2000","79.1167","160722","India"
"Samalkot","17.0531","82.1695","56864","India"
"Silchar","24.7904","92.7900","152393","India"
"Malaut","30.1900","74.4990","70958","India"
"Shillong","25.5744","91.8789","143229","India"
"Kandukur","15.2165","79.9042","57246","India"
"Shahjanpur","27.8804","79.9050","320434","India"
"Ingraj Bazar","25.0000","88.1500","205521","India"
"Anakapalle","17.6800","83.0200","86519","India"
"Angamali","10.1960","76.3860","33424","India"
"Vishakhapatnam","17.7333","83.3167","2035922","India"
"Allahabad","25.4550","81.8400","1201000","India"
"Lucknow","26.8470","80.9470","3382000","India"
"Chipurupalle","18.3000","83.5667","14847","India"
"Davangere","14.4667","75.9167","503564","India"
"Narasaraopet","16.2360","80.0540","116250","India"
"Ratlam","23.3167","75.0667","273892","India"
"Gauripur","26.0800","89.9700","23477","India"
"Valparai","10.3204","76.9700","114308","India"
"Salem","11.6500","78.1667","693236","India"
"Vikarabad","17.3300","77.9000","53143","India"
"Ponduru","18.3508","83.7567","12640","India"
"Nidadavole","16.9200","81.6700","43809","India"
"Bhagalpur","25.2500","87.0167","410210","India"
"Erode","11.3408","77.7172","151184","India"
"Burhanpur","21.3004","76.1300","197233","India"
"Dwarka","22.2403","68.9686","38873","India"
"Madhyamgram","22.7000","88.4500","196127","India"
"Hassan","13.0050","76.1028","133436","India"
"Bhilai","21.2167","81.4333","1097000","India"
"Conjeeveram","12.8308","79.7078","164384","India"
"Sirsa","29.4904","75.0300","181639","India"
"Quilon","8.8853","76.5864","397419","India"
"Warangal","17.9756","79.6011","704570","India"
"Jaipur","26.9167","75.8667","3073350","India"
"Budaun","28.0300","79.0900","161555","India"
"Bulandshahr","28.4104","77.8484","198612","India"
"Sonipat","28.9958","77.0114","250521","India"
"Durgapur","23.5500","87.3200","566517","India"
"Osmanabad","18.1667","76.0500","112085","India"
"Barehra","27.7500","78.5667","19542","India"
"Port Blair","11.6667","92.7500","127562","India"
"Raipur","21.2379","81.6337","1010087","India"
"Fatehpur Sikri","27.0911","77.6611","32905","India"
"Konarka","19.8878","86.0948","15015","India"
"Gurgaon","28.4500","77.0200","197340","India"
"Bodupal","17.4139","78.5783","43692","India"
"Ujjain","23.1828","75.7772","515215","India"
"Sitalpur","27.6300","80.7500","164435","India"
"Vizianagaram","18.1167","83.4167","228720","India"
"Shantipur","23.2500","88.4300","151777","India"
