"city","lat","lng","population","country"
"Majene","-3.5336","118.9660","272377","Indonesia"
"Ambon","-3.7050","128.1700","372249","Indonesia"
"Bontang","0.1333","117.5000","161413","Indonesia"
"Tebingtinggi","3.3283","99.1625","169786","Indonesia"
"Baubau","-5.4667","122.6330","152143","Indonesia"
"Padang","-0.9556","100.3606","914970","Indonesia"
"Tinipuka","-4.5496","136.8900","26021","Indonesia"
"Kulat","-8.7151","115.1841","30012","Indonesia"
"Sungai Penuh","-2.0636","101.3961","101325","Indonesia"
"Lubuklinggau","-3.2967","102.8617","208225","Indonesia"
"Salatiga","-7.3095","110.4901","176000","Indonesia"
"Tomohon","1.3244","124.8225","96411","Indonesia"
"Blitar","-8.1000","112.1500","132018","Indonesia"
"Pageralam","-4.0217","103.2522","136244","Indonesia"
"Metro","-5.1167","105.3000","161799","Indonesia"
"Biak","-1.1615","136.0485","103610","Indonesia"
"Makassar","-5.1331","119.4136","1651146","Indonesia"
"Depok","-6.3940","106.8225","1631951","Indonesia"
"Solok","-0.7883","100.6542","68602","Indonesia"
"Tarutung","2.0171","98.9667","1305","Indonesia"
"Pariaman","-0.6261","100.1206","85485","Indonesia"
"Pangkalpinang","-2.1000","106.1000","125933","Indonesia"
"Balikpapan","-1.1489","116.9031","598043","Indonesia"
"Tarakan","3.3000","117.6333","201635","Indonesia"
"Bekasi","-6.2333","107.0000","2381053","Indonesia"
"Pati","-6.7415","111.0347","122785","Indonesia"
"Tasikmalaya","-7.3333","108.2000","678027","Indonesia"
"Semarang","-6.9667","110.4167","1621384","Indonesia"
"Pontianak","-0.0206","109.3414","618388","Indonesia"
"Luwuk","-0.9396","122.7900","47778","Indonesia"
"Banjarmasin","-3.3333","114.5833","692793","Indonesia"
"Kotamobagu","0.7333","124.3167","120597","Indonesia"
"Banyuwangi","-8.1950","114.3696","172424","Indonesia"
"Probolinggo","-7.7500","113.2167","223159","Indonesia"
"Martapura","-3.4135","114.8365","198239","Indonesia"
"Medan","3.6667","98.6667","2210625","Indonesia"
"Palu","-0.8950","119.8594","359350","Indonesia"
"Cilacap","-7.7167","109.0170","1174964","Indonesia"
"Sawahlunto","-0.6828","100.7783","61427","Indonesia"
"Langsa","4.4667","97.9500","178334","Indonesia"
"Kuala Kapuas","-3.0996","114.3500","35632","Indonesia"
"Tangerang","-6.1783","106.6319","2237006","Indonesia"
"Serang","-6.1200","106.1503","613356","Indonesia"
"Lhokseumawe","5.1800","97.1506","180200","Indonesia"
"Surakarta","-7.5667","110.8167","552118","Indonesia"
"Prabumulih","-3.4328","104.2356","188082","Indonesia"
"Raba","-8.4614","118.7470","106101","Indonesia"
"Banjarbaru","-3.4667","114.7500","216600","Indonesia"
"Ruteng","-8.6118","120.4698","53976","Indonesia"
"Palangkaraya","-2.2100","113.9200","249434","Indonesia"
"Cilegon","-6.0027","106.0112","387543","Indonesia"
"Waingapu","-9.6582","120.2530","48828","Indonesia"
"Singkawang","0.9000","108.9833","230376","Indonesia"
"Jember","-8.1727","113.6873","298585","Indonesia"
"Parepare","-4.0167","119.6236","129542","Indonesia"
"Denpasar","-8.6667","115.2167","834881","Indonesia"
"Binjai","3.6000","98.4853","269053","Indonesia"
"Pekalongan","-6.8883","109.6753","298386","Indonesia"
"Mojokerto","-7.4722","112.4336","130196","Indonesia"
"Merauke","-8.4932","140.4018","34412","Indonesia"
"Sorong","-0.8667","131.2500","272349","Indonesia"
"Amahai","-3.3281","128.9405","47653","Indonesia"
"Yogyakarta","-7.8014","110.3644","422732","Indonesia"
"Tuban","-6.8995","112.0500","76242","Indonesia"
"Bukittinggi","-0.3097","100.3753","113326","Indonesia"
"Sukabumi","-6.9197","106.9272","320970","Indonesia"
"Indramayu","-6.3356","108.3190","123263","Indonesia"
"Singaraja","-8.1152","115.0944","234468","Indonesia"
"Padangpanjang","-0.4500","100.4167","52422","Indonesia"
"Tanjungpandan","-2.7500","107.6500","62374","Indonesia"
"Bengkulu","-3.7956","102.2592","360495","Indonesia"
"Kediri","-7.8166","112.0119","252000","Indonesia"
"Maumere","-8.6189","122.2123","104285","Indonesia"
"Manado","1.4931","124.8413","461636","Indonesia"
"Gunungsitoli","1.1167","97.5667","137104","Indonesia"
"Jakarta","-6.2146","106.8451","34540000","Indonesia"
"Madiun","-7.6300","111.5231","186099","Indonesia"
"Bogor","-6.6000","106.8000","1030720","Indonesia"
"Pasuruan","-7.6406","112.9065","186262","Indonesia"
"Samarinda","-0.5022","117.1536","753370","Indonesia"
"Nabire","-3.3515","135.5134","43898","Indonesia"
"Cirebon","-6.7167","108.5667","316126","Indonesia"
"Kendari","-3.9675","122.5947","331013","Indonesia"
"Cimahi","-6.8833","107.5333","586580","Indonesia"
"Pekanbaru","0.5333","101.4500","855221","Indonesia"
"Tanjungbalai","2.9667","99.8000","165763","Indonesia"
"Pinrang","-3.7857","119.6522","182731","Indonesia"
"Ternate","0.7833","127.3667","204215","Indonesia"
"Sumenep","-7.0049","113.8496","84656","Indonesia"
"Batu","-7.8672","112.5239","190184","Indonesia"
"Rantepao","-2.9690","119.9000","43123","Indonesia"
"Manokwari","-0.8711","134.0693","74504","Indonesia"
"Ende","-8.8333","121.6500","77205","Indonesia"
"Mataram","-8.5833","116.1167","408900","Indonesia"
"Bima","-8.4667","118.7170","136492","Indonesia"
"Subulussalam","2.6422","98.0042","78801","Indonesia"
"Jayapura","-2.5333","140.7167","413283","Indonesia"
"Tanjungpinang","0.9188","104.4554","203008","Indonesia"
"Pematangsiantar","2.9600","99.0600","278055","Indonesia"
"Tual","-5.6385","132.7450","82955","Indonesia"
"Sampit","-2.5329","112.9500","92710","Indonesia"
"Padangsidempuan","1.3667","99.2667","225544","Indonesia"
"Lahat","-3.8000","103.5333","65906","Indonesia"
"Pemangkat","1.1727","108.9808","44783","Indonesia"
"Tegal","-6.8667","109.1333","275789","Indonesia"
"Poso","-1.3896","120.7600","47110","Indonesia"
"Payakumbuh","-0.2244","100.6325","125608","Indonesia"
"Palembang","-2.9833","104.7644","1452456","Indonesia"
"Kupang","-10.1633","123.5778","433970","Indonesia"
"Sibolga","1.7425","98.7792","94971","Indonesia"
"Bandung","-6.9500","107.5667","2394873","Indonesia"
"Watampone","-4.5328","120.3334","81629","Indonesia"
"Kotabumi","-4.8333","104.9000","42366","Indonesia"
"Dumai","1.6667","101.4500","264084","Indonesia"
"Patam","1.0678","104.0167","1029808","Indonesia"
"Sabang","5.8931","95.3200","38077","Indonesia"
"Praya","-8.7223","116.2923","35183","Indonesia"
"Makale","-3.0860","119.8469","9960","Indonesia"
"Jambi","-1.5900","103.6100","602187","Indonesia"
"Soasio","0.6964","127.4360","60611","Indonesia"
"Surabaya","-7.2458","112.7378","4975000","Indonesia"
"Magelang","-7.4706","110.2178","124912","Indonesia"
"Bitung","1.4472","125.1978","218520","Indonesia"
